Fecha,Reserva
01/01/2022,49.55
02/01/2022,49.55
03/01/2022,49.55
06/01/2022,49.63
08/01/2022,49.63
10/01/2022,49.68
11/01/2022,49.68
14/01/2022,49.68
15/01/2022,49.72
18/01/2022,49.72
19/01/2022,49.77
22/01/2022,49.77
24/01/2022,49.81
26/01/2022,49.81
28/01/2022,49.82
29/01/2022,49.86
31/01/2022,49.86
02/02/2022,49.86
03/02/2022,49.86
06/02/2022,49.95
07/02/2022,49.95
08/02/2022,49.95
10/02/2022,49.95
11/02/2022,49.99
11/02/2022,49.99
12/02/2022,49.99
13/02/2022,49.99
15/02/2022,49.99
16/02/2022,50.03
16/02/2022,50.03
17/02/2022,50.03
18/02/2022,50.03
19/02/2022,50.03
20/02/2022,50.03
21/02/2022,50.08
22/02/2022,50.08
24/02/2022,50.08
25/02/2022,50.08
28/02/2022,50.17
02/03/2022,50.12
04/03/2022,50.17
05/03/2022,50.12
07/03/2022,50.12
10/03/2022,50.12
11/03/2022,50.12
14/03/2022,50.53
15/03/2022,50.71
17/03/2022,51.11
18/03/2022,51.2
20/03/2022,51.48
22/03/2022,51.84
25/03/2022,52.48
26/03/2022,52.67
28/03/2022,52.99
31/03/2022,53.6
02/04/2022,53.93
03/04/2022,54.18
06/04/2022,54.65
08/04/2022,55.08
10/04/2022,55.47
11/04/2022,55.64
13/04/2022,55.89
14/04/2022,56.04
15/04/2022,56.14
16/04/2022,56.24
17/04/2022,56.34
18/04/2022,56.48
19/04/2022,56.6
22/04/2022,56.55
23/04/2022,56.93
25/04/2022,57.34
27/04/2022,57.71
29/04/2022,58.11
02/05/2022,58.63
04/05/2022,58.9
06/05/2022,58.9
08/05/2022,58.87
09/05/2022,58.88
10/05/2022,58.88
12/05/2022,58.81
15/05/2022,58.76
17/05/2022,58.69
18/05/2022,58.69
20/05/2022,58.63
23/05/2022,58.58
24/05/2022,58.41
27/05/2022,57.95
29/05/2022,57.6
30/05/2022,57.55
01/06/2022,57.5
03/06/2022,57.45
06/06/2022,57.34
07/06/2022,57.14
09/06/2022,56.73
10/06/2022,56.5
13/06/2022,55.84
14/06/2022,55.63
16/06/2022,55.33
19/06/2022,54.85
20/06/2022,54.63
22/06/2022,54.29
24/06/2022,54.01
27/06/2022,53.92
29/06/2022,53.65
01/07/2022,53.34
03/07/2022,53.02
05/07/2022,52.96
06/07/2022,52.95
08/07/2022,52.66
09/07/2022,18.3
11/07/2022,52.23
13/07/2022,52.03
15/07/2022,51.97
18/07/2022,51.53
20/07/2022,51.2
21/07/2022,51.06
24/07/2022,50.93
26/07/2022,50.67
28/07/2022,50.37
30/07/2022,50.1
31/07/2022,50.02
02/08/2022,49.98
04/08/2022,49.92
05/08/2022,49.77
08/08/2022,49.35
10/08/2022,49.15
11/08/2022,49.03
13/08/2022,48.95
15/08/2022,48.84
17/08/2022,48.58
20/08/2022,48.28
22/08/2022,48.09
24/08/2022,48.02
25/08/2022,47.91
27/08/2022,47.7
29/08/2022,47.53
01/09/2022,47.19
02/09/2022,47.16
04/09/2022,46.94
05/09/2022,46.83
08/09/2022,46.51
10/09/2022,46.31
12/09/2022,46.28
14/09/2022,46.1
16/09/2022,45.96
18/09/2022,45.79
20/09/2022,45.71
22/09/2022,45.77
23/09/2022,45.69
26/09/2022,45.39
28/09/2022,45.15
29/09/2022,45.1
02/10/2022,45.05
03/10/2022,44.96
04/10/2022,44.86
07/10/2022,44.59
08/10/2022,44.51
11/10/2022,44.45
12/10/2022,44.44
14/10/2022,44.24
16/10/2022,44.07
19/10/2022,43.8
21/10/2022,43.81
22/10/2022,2.64
25/10/2022,43.92
27/10/2022,2.55
28/10/2022,43.89
30/10/2022,43.86
30/10/2022,43.86
31/10/2022,43.88
02/11/2022,43.86
04/11/2022,43.85
07/11/2022,43.82
09/11/2022,43.8
10/11/2022,43.85
12/11/2022,43.86
15/11/2022,43.84
18/11/2022,43.9
19/11/2022,43.9
21/11/2022,43.88
24/11/2022,43.9
26/11/2022,43.92
27/11/2022,43.9
29/11/2022,43.89
01/12/2022,43.87
03/12/2022,43.87
04/12/2022,43.87
07/12/2022,43.93
09/12/2022,44.2
11/12/2022,45.33
12/12/2022,45.99
15/12/2022,51.1
16/12/2022,51.95
19/12/2022,53.56
20/12/2022,53.89
22/12/2022,54.35
25/12/2022,55.2
26/12/2022,55.4
28/12/2022,55.85
30/12/2022,56.25
