Fecha,Reserva
01/01/2017,23.95
02/01/2017,23.91
04/01/2017,23.95
06/01/2017,23.95
08/01/2017,23.91
10/01/2017,23.91
11/01/2017,23.88
13/01/2017,23.88
14/01/2017,23.88
17/01/2017,23.8
18/01/2017,23.8
20/01/2017,23.74
22/01/2017,23.73
23/01/2017,23.69
26/01/2017,23.66
28/01/2017,23.69
30/01/2017,23.69
31/01/2017,23.67
02/02/2017,23.66
04/02/2017,23.66
05/02/2017,23.69
07/02/2017,23.63
09/02/2017,23.59
12/02/2017,23.55
13/02/2017,23.73
14/02/2017,24.13
17/02/2017,24.37
18/02/2017,24.4
21/02/2017,24.43
22/02/2017,24.47
24/02/2017,24.47
25/02/2017,24.47
27/02/2017,24.47
02/03/2017,24.47
04/03/2017,24.47
05/03/2017,24.7
07/03/2017,24.9
09/03/2017,24.93
10/03/2017,24.97
13/03/2017,24.97
14/03/2017,24.97
16/03/2017,25.0
18/03/2017,24.97
20/03/2017,24.97
21/03/2017,24.97
24/03/2017,24.9
25/03/2017,24.9
27/03/2017,24.93
28/03/2017,25.0
31/03/2017,25.0
01/04/2017,25.0
04/04/2017,24.93
05/04/2017,24.93
07/04/2017,24.87
08/04/2017,24.83
10/04/2017,24.8
13/04/2017,24.7
15/04/2017,24.67
16/04/2017,24.63
18/04/2017,24.57
19/04/2017,24.52
22/04/2017,24.4
23/04/2017,24.37
26/04/2017,24.23
27/04/2017,24.2
29/04/2017,24.43
01/05/2017,24.53
03/05/2017,24.53
05/05/2017,24.47
06/05/2017,24.47
08/05/2017,24.4
10/05/2017,24.33
11/05/2017,24.37
14/05/2017,24.37
15/05/2017,24.37
18/05/2017,24.3
19/05/2017,24.23
21/05/2017,24.17
23/05/2017,24.1
25/05/2017,24.02
27/05/2017,23.91
28/05/2017,23.88
30/05/2017,23.77
01/06/2017,23.66
03/06/2017,23.58
04/06/2017,23.51
06/06/2017,23.44
08/06/2017,23.29
10/06/2017,23.18
11/06/2017,23.11
14/06/2017,22.96
15/06/2017,22.89
18/06/2017,22.74
19/06/2017,22.67
21/06/2017,22.56
23/06/2017,22.43
25/06/2017,22.3
26/06/2017,22.27
28/06/2017,22.12
01/07/2017,21.91
02/07/2017,21.83
03/07/2017,21.8
06/07/2017,21.58
07/07/2017,21.58
10/07/2017,21.44
11/07/2017,21.37
12/07/2017,21.33
14/07/2017,21.22
16/07/2017,21.08
18/07/2017,20.98
20/07/2017,20.84
22/07/2017,20.7
23/07/2017,20.66
25/07/2017,20.52
27/07/2017,20.44
30/07/2017,20.26
01/08/2017,20.15
02/08/2017,20.11
04/08/2017,19.97
05/08/2017,19.94
08/08/2017,19.77
09/08/2017,19.69
12/08/2017,19.5
13/08/2017,19.47
14/08/2017,19.41
16/08/2017,19.32
18/08/2017,19.23
21/08/2017,19.04
22/08/2017,19.01
24/08/2017,18.89
26/08/2017,18.77
28/08/2017,18.7
29/08/2017,18.62
31/08/2017,18.56
02/09/2017,18.47
03/09/2017,18.44
05/09/2017,18.32
08/09/2017,18.21
10/09/2017,18.09
11/09/2017,18.03
13/09/2017,17.96
15/09/2017,17.88
16/09/2017,17.8
19/09/2017,17.7
21/09/2017,17.62
23/09/2017,17.52
24/09/2017,17.49
25/09/2017,17.43
28/09/2017,17.33
30/09/2017,17.23
02/10/2017,17.17
04/10/2017,17.09
05/10/2017,17.06
06/10/2017,17.02
08/10/2017,16.92
10/10/2017,16.86
13/10/2017,16.75
14/10/2017,16.69
16/10/2017,16.64
17/10/2017,16.55
19/10/2017,16.55
21/10/2017,16.5
23/10/2017,16.41
25/10/2017,16.36
27/10/2017,16.29
29/10/2017,16.22
30/10/2017,16.16
02/11/2017,16.09
04/11/2017,16.03
05/11/2017,16.03
07/11/2017,15.97
09/11/2017,15.89
10/11/2017,15.87
13/11/2017,15.78
14/11/2017,15.73
16/11/2017,15.68
18/11/2017,15.62
20/11/2017,15.57
22/11/2017,15.49
23/11/2017,15.46
26/11/2017,15.41
27/11/2017,15.36
29/11/2017,15.35
30/11/2017,15.33
03/12/2017,15.25
04/12/2017,15.2
07/12/2017,15.13
08/12/2017,15.09
10/12/2017,15.04
11/12/2017,15.09
13/12/2017,15.06
15/12/2017,15.02
18/12/2017,14.93
19/12/2017,14.91
21/12/2017,14.86
23/12/2017,14.8
25/12/2017,14.76
27/12/2017,14.73
28/12/2017,14.7
30/12/2017,14.65
