Fecha,Reserva
01/01/2012,35.35
02/01/2012,35.35
04/01/2012,33.95
06/01/2012,35.35
08/01/2012,34.76
10/01/2012,35.35
11/01/2012,32.87
13/01/2012,35.28
15/01/2012,32.58
16/01/2012,35.28
19/01/2012,35.28
21/01/2012,35.2
22/01/2012,35.28
24/01/2012,35.28
25/01/2012,35.28
27/01/2012,35.28
29/01/2012,35.28
31/01/2012,35.28
02/02/2012,35.28
04/02/2012,35.28
06/02/2012,35.21
07/02/2012,35.2
09/02/2012,29.27
11/02/2012,34.91
14/02/2012,34.61
15/02/2012,34.66
17/02/2012,34.51
18/02/2012,34.24
21/02/2012,34.14
22/02/2012,33.92
24/02/2012,33.77
26/02/2012,33.73
27/02/2012,33.68
29/02/2012,33.73
02/03/2012,33.73
05/03/2012,33.73
06/03/2012,33.7
08/03/2012,33.63
10/03/2012,33.66
11/03/2012,33.66
13/03/2012,33.37
16/03/2012,32.86
18/03/2012,32.44
19/03/2012,32.48
20/03/2012,32.16
22/03/2012,32.01
24/03/2012,31.81
26/03/2012,31.53
29/03/2012,31.25
30/03/2012,31.11
01/04/2012,30.97
02/04/2012,30.9
04/04/2012,31.11
06/04/2012,31.18
08/04/2012,31.11
10/04/2012,31.11
11/04/2012,31.1
14/04/2012,30.97
16/04/2012,30.97
17/04/2012,30.97
19/04/2012,30.75
21/04/2012,30.63
23/04/2012,30.49
25/04/2012,30.25
27/04/2012,29.88
28/04/2012,29.74
01/05/2012,29.54
02/05/2012,29.52
04/05/2012,29.41
06/05/2012,29.41
08/05/2012,30.15
10/05/2012,30.15
11/05/2012,30.15
13/05/2012,30.08
14/05/2012,30.01
17/05/2012,29.61
19/05/2012,29.14
21/05/2012,28.88
23/05/2012,28.73
24/05/2012,28.62
25/05/2012,28.51
27/05/2012,28.09
29/05/2012,27.91
01/06/2012,27.35
03/06/2012,26.93
04/06/2012,26.89
05/06/2012,26.73
08/06/2012,26.18
10/06/2012,25.8
12/06/2012,25.44
14/06/2012,25.07
15/06/2012,24.95
17/06/2012,24.95
18/06/2012,24.95
20/06/2012,23.99
22/06/2012,23.46
24/06/2012,23.12
26/06/2012,22.77
27/06/2012,22.55
30/06/2012,21.71
02/07/2012,21.1
04/07/2012,20.67
05/07/2012,20.4
07/07/2012,20.09
09/07/2012,19.67
10/07/2012,19.46
12/07/2012,18.95
14/07/2012,18.5
17/07/2012,17.86
18/07/2012,17.57
20/07/2012,17.05
22/07/2012,16.58
24/07/2012,16.16
25/07/2012,15.93
28/07/2012,15.12
29/07/2012,14.95
31/07/2012,14.51
01/08/2012,14.29
03/08/2012,13.86
06/08/2012,13.24
08/08/2012,12.78
09/08/2012,12.58
11/08/2012,12.1
13/08/2012,11.63
15/08/2012,11.25
17/08/2012,10.91
19/08/2012,10.5
20/08/2012,10.32
22/08/2012,9.96
23/08/2012,9.75
25/08/2012,9.13
27/08/2012,8.99
30/08/2012,8.93
31/08/2012,8.93
01/09/2012,8.89
04/09/2012,8.86
06/09/2012,8.83
07/09/2012,8.79
10/09/2012,8.76
11/09/2012,8.73
12/09/2012,8.73
14/09/2012,8.66
16/09/2012,8.66
19/09/2012,8.63
20/09/2012,8.59
22/09/2012,8.56
23/09/2012,8.53
26/09/2012,8.49
28/09/2012,8.86
30/09/2012,4.7
02/10/2012,8.96
03/10/2012,8.93
04/10/2012,8.93
07/10/2012,8.93
08/10/2012,8.89
10/10/2012,8.89
13/10/2012,8.83
14/10/2012,8.83
15/10/2012,8.79
18/10/2012,8.79
19/10/2012,8.76
21/10/2012,8.76
24/10/2012,8.76
25/10/2012,8.79
26/10/2012,8.89
29/10/2012,8.89
30/10/2012,4.7
01/11/2012,8.96
03/11/2012,8.99
05/11/2012,9.3
07/11/2012,9.4
09/11/2012,9.96
10/11/2012,11.32
12/11/2012,11.71
14/11/2012,11.68
16/11/2012,11.67
18/11/2012,7.07
19/11/2012,11.9
22/11/2012,12.02
23/11/2012,12.06
25/11/2012,12.06
27/11/2012,12.06
28/11/2012,12.1
30/11/2012,12.1
02/12/2012,12.14
05/12/2012,12.14
07/12/2012,12.13
08/12/2012,12.22
09/12/2012,12.26
11/12/2012,12.3
14/12/2012,12.3
16/12/2012,7.88
17/12/2012,3.79
19/12/2012,12.46
20/12/2012,12.86
22/12/2012,12.95
24/12/2012,12.95
26/12/2012,12.95
28/12/2012,12.95
30/12/2012,12.95
