Fecha,Reserva
01/01/2021,198.66
02/01/2021,199.12
04/01/2021,199.78
06/01/2021,200.44
07/01/2021,200.74
09/01/2021,201.73
11/01/2021,202.88
13/01/2021,203.72
15/01/2021,204.42
17/01/2021,205.05
19/01/2021,205.65
21/01/2021,206.62
23/01/2021,211.28
24/01/2021,213.75
27/01/2021,232.24
28/01/2021,235.96
31/01/2021,241.31
01/02/2021,243.52
02/02/2021,246.51
04/02/2021,249.79
07/02/2021,252.98
09/02/2021,256.02
11/02/2021,271.79
12/02/2021,276.96
14/02/2021,282.59
16/02/2021,285.99
17/02/2021,287.32
19/02/2021,289.45
22/02/2021,292.32
23/02/2021,293.12
25/02/2021,294.58
27/02/2021,295.82
01/03/2021,296.95
03/03/2021,297.95
05/03/2021,298.95
07/03/2021,299.83
09/03/2021,300.84
11/03/2021,301.7
13/03/2021,302.45
15/03/2021,303.11
17/03/2021,303.84
19/03/2021,304.38
20/03/2021,304.76
21/03/2021,305.03
23/03/2021,305.65
26/03/2021,306.41
28/03/2021,305.92
30/03/2021,306.44
31/03/2021,306.54
02/04/2021,306.29
04/04/2021,306.03
06/04/2021,306.41
08/04/2021,306.88
10/04/2021,306.46
12/04/2021,306.23
14/04/2021,305.77
16/04/2021,305.96
17/04/2021,305.9
19/04/2021,305.65
20/04/2021,305.52
22/04/2021,304.89
24/04/2021,304.75
26/04/2021,304.65
28/04/2021,304.87
30/04/2021,304.76
03/05/2021,304.5
04/05/2021,304.38
06/05/2021,303.36
08/05/2021,302.1
10/05/2021,300.84
11/05/2021,300.51
13/05/2021,299.2
16/05/2021,297.33
17/05/2021,296.62
19/05/2021,295.33
21/05/2021,293.97
23/05/2021,292.16
25/05/2021,290.36
26/05/2021,289.18
29/05/2021,285.89
30/05/2021,284.79
02/06/2021,281.34
04/06/2021,279.15
05/06/2021,278.18
06/06/2021,277.36
09/06/2021,275.23
10/06/2021,274.52
12/06/2021,272.29
15/06/2021,268.8
17/06/2021,267.12
19/06/2021,264.98
20/06/2021,263.84
22/06/2021,261.6
23/06/2021,260.45
25/06/2021,258.2
28/06/2021,254.8
30/06/2021,252.45
01/07/2021,251.24
03/07/2021,248.6
05/07/2021,245.87
07/07/2021,243.07
09/07/2021,240.36
11/07/2021,237.71
13/07/2021,234.95
14/07/2021,233.59
17/07/2021,229.62
19/07/2021,227.15
20/07/2021,225.81
22/07/2021,223.15
24/07/2021,220.42
25/07/2021,219.12
27/07/2021,216.33
29/07/2021,213.57
31/07/2021,210.74
02/08/2021,207.9
05/08/2021,203.76
06/08/2021,202.36
07/08/2021,200.94
09/08/2021,198.19
12/08/2021,194.08
14/08/2021,191.44
16/08/2021,188.72
18/08/2021,185.87
19/08/2021,184.5
21/08/2021,181.76
23/08/2021,179.05
24/08/2021,177.67
27/08/2021,175.83
28/08/2021,174.89
31/08/2021,172.2
02/09/2021,169.71
04/09/2021,167.36
06/09/2021,164.79
07/09/2021,164.79
08/09/2021,162.17
10/09/2021,159.65
13/09/2021,156.77
14/09/2021,156.37
17/09/2021,155.33
19/09/2021,154.54
20/09/2021,154.15
22/09/2021,153.52
23/09/2021,153.2
25/09/2021,152.5
27/09/2021,151.72
30/09/2021,150.7
01/10/2021,149.93
03/10/2021,149.16
05/10/2021,148.62
07/10/2021,147.92
08/10/2021,147.62
11/10/2021,146.47
12/10/2021,146.17
15/10/2021,145.1
17/10/2021,144.42
19/10/2021,143.82
21/10/2021,143.07
22/10/2021,142.77
22/10/2021,142.77
23/10/2021,142.39
26/10/2021,141.49
28/10/2021,141.2
30/10/2021,141.35
01/11/2021,142.84
02/11/2021,143.89
02/11/2021,143.89
03/11/2021,144.35
04/11/2021,144.65
06/11/2021,145.03
08/11/2021,145.33
10/11/2021,145.48
12/11/2021,145.71
15/11/2021,145.94
16/11/2021,146.01
18/11/2021,146.17
19/11/2021,146.32
21/11/2021,146.47
24/11/2021,147.39
25/11/2021,147.69
28/11/2021,148.31
30/11/2021,148.69
02/12/2021,149.31
03/12/2021,149.77
04/12/2021,150.08
05/12/2021,150.39
06/12/2021,150.63
07/12/2021,150.86
08/12/2021,151.09
09/12/2021,151.56
10/12/2021,152.03
12/12/2021,152.89
13/12/2021,153.28
15/12/2021,153.91
17/12/2021,154.39
19/12/2021,154.7
21/12/2021,155.1
25/12/2021,155.87
26/12/2021,156.21
28/12/2021,160.29
30/12/2021,162.18
