Fecha,Reserva
01/01/2022,32.23
02/01/2022,32.31
03/01/2022,32.36
06/01/2022,32.58
08/01/2022,32.76
10/01/2022,32.88
11/01/2022,32.94
14/01/2022,33.15
15/01/2022,33.2
17/01/2022,33.32
19/01/2022,33.44
22/01/2022,33.62
24/01/2022,33.73
26/01/2022,33.85
28/01/2022,33.97
30/01/2022,34.07
31/01/2022,34.13
01/02/2022,34.18
04/02/2022,34.35
06/02/2022,34.43
07/02/2022,34.46
09/02/2022,34.55
10/02/2022,34.61
11/02/2022,34.64
12/02/2022,34.68
12/02/2022,34.68
14/02/2022,34.78
15/02/2022,34.84
16/02/2022,34.89
17/02/2022,34.92
17/02/2022,34.92
18/02/2022,34.97
19/02/2022,35.02
20/02/2022,35.03
21/02/2022,35.05
22/02/2022,35.06
24/02/2022,35.11
26/02/2022,35.21
28/02/2022,35.25
02/03/2022,35.33
03/03/2022,35.37
05/03/2022,35.58
07/03/2022,35.66
10/03/2022,35.86
11/03/2022,35.93
14/03/2022,36.31
15/03/2022,37.25
17/03/2022,37.73
18/03/2022,37.9
20/03/2022,38.16
22/03/2022,38.39
24/03/2022,38.7
26/03/2022,38.94
29/03/2022,39.32
30/03/2022,39.48
01/04/2022,40.32
03/04/2022,40.64
05/04/2022,40.9
07/04/2022,41.3
09/04/2022,41.54
12/04/2022,41.82
13/04/2022,41.96
14/04/2022,42.07
15/04/2022,42.17
16/04/2022,42.26
17/04/2022,42.34
18/04/2022,42.41
20/04/2022,42.53
22/04/2022,42.7
23/04/2022,42.82
25/04/2022,43.39
27/04/2022,43.62
29/04/2022,44.17
02/05/2022,44.44
03/05/2022,44.51
05/05/2022,44.84
07/05/2022,45.04
09/05/2022,45.17
11/05/2022,45.27
12/05/2022,45.32
15/05/2022,44.92
16/05/2022,44.82
18/05/2022,44.83
21/05/2022,44.63
23/05/2022,44.45
24/05/2022,44.29
26/05/2022,44.04
29/05/2022,43.68
30/05/2022,43.59
01/06/2022,43.58
03/06/2022,43.21
05/06/2022,42.98
07/06/2022,42.86
09/06/2022,42.75
10/06/2022,42.62
12/06/2022,42.19
15/06/2022,41.94
17/06/2022,41.66
19/06/2022,41.24
20/06/2022,41.1
22/06/2022,40.95
24/06/2022,40.56
26/06/2022,39.99
29/06/2022,39.68
01/07/2022,39.29
03/07/2022,38.79
04/07/2022,38.69
06/07/2022,38.53
08/07/2022,38.13
10/07/2022,37.61
12/07/2022,37.43
14/07/2022,37.15
15/07/2022,36.8
17/07/2022,36.27
20/07/2022,36.02
22/07/2022,35.5
24/07/2022,34.9
26/07/2022,34.77
27/07/2022,34.66
29/07/2022,34.12
31/07/2022,33.96
02/08/2022,33.8
04/08/2022,33.64
05/08/2022,33.55
07/08/2022,32.88
09/08/2022,32.71
12/08/2022,31.89
13/08/2022,31.57
16/08/2022,31.29
17/08/2022,31.2
19/08/2022,30.68
22/08/2022,30.37
24/08/2022,30.23
26/08/2022,29.67
27/08/2022,29.56
30/08/2022,29.31
31/08/2022,29.24
02/09/2022,28.66
04/09/2022,28.46
06/09/2022,28.29
08/09/2022,27.75
09/09/2022,27.63
12/09/2022,27.36
13/09/2022,27.29
16/09/2022,27.11
17/09/2022,26.92
19/09/2022,26.33
21/09/2022,26.2
23/09/2022,26.1
26/09/2022,25.95
28/09/2022,25.34
29/09/2022,25.08
02/10/2022,24.72
03/10/2022,12.01
04/10/2022,12.02
06/10/2022,11.91
09/10/2022,11.89
10/10/2022,11.87
13/10/2022,11.41
15/10/2022,9.82
17/10/2022,9.76
19/10/2022,9.74
21/10/2022,9.72
22/10/2022,9.72
24/10/2022,9.7
26/10/2022,9.7
29/10/2022,9.67
30/10/2022,9.65
30/10/2022,9.65
01/11/2022,9.63
03/11/2022,9.62
05/11/2022,9.63
07/11/2022,9.61
09/11/2022,9.59
11/11/2022,9.62
13/11/2022,9.62
15/11/2022,9.63
16/11/2022,9.64
19/11/2022,9.76
21/11/2022,9.79
23/11/2022,9.86
26/11/2022,9.94
27/11/2022,9.95
29/11/2022,9.99
01/12/2022,10.03
03/12/2022,10.94
05/12/2022,11.01
06/12/2022,11.06
09/12/2022,11.2
10/12/2022,11.32
13/12/2022,11.69
14/12/2022,11.85
16/12/2022,12.59
18/12/2022,12.86
20/12/2022,13.02
23/12/2022,13.22
25/12/2022,13.34
27/12/2022,13.45
28/12/2022,13.5
30/12/2022,13.6
