Fecha,Reserva
01/01/2012,149.1
02/01/2012,149.1
03/01/2012,149.06
06/01/2012,149.0
07/01/2012,146.91
09/01/2012,147.77
11/01/2012,147.25
13/01/2012,147.16
15/01/2012,147.03
17/01/2012,146.94
19/01/2012,146.87
21/01/2012,146.76
22/01/2012,146.76
24/01/2012,146.64
26/01/2012,146.54
28/01/2012,146.65
29/01/2012,146.47
01/02/2012,146.54
03/02/2012,146.44
04/02/2012,146.35
05/02/2012,146.44
07/02/2012,145.98
10/02/2012,145.72
12/02/2012,145.72
13/02/2012,145.43
15/02/2012,145.26
16/02/2012,145.15
19/02/2012,145.15
20/02/2012,145.0
23/02/2012,144.83
25/02/2012,144.71
26/02/2012,144.76
27/02/2012,144.55
01/03/2012,144.44
02/03/2012,144.32
04/03/2012,144.27
07/03/2012,144.06
08/03/2012,144.03
09/03/2012,143.89
11/03/2012,143.89
13/03/2012,143.63
15/03/2012,143.51
17/03/2012,143.34
19/03/2012,143.12
20/03/2012,143.18
22/03/2012,143.07
25/03/2012,143.03
26/03/2012,142.9
28/03/2012,142.78
30/03/2012,142.63
31/03/2012,142.58
03/04/2012,142.3
04/04/2012,142.3
07/04/2012,142.3
08/04/2012,142.09
10/04/2012,141.87
12/04/2012,141.6
14/04/2012,141.43
15/04/2012,141.54
17/04/2012,141.17
19/04/2012,140.93
21/04/2012,140.89
22/04/2012,140.93
24/04/2012,140.41
27/04/2012,140.08
29/04/2012,140.32
30/04/2012,140.04
02/05/2012,140.04
04/05/2012,139.99
06/05/2012,139.99
08/05/2012,139.87
10/05/2012,139.93
12/05/2012,139.82
13/05/2012,139.71
14/05/2012,139.56
16/05/2012,139.33
19/05/2012,139.02
20/05/2012,138.97
22/05/2012,138.7
24/05/2012,138.48
25/05/2012,138.38
27/05/2012,138.16
30/05/2012,137.73
31/05/2012,137.64
03/06/2012,137.26
04/06/2012,137.1
05/06/2012,136.9
07/06/2012,136.67
09/06/2012,136.32
11/06/2012,135.99
13/06/2012,135.62
15/06/2012,135.31
17/06/2012,135.31
18/06/2012,135.31
20/06/2012,134.57
22/06/2012,134.2
24/06/2012,133.95
26/06/2012,133.58
28/06/2012,133.27
30/06/2012,133.01
01/07/2012,132.74
04/07/2012,132.17
05/07/2012,132.03
07/07/2012,131.62
08/07/2012,131.45
11/07/2012,130.99
13/07/2012,130.64
15/07/2012,130.24
17/07/2012,129.92
18/07/2012,129.71
19/07/2012,129.55
21/07/2012,129.16
23/07/2012,128.85
26/07/2012,128.3
27/07/2012,128.15
29/07/2012,127.75
30/07/2012,127.59
02/08/2012,127.07
04/08/2012,126.68
05/08/2012,126.53
08/08/2012,125.93
09/08/2012,125.79
11/08/2012,125.59
12/08/2012,125.59
14/08/2012,124.86
17/08/2012,124.3
19/08/2012,123.97
20/08/2012,123.85
21/08/2012,123.65
23/08/2012,123.32
26/08/2012,122.7
28/08/2012,122.38
30/08/2012,122.04
31/08/2012,121.84
01/09/2012,121.66
03/09/2012,121.36
06/09/2012,120.82
08/09/2012,120.52
10/09/2012,120.23
11/09/2012,120.06
13/09/2012,119.76
14/09/2012,119.62
17/09/2012,119.17
18/09/2012,118.99
21/09/2012,118.56
22/09/2012,118.44
24/09/2012,118.17
26/09/2012,117.83
28/09/2012,117.65
29/09/2012,118.36
01/10/2012,118.46
03/10/2012,118.27
04/10/2012,118.12
06/10/2012,117.98
08/10/2012,117.83
10/10/2012,117.6
13/10/2012,117.31
14/10/2012,117.17
15/10/2012,117.08
18/10/2012,116.71
19/10/2012,116.71
21/10/2012,116.56
24/10/2012,116.37
25/10/2012,116.37
26/10/2012,118.37
28/10/2012,119.47
30/10/2012,119.62
01/11/2012,120.48
03/11/2012,120.59
05/11/2012,122.62
06/11/2012,123.28
09/11/2012,127.38
10/11/2012,133.23
12/11/2012,135.23
14/11/2012,136.2
16/11/2012,136.83
17/11/2012,137.28
19/11/2012,153.43
22/11/2012,145.46
24/11/2012,146.59
25/11/2012,147.12
27/11/2012,147.98
29/11/2012,148.6
01/12/2012,149.09
03/12/2012,149.5
05/12/2012,148.76
07/12/2012,149.05
08/12/2012,149.33
10/12/2012,149.65
12/12/2012,149.88
13/12/2012,150.05
16/12/2012,150.46
17/12/2012,150.57
19/12/2012,150.73
21/12/2012,150.91
23/12/2012,151.03
25/12/2012,151.12
26/12/2012,151.29
28/12/2012,151.3
30/12/2012,151.42
