Fecha,Reserva
01/01/2018,8.52
02/01/2018,8.53
04/01/2018,8.54
06/01/2018,8.56
07/01/2018,8.67
10/01/2018,8.74
11/01/2018,8.87
13/01/2018,8.93
14/01/2018,8.95
16/01/2018,9.04
19/01/2018,9.1
21/01/2018,9.12
22/01/2018,9.14
24/01/2018,9.16
25/01/2018,9.17
27/01/2018,9.22
29/01/2018,9.23
31/01/2018,9.25
02/02/2018,9.27
04/02/2018,9.29
05/02/2018,9.3
07/02/2018,9.35
09/02/2018,9.37
12/02/2018,9.41
13/02/2018,9.43
15/02/2018,9.45
17/02/2018,9.47
19/02/2018,9.49
21/02/2018,9.51
22/02/2018,9.52
24/02/2018,9.54
26/02/2018,9.56
28/02/2018,9.62
01/03/2018,9.67
04/03/2018,10.91
05/03/2018,8.85
06/03/2018,8.62
09/03/2018,10.04
11/03/2018,9.87
13/03/2018,9.33
15/03/2018,9.25
16/03/2018,9.03
18/03/2018,11.47
19/03/2018,10.2
21/03/2018,8.66
23/03/2018,8.38
26/03/2018,8.87
27/03/2018,8.82
29/03/2018,8.65
30/03/2018,8.54
01/04/2018,8.47
03/04/2018,8.24
05/04/2018,8.34
07/04/2018,8.54
09/04/2018,8.78
11/04/2018,9.29
13/04/2018,9.39
15/04/2018,9.06
16/04/2018,122.8
18/04/2018,8.67
20/04/2018,8.63
22/04/2018,8.55
23/04/2018,8.59
25/04/2018,8.77
27/04/2018,8.93
29/04/2018,9.05
01/05/2018,9.16
02/05/2018,9.26
05/05/2018,9.39
06/05/2018,9.43
08/05/2018,9.54
10/05/2018,9.6
11/05/2018,9.63
13/05/2018,9.67
15/05/2018,9.7
18/05/2018,9.72
19/05/2018,9.78
21/05/2018,9.87
22/05/2018,9.9
24/05/2018,9.92
26/05/2018,9.91
28/05/2018,9.91
30/05/2018,9.89
31/05/2018,9.89
03/06/2018,9.85
05/06/2018,9.8
07/06/2018,9.92
09/06/2018,10.01
10/06/2018,10.06
12/06/2018,10.15
13/06/2018,10.19
16/06/2018,10.28
18/06/2018,10.33
19/06/2018,10.35
21/06/2018,10.38
22/06/2018,10.38
24/06/2018,10.4
26/06/2018,10.41
28/06/2018,10.42
30/06/2018,10.52
02/07/2018,10.6
03/07/2018,10.65
05/07/2018,10.74
08/07/2018,10.86
09/07/2018,10.9
11/07/2018,10.97
13/07/2018,11.03
14/07/2018,11.07
16/07/2018,11.14
19/07/2018,11.23
20/07/2018,11.25
22/07/2018,11.29
23/07/2018,11.32
26/07/2018,11.37
27/07/2018,11.4
30/07/2018,11.44
31/07/2018,11.42
02/08/2018,11.4
04/08/2018,11.35
05/08/2018,11.34
08/08/2018,11.27
10/08/2018,11.24
11/08/2018,11.21
13/08/2018,11.23
14/08/2018,11.21
16/08/2018,11.18
19/08/2018,11.15
20/08/2018,11.14
22/08/2018,11.09
24/08/2018,11.06
25/08/2018,11.03
28/08/2018,10.97
30/08/2018,10.9
01/09/2018,10.86
02/09/2018,10.83
04/09/2018,10.79
06/09/2018,10.74
08/09/2018,10.7
09/09/2018,10.68
12/09/2018,10.64
13/09/2018,10.62
14/09/2018,10.59
16/09/2018,10.59
18/09/2018,10.66
21/09/2018,10.64
22/09/2018,10.62
24/09/2018,10.57
26/09/2018,10.53
28/09/2018,10.47
30/09/2018,10.43
01/10/2018,10.4
04/10/2018,10.33
05/10/2018,10.29
06/10/2018,10.27
08/10/2018,10.21
10/10/2018,10.18
13/10/2018,10.11
14/10/2018,10.09
16/10/2018,10.08
18/10/2018,10.07
19/10/2018,10.05
21/10/2018,9.96
24/10/2018,9.8
26/10/2018,9.71
27/10/2018,9.66
29/10/2018,9.58
30/10/2018,9.53
01/11/2018,9.5
04/11/2018,9.36
05/11/2018,9.32
06/11/2018,9.31
08/11/2018,9.23
10/11/2018,9.28
12/11/2018,9.2
15/11/2018,9.08
16/11/2018,9.05
18/11/2018,8.97
19/11/2018,9.01
21/11/2018,9.43
24/11/2018,9.46
25/11/2018,9.44
27/11/2018,9.63
28/11/2018,9.62
30/11/2018,9.58
02/12/2018,9.54
05/12/2018,9.48
06/12/2018,9.45
08/12/2018,9.4
09/12/2018,9.38
12/12/2018,9.3
14/12/2018,9.28
16/12/2018,9.24
17/12/2018,9.22
19/12/2018,9.18
20/12/2018,9.15
23/12/2018,9.06
24/12/2018,9.02
26/12/2018,8.97
28/12/2018,8.91
30/12/2018,8.85
