Fecha,Reserva
01/01/2019,97.2
02/01/2019,97.21
04/01/2019,97.24
05/01/2019,97.24
08/01/2019,97.27
10/01/2019,97.3
11/01/2019,97.3
12/01/2019,97.3
14/01/2019,97.32
17/01/2019,97.37
19/01/2019,97.38
20/01/2019,97.46
22/01/2019,97.56
24/01/2019,97.67
25/01/2019,97.72
27/01/2019,97.77
30/01/2019,97.83
01/02/2019,98.29
02/02/2019,99.35
03/02/2019,99.91
05/02/2019,100.4
07/02/2019,100.64
09/02/2019,100.8
11/02/2019,100.93
13/02/2019,101.02
14/02/2019,101.07
16/02/2019,101.15
18/02/2019,101.2
20/02/2019,101.27
23/02/2019,101.33
24/02/2019,101.36
25/02/2019,101.37
27/02/2019,101.41
01/03/2019,101.44
04/03/2019,101.47
05/03/2019,101.51
06/03/2019,101.53
09/03/2019,101.65
11/03/2019,101.7
12/03/2019,101.46
14/03/2019,100.69
16/03/2019,99.97
18/03/2019,99.26
20/03/2019,98.5
22/03/2019,97.79
23/03/2019,97.19
26/03/2019,95.13
27/03/2019,94.41
29/03/2019,93.0
31/03/2019,91.7
02/04/2019,90.31
04/04/2019,88.88
05/04/2019,88.64
07/04/2019,88.76
08/04/2019,88.81
11/04/2019,89.25
13/04/2019,89.37
15/04/2019,89.43
16/04/2019,89.19
18/04/2019,88.51
20/04/2019,88.66
22/04/2019,88.75
24/04/2019,88.94
25/04/2019,89.1
27/04/2019,90.18
29/04/2019,90.58
01/05/2019,90.77
03/05/2019,90.89
05/05/2019,90.25
06/05/2019,89.92
08/05/2019,89.23
10/05/2019,88.35
12/05/2019,86.93
14/05/2019,85.51
16/05/2019,84.07
18/05/2019,82.58
19/05/2019,81.86
20/05/2019,81.13
22/05/2019,79.69
24/05/2019,78.22
27/05/2019,76.05
28/05/2019,75.33
30/05/2019,73.86
31/05/2019,73.12
03/06/2019,70.9
04/06/2019,70.19
07/06/2019,67.96
08/06/2019,67.2
10/06/2019,65.73
12/06/2019,64.25
14/06/2019,62.82
16/06/2019,61.33
18/06/2019,59.87
20/06/2019,58.43
21/06/2019,57.69
22/06/2019,57.21
24/06/2019,57.07
27/06/2019,57.02
28/06/2019,56.99
30/06/2019,56.94
02/07/2019,56.9
04/07/2019,56.85
06/07/2019,56.78
08/07/2019,56.74
09/07/2019,56.7
11/07/2019,56.66
13/07/2019,56.63
14/07/2019,56.59
17/07/2019,56.53
19/07/2019,56.48
20/07/2019,56.48
22/07/2019,56.41
24/07/2019,56.37
26/07/2019,56.32
28/07/2019,56.25
29/07/2019,56.23
31/07/2019,56.16
02/08/2019,56.13
04/08/2019,56.07
06/08/2019,56.03
07/08/2019,55.98
10/08/2019,55.93
11/08/2019,55.9
13/08/2019,55.84
15/08/2019,55.79
16/08/2019,55.78
19/08/2019,55.71
21/08/2019,55.65
22/08/2019,55.65
24/08/2019,55.59
26/08/2019,55.55
28/08/2019,55.51
30/08/2019,55.47
31/08/2019,55.44
02/09/2019,55.41
04/09/2019,55.37
06/09/2019,55.32
08/09/2019,55.32
10/09/2019,55.27
11/09/2019,55.2
13/09/2019,55.19
14/09/2019,55.18
16/09/2019,55.38
18/09/2019,55.36
21/09/2019,55.33
22/09/2019,55.32
24/09/2019,55.31
25/09/2019,55.28
27/09/2019,55.26
29/09/2019,55.21
01/10/2019,55.2
04/10/2019,55.16
05/10/2019,55.13
07/10/2019,55.1
09/10/2019,55.08
11/10/2019,55.06
13/10/2019,55.05
14/10/2019,55.04
16/10/2019,54.99
18/10/2019,54.97
19/10/2019,54.96
22/10/2019,54.97
24/10/2019,54.93
25/10/2019,54.92
27/10/2019,54.54
28/10/2019,54.52
31/10/2019,54.52
02/11/2019,54.51
03/11/2019,54.54
05/11/2019,54.54
06/11/2019,54.52
08/11/2019,54.51
11/11/2019,54.48
12/11/2019,54.47
14/11/2019,54.47
16/11/2019,54.44
18/11/2019,54.57
20/11/2019,54.55
22/11/2019,54.64
23/11/2019,56.54
25/11/2019,57.08
27/11/2019,57.32
29/11/2019,57.54
01/12/2019,57.7
03/12/2019,58.66
04/12/2019,59.02
06/12/2019,59.33
08/12/2019,59.49
10/12/2019,59.59
11/12/2019,59.62
13/12/2019,59.7
16/12/2019,59.84
18/12/2019,59.92
19/12/2019,59.97
20/12/2019,64.02
22/12/2019,94.31
24/12/2019,98.84
26/12/2019,100.33
28/12/2019,101.12
30/12/2019,101.62
