Fecha,Reserva
01/01/2022,66.23
02/01/2022,66.23
04/01/2022,66.26
06/01/2022,66.34
08/01/2022,66.41
10/01/2022,66.41
12/01/2022,67.41
13/01/2022,66.41
16/01/2022,66.41
18/01/2022,66.44
19/01/2022,66.44
21/01/2022,66.44
23/01/2022,66.44
25/01/2022,66.44
28/01/2022,66.44
29/01/2022,66.41
31/01/2022,66.41
02/02/2022,66.41
04/02/2022,66.44
05/02/2022,66.44
07/02/2022,66.44
08/02/2022,66.44
09/02/2022,66.44
11/02/2022,66.44
12/02/2022,66.48
12/02/2022,66.48
13/02/2022,66.48
14/02/2022,66.48
15/02/2022,66.48
16/02/2022,66.48
17/02/2022,66.48
18/02/2022,66.48
19/02/2022,66.52
20/02/2022,66.52
21/02/2022,66.52
22/02/2022,66.52
24/02/2022,67.52
25/02/2022,66.52
28/02/2022,66.52
02/03/2022,66.37
04/03/2022,65.66
06/03/2022,64.88
08/03/2022,64.11
09/03/2022,63.79
11/03/2022,62.99
14/03/2022,62.03
15/03/2022,61.99
17/03/2022,61.96
19/03/2022,61.38
20/03/2022,60.83
23/03/2022,59.98
25/03/2022,62.61
26/03/2022,63.27
28/03/2022,63.62
30/03/2022,63.72
01/04/2022,64.0
04/04/2022,64.07
06/04/2022,64.28
08/04/2022,64.39
09/04/2022,64.42
11/04/2022,64.42
13/04/2022,64.56
14/04/2022,64.63
15/04/2022,64.67
16/04/2022,64.67
17/04/2022,64.7
18/04/2022,64.7
19/04/2022,64.74
22/04/2022,64.74
24/04/2022,65.52
26/04/2022,65.69
28/04/2022,65.77
29/04/2022,65.84
02/05/2022,65.91
03/05/2022,65.94
05/05/2022,66.12
08/05/2022,66.16
09/05/2022,66.19
11/05/2022,66.19
12/05/2022,66.19
14/05/2022,65.94
16/05/2022,65.66
18/05/2022,65.34
20/05/2022,65.06
23/05/2022,64.78
24/05/2022,64.7
26/05/2022,64.53
28/05/2022,64.32
30/05/2022,64.18
01/06/2022,64.0
03/06/2022,63.62
05/06/2022,63.2
07/06/2022,62.82
08/06/2022,62.65
10/06/2022,62.23
13/06/2022,61.44
14/06/2022,61.27
17/06/2022,60.76
18/06/2022,60.63
21/06/2022,59.88
23/06/2022,59.48
25/06/2022,59.08
27/06/2022,58.68
29/06/2022,58.25
01/07/2022,57.85
02/07/2022,57.66
05/07/2022,57.06
06/07/2022,56.87
08/07/2022,56.48
10/07/2022,56.28
11/07/2022,55.86
13/07/2022,55.35
15/07/2022,54.87
17/07/2022,54.33
20/07/2022,53.57
22/07/2022,53.1
24/07/2022,52.6
25/07/2022,52.38
27/07/2022,51.85
30/07/2022,51.12
01/08/2022,50.63
02/08/2022,50.38
04/08/2022,49.6
05/08/2022,49.21
07/08/2022,48.38
10/08/2022,47.23
11/08/2022,46.82
13/08/2022,46.04
16/08/2022,44.9
17/08/2022,44.5
19/08/2022,43.72
22/08/2022,42.61
24/08/2022,42.22
25/08/2022,41.95
27/08/2022,41.52
29/08/2022,41.11
01/09/2022,40.57
03/09/2022,40.36
04/09/2022,40.23
06/09/2022,40.12
07/09/2022,39.88
10/09/2022,39.51
11/09/2022,39.41
13/09/2022,39.17
16/09/2022,38.94
17/09/2022,38.81
20/09/2022,38.42
22/09/2022,38.24
24/09/2022,38.08
26/09/2022,37.93
28/09/2022,37.72
30/09/2022,37.52
02/10/2022,37.25
03/10/2022,37.14
05/10/2022,36.88
07/10/2022,36.63
09/10/2022,36.43
10/10/2022,36.33
13/10/2022,36.1
15/10/2022,35.95
17/10/2022,35.81
19/10/2022,35.66
21/10/2022,35.56
22/10/2022,35.61
24/10/2022,35.56
27/10/2022,35.34
28/10/2022,35.26
30/10/2022,35.12
30/10/2022,35.12
31/10/2022,35.04
02/11/2022,34.84
05/11/2022,34.58
07/11/2022,34.38
08/11/2022,34.29
10/11/2022,34.09
13/11/2022,33.8
15/11/2022,33.61
18/11/2022,39.4
19/11/2022,35.46
21/11/2022,35.81
23/11/2022,33.04
26/11/2022,32.83
27/11/2022,32.78
29/11/2022,32.64
01/12/2022,32.5
03/12/2022,32.36
05/12/2022,32.22
07/12/2022,32.03
09/12/2022,32.22
11/12/2022,33.11
13/12/2022,35.09
14/12/2022,39.67
16/12/2022,42.11
18/12/2022,42.47
21/12/2022,42.8
23/12/2022,42.91
25/12/2022,42.38
26/12/2022,42.99
28/12/2022,43.08
30/12/2022,43.1
