Fecha,Reserva
01/01/2013,150.01
02/01/2013,149.84
03/01/2013,149.75
05/01/2013,149.49
07/01/2013,149.15
10/01/2013,148.73
11/01/2013,148.64
13/01/2013,148.38
15/01/2013,148.04
17/01/2013,148.21
18/01/2013,148.21
21/01/2013,149.24
22/01/2013,150.09
23/01/2013,150.78
25/01/2013,151.13
27/01/2013,152.25
29/01/2013,152.77
31/01/2013,153.12
02/02/2013,153.38
04/02/2013,153.56
06/02/2013,153.73
08/02/2013,153.73
10/02/2013,153.91
12/02/2013,153.99
13/02/2013,154.08
15/02/2013,154.08
17/02/2013,154.17
19/02/2013,154.52
20/02/2013,159.86
22/02/2013,162.76
24/02/2013,163.03
25/02/2013,166.82
27/02/2013,167.56
02/03/2013,168.31
04/03/2013,168.12
05/03/2013,170.86
07/03/2013,174.98
09/03/2013,182.76
11/03/2013,178.79
13/03/2013,179.48
15/03/2013,175.66
16/03/2013,174.69
18/03/2013,173.43
19/03/2013,172.67
22/03/2013,174.4
24/03/2013,179.48
25/03/2013,180.37
27/03/2013,178.49
28/03/2013,178.69
31/03/2013,176.73
02/04/2013,183.36
04/04/2013,180.57
06/04/2013,178.49
07/04/2013,176.14
08/04/2013,176.14
10/04/2013,173.24
12/04/2013,172.0
15/04/2013,172.0
16/04/2013,171.9
18/04/2013,171.71
20/04/2013,171.33
22/04/2013,171.05
23/04/2013,170.67
26/04/2013,170.19
27/04/2013,170.1
29/04/2013,169.63
01/05/2013,169.25
02/05/2013,169.34
05/05/2013,169.63
07/05/2013,169.72
08/05/2013,169.82
09/05/2013,169.91
11/05/2013,170.0
14/05/2013,170.1
15/05/2013,170.19
17/05/2013,169.44
19/05/2013,169.53
20/05/2013,169.63
22/05/2013,169.63
25/05/2013,169.72
26/05/2013,169.82
29/05/2013,169.91
30/05/2013,169.82
01/06/2013,169.82
02/06/2013,169.91
05/06/2013,169.91
07/06/2013,169.82
09/06/2013,169.34
10/06/2013,169.16
12/06/2013,168.59
14/06/2013,168.12
15/06/2013,168.03
17/06/2013,168.03
19/06/2013,167.94
21/06/2013,167.94
23/06/2013,167.94
25/06/2013,167.84
27/06/2013,167.84
29/06/2013,167.75
01/07/2013,167.75
02/07/2013,167.66
04/07/2013,167.66
05/07/2013,167.56
07/07/2013,167.47
09/07/2013,167.47
11/07/2013,167.38
12/07/2013,167.29
14/07/2013,167.19
16/07/2013,167.19
19/07/2013,167.0
20/07/2013,167.0
22/07/2013,166.91
23/07/2013,166.91
26/07/2013,166.72
28/07/2013,166.72
29/07/2013,166.63
31/07/2013,166.63
02/08/2013,166.54
04/08/2013,166.35
06/08/2013,166.35
08/08/2013,166.17
10/08/2013,166.07
12/08/2013,166.07
13/08/2013,165.98
15/08/2013,165.89
17/08/2013,165.89
18/08/2013,165.79
21/08/2013,165.7
22/08/2013,165.61
24/08/2013,165.52
26/08/2013,165.52
27/08/2013,165.42
29/08/2013,165.42
31/08/2013,165.61
02/09/2013,165.52
04/09/2013,165.52
05/09/2013,165.42
07/09/2013,165.42
10/09/2013,165.33
11/09/2013,165.24
13/09/2013,165.24
14/09/2013,165.15
17/09/2013,165.15
19/09/2013,165.05
21/09/2013,165.05
22/09/2013,165.05
24/09/2013,164.96
26/09/2013,164.96
27/09/2013,164.96
29/09/2013,165.24
01/10/2013,165.33
04/10/2013,165.42
05/10/2013,164.96
07/10/2013,163.95
09/10/2013,163.22
11/10/2013,162.3
13/10/2013,161.39
14/10/2013,160.94
16/10/2013,160.67
18/10/2013,160.58
19/10/2013,160.49
22/10/2013,160.67
23/10/2013,161.85
26/10/2013,162.48
27/10/2013,162.48
28/10/2013,162.48
30/10/2013,162.3
01/11/2013,162.12
04/11/2013,161.85
05/11/2013,161.85
07/11/2013,161.67
08/11/2013,161.57
10/11/2013,161.39
13/11/2013,161.12
15/11/2013,161.03
16/11/2013,160.85
17/11/2013,160.76
20/11/2013,160.49
21/11/2013,160.49
24/11/2013,160.13
26/11/2013,159.23
27/11/2013,158.87
29/11/2013,157.97
01/12/2013,157.08
03/12/2013,157.08
05/12/2013,157.17
06/12/2013,157.17
08/12/2013,157.17
10/12/2013,157.26
11/12/2013,157.26
14/12/2013,157.26
15/12/2013,157.35
17/12/2013,157.35
19/12/2013,157.35
20/12/2013,157.44
23/12/2013,157.26
24/12/2013,157.26
26/12/2013,159.14
28/12/2013,159.32
30/12/2013,159.32
