Fecha,Reserva
2012-01-01,110.73
2012-01-02,110.73
2012-01-03,110.77
2012-01-04,110.81
2012-01-05,110.81
2012-01-06,110.81
2012-01-07,110.81
2012-01-08,110.98
2012-01-09,111.16
2012-01-10,111.16
2012-01-11,111.16
2012-01-12,111.16
2012-01-13,110.9
2012-01-14,110.72
2012-01-15,110.55
2012-01-16,110.9
2012-01-17,110.86
2012-01-18,110.81
2012-01-19,110.81
2012-01-20,110.81
2012-01-21,110.81
2012-01-22,110.9
2012-01-23,110.9
2012-01-24,110.9
2012-01-25,110.9
2012-01-26,110.9
2012-01-27,110.94
2012-01-28,110.99
2012-01-29,110.94
2012-01-30,110.9
2012-01-31,110.99
2012-02-01,111.03
2012-02-02,111.03
2012-02-03,111.07
2012-02-04,110.99
2012-02-05,110.99
2012-02-06,110.99
2012-02-07,110.99
2012-02-08,110.99
2012-02-09,111.07
2012-02-10,111.07
2012-02-11,111.07
2012-02-12,111.07
2012-02-13,110.99
2012-02-14,111.03
2012-02-15,111.07
2012-02-16,111.07
2012-02-17,111.07
2012-02-18,111.12
2012-02-19,111.16
2012-02-20,111.07
2012-02-21,111.12
2012-02-22,111.16
2012-02-23,111.16
2012-02-24,111.16
2012-02-25,111.16
2012-02-26,111.16
2012-02-27,111.16
2012-02-28,111.16
2012-02-29,111.16
2012-03-01,111.16
2012-03-02,111.2
2012-03-03,111.25
2012-03-04,111.16
2012-03-05,111.16
2012-03-06,111.16
2012-03-07,111.2
2012-03-08,111.25
2012-03-09,111.25
2012-03-10,111.25
2012-03-11,111.25
2012-03-12,111.25
2012-03-13,111.25
2012-03-14,111.25
2012-03-15,111.29
2012-03-16,111.33
2012-03-17,111.33
2012-03-18,111.33
2012-03-19,111.33
2012-03-20,111.25
2012-03-21,111.26
2012-03-22,111.28
2012-03-23,111.26
2012-03-24,111.25
2012-03-25,111.25
2012-03-26,111.25
2012-03-27,111.25
2012-03-28,111.25
2012-03-29,111.25
2012-03-30,111.25
2012-03-31,111.25
2012-04-01,111.25
2012-04-02,111.33
2012-04-03,111.33
2012-04-04,111.33
2012-04-05,111.33
2012-04-06,111.42
2012-04-07,111.38
2012-04-08,111.33
2012-04-09,111.33
2012-04-10,111.33
2012-04-11,111.33
2012-04-12,111.33
2012-04-13,111.29
2012-04-14,111.25
2012-04-15,111.25
2012-04-16,111.25
2012-04-17,111.17
2012-04-18,111.16
2012-04-19,111.16
2012-04-20,111.16
2012-04-21,111.16
2012-04-22,111.07
2012-04-23,111.03
2012-04-24,111.03
2012-04-25,110.99
2012-04-26,110.99
2012-04-27,111.12
2012-04-28,111.25
2012-04-29,111.34
2012-04-30,111.42
2012-05-01,111.42
2012-05-02,111.42
2012-05-03,111.6
2012-05-04,111.77
2012-05-05,111.77
2012-05-06,111.77
2012-05-07,111.77
2012-05-08,112.16
2012-05-09,112.16
2012-05-10,112.56
2012-05-11,112.21
2012-05-12,111.86
2012-05-13,111.51
2012-05-14,111.16
2012-05-15,110.81
2012-05-16,110.43
2012-05-17,110.04
2012-05-18,109.61
2012-05-19,109.18
2012-05-20,108.79
2012-05-21,108.4
2012-05-22,107.98
2012-05-23,107.55
2012-05-24,107.21
2012-05-25,107.13
2012-05-26,107.08
2012-05-27,107.08
2012-05-28,107.04
2012-05-29,106.96
2012-05-30,106.88
2012-05-31,106.88
2012-06-01,106.88
2012-06-02,106.5
2012-06-03,106.12
2012-06-04,105.61
2012-06-05,105.19
2012-06-06,104.77
2012-06-07,104.35
2012-06-08,103.94
2012-06-09,103.44
2012-06-10,102.78
2012-06-11,102.78
2012-06-12,102.13
2012-06-13,102.07
2012-06-14,102.01
2012-06-15,101.96
2012-06-16,101.96
2012-06-17,101.96
2012-06-18,101.96
2012-06-19,101.81
2012-06-20,101.66
2012-06-21,101.6
2012-06-22,101.55
2012-06-23,101.51
2012-06-24,101.47
2012-06-25,101.47
2012-06-26,101.47
2012-06-27,101.39
2012-06-28,101.31
2012-06-29,101.22
2012-06-30,101.14
2012-07-01,101.06
2012-07-02,100.98
2012-07-03,100.94
2012-07-04,100.9
2012-07-05,100.82
2012-07-06,100.74
2012-07-07,100.66
2012-07-08,100.57
2012-07-09,100.49
2012-07-10,100.41
2012-07-11,100.33
2012-07-12,100.29
2012-07-13,100.25
2012-07-14,100.17
2012-07-15,100.09
2012-07-16,100.01
2012-07-17,99.97
2012-07-18,99.93
2012-07-19,99.93
2012-07-20,99.85
2012-07-21,99.77
2012-07-22,99.64
2012-07-23,99.64
2012-07-24,99.52
2012-07-25,99.48
2012-07-26,99.44
2012-07-27,99.36
2012-07-28,99.28
2012-07-29,99.2
2012-07-30,99.2
2012-07-31,99.08
2012-08-01,99.08
2012-08-02,98.96
2012-08-03,98.88
2012-08-04,98.44
2012-08-05,98.0
2012-08-06,97.54
2012-08-07,97.07
2012-08-08,96.66
2012-08-09,96.26
2012-08-10,95.78
2012-08-11,95.16
2012-08-12,95.16
2012-08-13,94.54
2012-08-14,93.99
2012-08-15,93.52
2012-08-16,93.06
2012-08-17,92.44
2012-08-18,92.44
2012-08-19,91.83
2012-08-20,91.38
2012-08-21,91.0
2012-08-22,90.54
2012-08-23,90.09
2012-08-24,89.46
2012-08-25,89.46
2012-08-26,88.82
2012-08-27,88.44
2012-08-28,87.82
2012-08-29,87.82
2012-08-30,87.19
2012-08-31,86.82
2012-09-01,86.42
2012-09-02,86.01
2012-09-03,85.58
2012-09-04,85.14
2012-09-05,84.79
2012-09-06,84.39
2012-09-07,83.99
2012-09-08,83.56
2012-09-09,83.13
2012-09-10,82.74
2012-09-11,82.35
2012-09-12,81.97
2012-09-13,81.59
2012-09-14,81.01
2012-09-15,80.6
2012-09-16,80.18
2012-09-17,79.6
2012-09-18,79.6
2012-09-19,79.03
2012-09-20,78.6
2012-09-21,78.18
2012-09-22,77.84
2012-09-23,77.44
2012-09-24,77.03
2012-09-25,76.64
2012-09-26,76.25
2012-09-27,75.82
2012-09-28,75.22
2012-09-29,75.22
2012-09-30,74.63
2012-10-01,74.36
2012-10-02,74.35
2012-10-03,74.34
2012-10-04,74.32
2012-10-05,74.3
2012-10-06,74.26
2012-10-07,74.23
2012-10-08,74.23
2012-10-09,74.23
2012-10-10,74.23
2012-10-11,74.2
2012-10-12,74.17
2012-10-13,74.1
2012-10-14,74.03
2012-10-15,74.0
2012-10-16,73.97
2012-10-17,73.94
2012-10-18,73.9
2012-10-19,74.43
2012-10-20,74.4
2012-10-21,74.4
2012-10-22,74.36
2012-10-23,74.0
2012-10-24,73.64
2012-10-25,73.38
2012-10-26,73.71
2012-10-27,73.68
2012-10-28,73.68
2012-10-29,73.64
2012-10-30,74.63
2012-10-31,74.2
2012-11-01,74.2
2012-11-02,73.77
2012-11-03,74.17
2012-11-04,75.9
2012-11-05,77.64
2012-11-06,77.6
2012-11-07,77.57
2012-11-08,79.32
2012-11-09,81.08
2012-11-10,80.88
2012-11-11,80.67
2012-11-12,77.98
2012-11-13,75.29
2012-11-14,74.76
2012-11-15,74.37
2012-11-16,73.97
2012-11-17,74.23
2012-11-18,75.32
2012-11-19,76.42
2012-11-20,76.69
2012-11-21,76.96
2012-11-22,77.1
2012-11-23,77.23
2012-11-24,77.34
2012-11-25,77.44
2012-11-26,77.5
2012-11-27,77.57
2012-11-28,77.57
2012-11-29,77.57
2012-11-30,77.64
2012-12-01,77.68
2012-12-02,77.71
2012-12-03,77.71
2012-12-04,77.71
2012-12-05,77.74
2012-12-06,77.77
2012-12-07,77.88
2012-12-08,77.98
2012-12-09,78.04
2012-12-10,78.11
2012-12-11,78.11
2012-12-12,78.18
2012-12-13,78.18
2012-12-14,78.25
2012-12-15,78.39
2012-12-16,78.97
2012-12-17,79.56
2012-12-18,79.8
2012-12-19,80.04
2012-12-20,80.25
2012-12-21,80.39
2012-12-22,80.53
2012-12-23,80.6
2012-12-24,80.67
2012-12-25,80.84
2012-12-26,80.84
2012-12-27,81.01
2012-12-28,81.01
2012-12-29,81.08
2012-12-30,81.15
2012-12-31,81.22
2013-01-01,81.3
2013-01-02,81.37
2013-01-03,81.44
2013-01-04,81.47
2013-01-05,81.47
2013-01-06,81.51
2013-01-07,81.58
2013-01-08,81.58
2013-01-09,81.58
2013-01-10,81.62
2013-01-11,81.65
2013-01-12,81.72
2013-01-13,81.79
2013-01-14,81.79
2013-01-15,81.79
2013-01-16,81.82
2013-01-17,81.86
2013-01-18,81.93
2013-01-19,82.56
2013-01-20,82.56
2013-01-21,83.2
2013-01-22,85.0
2013-01-23,85.58
2013-01-24,86.16
2013-01-25,86.6
2013-01-26,87.38
2013-01-27,88.15
2013-01-28,88.56
2013-01-29,88.97
2013-01-30,89.23
2013-01-31,89.49
2013-02-01,89.68
2013-02-02,89.86
2013-02-03,89.94
2013-02-04,90.13
2013-02-05,90.13
2013-02-06,90.32
2013-02-07,90.39
2013-02-08,90.5
2013-02-09,90.5
2013-02-10,90.62
2013-02-11,90.62
2013-02-12,90.7
2013-02-13,90.77
2013-02-14,90.85
2013-02-15,90.96
2013-02-16,90.96
2013-02-17,91.07
2013-02-18,91.22
2013-02-19,91.38
2013-02-20,93.21
2013-02-21,95.13
2013-02-22,95.13
2013-02-23,97.05
2013-02-24,97.36
2013-02-25,99.36
2013-02-26,99.68
2013-02-27,100.01
2013-02-28,100.54
2013-03-01,100.54
2013-03-02,101.06
2013-03-03,101.26
2013-03-04,101.47
2013-03-05,105.02
2013-03-06,111.25
2013-03-07,114.34
2013-03-08,117.44
2013-03-09,118.71
2013-03-10,118.71
2013-03-11,119.98
2013-03-12,119.16
2013-03-13,119.07
2013-03-14,119.07
2013-03-15,118.98
2013-03-16,118.8
2013-03-17,118.52
2013-03-18,118.52
2013-03-19,118.52
2013-03-20,119.38
2013-03-21,119.38
2013-03-22,120.25
2013-03-23,121.35
2013-03-24,122.46
2013-03-25,121.54
2013-03-26,120.62
2013-03-27,121.26
2013-03-28,122.18
2013-03-29,122.41
2013-03-30,122.41
2013-03-31,122.64
2013-04-01,123.52
2013-04-02,124.41
2013-04-03,123.66
2013-04-04,123.99
2013-04-05,124.32
2013-04-06,123.94
2013-04-07,123.57
2013-04-08,123.57
2013-04-09,123.76
2013-04-10,123.76
2013-04-11,123.94
2013-04-12,124.04
2013-04-13,124.04
2013-04-14,124.04
2013-04-15,124.04
2013-04-16,124.13
2013-04-17,124.04
2013-04-18,123.94
2013-04-19,123.85
2013-04-20,123.62
2013-04-21,123.62
2013-04-22,123.39
2013-04-23,123.52
2013-04-24,123.66
2013-04-25,123.76
2013-04-26,123.85
2013-04-27,124.04
2013-04-28,124.13
2013-04-29,124.22
2013-04-30,124.32
2013-05-01,124.46
2013-05-02,124.46
2013-05-03,124.6
2013-05-04,124.74
2013-05-05,124.88
2013-05-06,124.88
2013-05-07,124.88
2013-05-08,125.07
2013-05-09,125.16
2013-05-10,125.25
2013-05-11,125.25
2013-05-12,125.34
2013-05-13,125.34
2013-05-14,125.44
2013-05-15,125.44
2013-05-16,125.54
2013-05-17,125.54
2013-05-18,125.63
2013-05-19,125.63
2013-05-20,125.72
2013-05-21,125.82
2013-05-22,125.82
2013-05-23,125.82
2013-05-24,125.91
2013-05-25,125.91
2013-05-26,125.91
2013-05-27,125.91
2013-05-28,125.91
2013-05-29,125.91
2013-05-30,125.91
2013-05-31,125.91
2013-06-01,125.91
2013-06-02,125.91
2013-06-03,125.91
2013-06-04,125.91
2013-06-05,125.91
2013-06-06,125.91
2013-06-07,125.91
2013-06-08,125.91
2013-06-09,125.86
2013-06-10,125.82
2013-06-11,125.82
2013-06-12,125.82
2013-06-13,125.82
2013-06-14,125.82
2013-06-15,125.82
2013-06-16,125.82
2013-06-17,125.72
2013-06-18,125.72
2013-06-19,125.72
2013-06-20,125.62
2013-06-21,125.53
2013-06-22,125.53
2013-06-23,125.53
2013-06-24,125.48
2013-06-25,125.44
2013-06-26,125.44
2013-06-27,125.44
