Fecha,Reserva
2012-01-01,149.52
2012-01-02,149.52
2012-01-03,149.52
2012-01-04,149.7
2012-01-05,149.7
2012-01-06,149.87
2012-01-07,150.76
2012-01-08,150.23
2012-01-09,149.7
2012-01-10,149.79
2012-01-11,149.88
2012-01-12,149.88
2012-01-13,149.88
2012-01-14,149.88
2012-01-15,149.88
2012-01-16,149.88
2012-01-17,150.32
2012-01-18,150.76
2012-01-19,150.67
2012-01-20,150.58
2012-01-21,150.67
2012-01-22,150.76
2012-01-23,150.67
2012-01-24,150.58
2012-01-25,150.32
2012-01-26,150.05
2012-01-27,149.88
2012-01-28,150.23
2012-01-29,150.58
2012-01-30,150.58
2012-01-31,150.58
2012-02-01,150.4
2012-02-02,150.23
2012-02-03,150.58
2012-02-04,150.93
2012-02-05,150.4
2012-02-06,150.49
2012-02-07,150.58
2012-02-08,150.49
2012-02-09,150.4
2012-02-10,150.49
2012-02-11,150.58
2012-02-12,150.58
2012-02-13,150.58
2012-02-14,150.4
2012-02-15,150.23
2012-02-16,150.23
2012-02-17,150.23
2012-02-18,150.06
2012-02-19,149.88
2012-02-20,149.79
2012-02-21,149.7
2012-02-22,148.65
2012-02-23,148.3
2012-02-24,147.96
2012-02-25,147.87
2012-02-26,147.78
2012-02-27,147.7
2012-02-28,147.61
2012-02-29,147.44
2012-03-01,147.26
2012-03-02,147.26
2012-03-03,147.0
2012-03-04,147.0
2012-03-05,146.74
2012-03-06,146.74
2012-03-07,146.74
2012-03-08,146.4
2012-03-09,146.23
2012-03-10,146.06
2012-03-11,145.71
2012-03-12,145.45
2012-03-13,145.45
2012-03-14,145.2
2012-03-15,145.03
2012-03-16,144.43
2012-03-17,144.43
2012-03-18,143.83
2012-03-19,143.32
2012-03-20,142.65
2012-03-21,141.89
2012-03-22,141.89
2012-03-23,141.13
2012-03-24,140.63
2012-03-25,140.38
2012-03-26,140.12
2012-03-27,139.62
2012-03-28,139.62
2012-03-29,139.12
2012-03-30,138.63
2012-03-31,138.38
2012-04-01,138.13
2012-04-02,138.13
2012-04-03,138.38
2012-04-04,138.38
2012-04-05,138.63
2012-04-06,138.8
2012-04-07,138.96
2012-04-08,139.12
2012-04-09,139.04
2012-04-10,138.96
2012-04-11,138.63
2012-04-12,138.38
2012-04-13,138.38
2012-04-14,138.13
2012-04-15,138.46
2012-04-16,138.3
2012-04-17,138.13
2012-04-18,137.72
2012-04-19,137.31
2012-04-20,137.22
2012-04-21,137.14
2012-04-22,136.89
2012-04-23,136.65
2012-04-24,136.32
2012-04-25,135.5
2012-04-26,135.5
2012-04-27,134.69
2012-04-28,134.52
2012-04-29,134.76
2012-04-30,134.76
2012-05-01,135.01
2012-05-02,135.01
2012-05-03,134.93
