Fecha,Reserva
2012-01-01,47.54
2012-01-02,47.68
2012-01-03,47.74
2012-01-04,47.89
2012-01-05,47.89
2012-01-06,48.03
2012-01-07,47.5
2012-01-08,47.59
2012-01-09,47.68
2012-01-10,47.58
2012-01-11,47.49
2012-01-12,47.5
2012-01-13,47.52
2012-01-14,47.52
2012-01-15,47.5
2012-01-16,47.49
2012-01-17,47.5
2012-01-18,47.5
2012-01-19,47.49
2012-01-20,47.49
2012-01-21,47.48
2012-01-22,47.46
2012-01-23,47.44
2012-01-24,47.43
2012-01-25,47.39
2012-01-26,47.39
2012-01-27,47.39
2012-01-28,47.39
2012-01-29,47.32
2012-01-30,47.25
2012-01-31,47.24
2012-02-01,47.24
2012-02-02,47.32
2012-02-03,47.3
2012-02-04,47.28
2012-02-05,47.3
2012-02-06,47.25
2012-02-07,47.25
2012-02-08,47.2
2012-02-09,47.19
2012-02-10,47.18
2012-02-11,47.18
2012-02-12,47.18
2012-02-13,47.11
2012-02-14,47.08
2012-02-15,47.06
2012-02-16,47.03
2012-02-17,47.0
2012-02-18,47.0
2012-02-19,47.0
2012-02-20,46.92
2012-02-21,46.89
2012-02-22,46.89
2012-02-23,46.85
2012-02-24,46.82
2012-02-25,46.79
2012-02-26,46.81
2012-02-27,46.71
2012-02-28,46.68
2012-02-29,46.65
2012-03-01,46.63
2012-03-02,46.63
2012-03-03,46.61
2012-03-04,46.58
2012-03-05,46.56
2012-03-06,46.51
2012-03-07,46.48
2012-03-08,46.46
2012-03-09,46.42
2012-03-10,46.42
2012-03-11,46.42
2012-03-12,46.34
2012-03-13,46.27
2012-03-14,46.24
2012-03-15,46.22
2012-03-16,46.2
2012-03-17,46.18
2012-03-18,46.14
2012-03-19,46.1
2012-03-20,46.08
2012-03-21,46.06
2012-03-22,46.04
2012-03-23,46.04
2012-03-24,46.03
2012-03-25,46.0
2012-03-26,45.98
2012-03-27,45.96
2012-03-28,45.95
2012-03-29,45.92
2012-03-30,45.9
2012-03-31,45.88
2012-04-01,45.85
2012-04-02,45.84
2012-04-03,45.83
2012-04-04,45.83
2012-04-05,45.83
2012-04-06,45.83
2012-04-07,45.83
2012-04-08,45.73
2012-04-09,45.71
2012-04-10,45.69
2012-04-11,45.64
2012-04-12,45.6
2012-04-13,45.59
2012-04-14,45.58
2012-04-15,45.6
2012-04-16,45.58
2012-04-17,45.58
2012-04-18,45.55
2012-04-19,45.54
2012-04-20,45.54
2012-04-21,45.54
2012-04-22,45.49
2012-04-23,45.44
2012-04-24,45.43
2012-04-25,45.52
2012-04-26,45.52
2012-04-27,45.6
2012-04-28,45.56
2012-04-29,45.52
2012-04-30,45.63
2012-05-01,45.63
2012-05-02,45.63
2012-05-03,45.65
2012-05-04,45.64
2012-05-05,45.64
2012-05-06,45.64
2012-05-07,45.64
2012-05-08,45.65
2012-05-09,45.64
2012-05-10,45.63
2012-05-11,45.6
2012-05-12,45.58
2012-05-13,45.57
2012-05-14,45.54
2012-05-15,45.52
2012-05-16,45.47
2012-05-17,45.42
2012-05-18,45.42
2012-05-19,45.36
2012-05-20,45.3
2012-05-21,45.25
2012-05-22,45.2
2012-05-23,45.18
2012-05-24,45.16
2012-05-25,45.17
2012-05-26,45.18
2012-05-27,45.3
2012-05-28,45.41
2012-05-29,45.47
2012-05-30,45.54
2012-05-31,45.5
2012-06-01,45.44
2012-06-02,45.38
2012-06-03,45.32
2012-06-04,45.27
2012-06-05,45.18
2012-06-06,45.11
2012-06-07,45.11
2012-06-08,45.05
2012-06-09,44.97
2012-06-10,44.89
2012-06-11,44.84
2012-06-12,44.74
2012-06-13,44.74
2012-06-14,44.65
2012-06-15,44.57
2012-06-16,44.57
2012-06-17,44.57
2012-06-18,44.5
2012-06-19,44.44
2012-06-20,44.5
2012-06-21,44.57
2012-06-22,44.52
2012-06-23,44.46
2012-06-24,44.37
2012-06-25,44.28
2012-06-26,44.18
2012-06-27,44.12
2012-06-28,44.02
2012-06-29,44.02
2012-06-30,43.93
2012-07-01,43.81
2012-07-02,43.69
2012-07-03,43.69
2012-07-04,43.57
2012-07-05,43.48
2012-07-06,43.37
2012-07-07,43.26
2012-07-08,43.21
2012-07-09,43.16
2012-07-10,43.08
2012-07-11,43.0
2012-07-12,42.93
2012-07-13,42.8
2012-07-14,42.8
2012-07-15,42.66
2012-07-16,42.56
2012-07-17,42.61
2012-07-18,42.66
2012-07-19,42.69
2012-07-20,42.72
2012-07-21,42.66
2012-07-22,42.58
2012-07-23,42.49
2012-07-24,42.39
2012-07-25,42.29
2012-07-26,42.15
2012-07-27,42.15
2012-07-28,42.01
2012-07-29,42.01
2012-07-30,41.79
2012-07-31,41.74
2012-08-01,41.7
2012-08-02,41.6
2012-08-03,41.6
2012-08-04,41.51
2012-08-05,41.42
2012-08-06,41.3
2012-08-07,41.3
2012-08-08,41.17
2012-08-09,41.08
2012-08-10,40.98
2012-08-11,40.98
2012-08-12,40.98
2012-08-13,40.84
2012-08-14,40.71
2012-08-15,40.75
2012-08-16,40.78
2012-08-17,40.69
2012-08-18,40.6
2012-08-19,40.53
2012-08-20,40.47
2012-08-21,40.38
2012-08-22,40.3
2012-08-23,40.15
2012-08-24,40.02
2012-08-25,40.02
2012-08-26,39.88
2012-08-27,39.76
2012-08-28,39.64
2012-08-29,39.64
2012-08-30,39.51
2012-08-31,39.41
2012-09-01,39.32
2012-09-02,39.22
2012-09-03,39.22
2012-09-04,39.11
2012-09-05,39.16
2012-09-06,39.21
2012-09-07,39.13
2012-09-08,39.05
2012-09-09,39.0
2012-09-10,38.9
2012-09-11,38.81
2012-09-12,38.76
2012-09-13,38.71
2012-09-14,38.63
2012-09-15,38.55
2012-09-16,38.46
2012-09-17,38.36
2012-09-18,38.54
2012-09-19,38.72
2012-09-20,38.77
2012-09-21,38.71
2012-09-22,38.65
2012-09-23,38.56
2012-09-24,38.48
2012-09-25,38.39
2012-09-26,38.34
2012-09-27,38.34
2012-09-28,38.29
2012-09-29,38.51
2012-09-30,38.52
2012-10-01,38.53
2012-10-02,38.63
2012-10-03,38.73
2012-10-04,38.85
2012-10-05,38.97
2012-10-06,39.05
2012-10-07,39.16
2012-10-08,39.27
2012-10-09,39.4
2012-10-10,39.4
2012-10-11,39.53
2012-10-12,39.65
2012-10-13,39.72
2012-10-14,39.8
2012-10-15,39.89
2012-10-16,40.01
2012-10-17,40.01
2012-10-18,40.13
2012-10-19,40.25
2012-10-20,40.36
2012-10-21,40.46
2012-10-22,40.54
2012-10-23,40.63
2012-10-24,40.74
2012-10-25,40.85
2012-10-26,41.14
2012-10-27,41.43
2012-10-28,41.61
2012-10-29,41.76
2012-10-30,41.92
2012-10-31,42.21
2012-11-01,42.5
2012-11-02,42.6
2012-11-03,42.7
2012-11-04,42.7
2012-11-05,42.7
2012-11-06,43.78
2012-11-07,44.14
2012-11-08,44.51
2012-11-09,44.96
2012-11-10,44.96
2012-11-11,45.42
2012-11-12,45.69
2012-11-13,45.88
2012-11-14,45.88
2012-11-15,46.06
2012-11-16,46.15
2012-11-17,46.22
2012-11-18,46.44
2012-11-19,46.67
2012-11-20,46.67
2012-11-21,46.67
2012-11-22,46.62
2012-11-23,46.62
2012-11-24,46.58
2012-11-25,46.53
2012-11-26,46.48
2012-11-27,46.42
2012-11-28,46.36
2012-11-29,46.31
2012-11-30,46.22
2012-12-01,46.15
2012-12-02,46.08
2012-12-03,45.96
2012-12-04,45.85
2012-12-05,45.72
2012-12-06,45.6
2012-12-07,45.53
2012-12-08,45.46
2012-12-09,45.36
2012-12-10,45.27
2012-12-11,45.27
2012-12-12,45.3
2012-12-13,45.3
2012-12-14,45.33
2012-12-15,45.38
2012-12-16,45.58
2012-12-17,45.58
2012-12-18,45.79
2012-12-19,45.97
2012-12-20,46.03
2012-12-21,46.06
2012-12-22,46.08
2012-12-23,46.1
2012-12-24,46.12
2012-12-25,46.15
2012-12-26,46.18
2012-12-27,46.2
