Fecha,Reserva
2012-01-01,34.94
2012-01-02,35.17
2012-01-03,35.04
2012-01-04,34.97
2012-01-05,34.97
2012-01-06,34.89
2012-01-07,34.98
2012-01-08,35.07
2012-01-09,35.04
2012-01-10,35.08
2012-01-11,35.08
2012-01-12,35.12
2012-01-13,35.27
2012-01-14,35.2
2012-01-15,35.12
2012-01-16,35.27
2012-01-17,35.04
2012-01-18,35.04
2012-01-19,34.82
2012-01-20,34.57
2012-01-21,34.24
2012-01-22,34.24
2012-01-23,33.9
2012-01-24,33.9
2012-01-25,33.4
2012-01-26,32.97
2012-01-27,32.97
2012-01-28,32.55
2012-01-29,32.69
2012-01-30,32.83
2012-01-31,31.72
2012-02-01,31.52
2012-02-02,31.31
2012-02-03,31.07
2012-02-04,30.83
2012-02-05,30.57
2012-02-06,30.16
2012-02-07,30.16
2012-02-08,29.74
2012-02-09,29.65
2012-02-10,29.49
2012-02-11,29.33
2012-02-12,29.06
2012-02-13,28.79
2012-02-14,28.62
2012-02-15,28.45
2012-02-16,28.33
2012-02-17,28.06
2012-02-18,27.79
2012-02-19,27.52
2012-02-20,27.24
2012-02-21,27.2
2012-02-22,27.15
2012-02-23,26.87
2012-02-24,26.59
2012-02-25,26.3
2012-02-26,26.0
2012-02-27,25.83
2012-02-28,25.66
2012-02-29,25.66
2012-03-01,25.66
2012-03-02,24.87
2012-03-03,24.69
2012-03-04,24.51
2012-03-05,24.24
2012-03-06,23.98
2012-03-07,23.81
2012-03-08,23.64
2012-03-09,23.34
2012-03-10,23.04
2012-03-11,22.77
2012-03-12,22.34
2012-03-13,22.34
2012-03-14,21.9
2012-03-15,21.72
2012-03-16,21.46
2012-03-17,21.21
2012-03-18,20.96
2012-03-19,20.72
2012-03-20,20.44
2012-03-21,20.16
2012-03-22,19.86
2012-03-23,19.56
2012-03-24,19.42
2012-03-25,19.15
2012-03-26,18.88
2012-03-27,18.47
2012-03-28,18.47
2012-03-29,18.06
2012-03-30,18.04
2012-03-31,17.8
2012-04-01,17.57
2012-04-02,17.37
2012-04-03,17.17
2012-04-04,17.52
2012-04-05,17.88
2012-04-06,17.59
2012-04-07,17.3
2012-04-08,18.07
2012-04-09,18.36
2012-04-10,18.64
2012-04-11,19.1
2012-04-12,19.26
2012-04-13,19.26
2012-04-14,19.42
2012-04-15,19.4
2012-04-16,19.39
2012-04-17,19.69
2012-04-18,19.99
2012-04-19,19.92
2012-04-20,19.85
2012-04-21,20.15
2012-04-22,20.2
2012-04-23,20.25
2012-04-24,20.44
2012-04-25,20.64
2012-04-26,21.01
2012-04-27,21.38
2012-04-28,21.27
2012-04-29,21.16
2012-04-30,21.04
2012-05-01,21.2
2012-05-02,21.36
2012-05-03,21.4
2012-05-04,21.34
2012-05-05,21.34
2012-05-06,21.28
2012-05-07,21.05
2012-05-08,20.82
2012-05-09,21.16
2012-05-10,21.02
2012-05-11,20.87
2012-05-12,20.72
2012-05-13,20.56
2012-05-14,20.42
2012-05-15,20.2
2012-05-16,20.2
2012-05-17,19.97
2012-05-18,19.8
2012-05-19,19.64
2012-05-20,19.51
2012-05-21,19.35
2012-05-22,19.19
2012-05-23,19.05
2012-05-24,18.9
2012-05-25,18.86
2012-05-26,18.82
2012-05-27,18.78
2012-05-28,18.75
2012-05-29,18.75
2012-05-30,18.72
2012-05-31,18.7
2012-06-01,18.69
2012-06-02,18.64
2012-06-03,18.62
2012-06-04,18.59
2012-06-05,18.57
2012-06-06,18.55
2012-06-07,18.51
2012-06-08,18.5
2012-06-09,18.48
2012-06-10,18.46
2012-06-11,18.44
2012-06-12,18.4
2012-06-13,18.4
2012-06-14,18.37
2012-06-15,18.33
2012-06-16,18.33
2012-06-17,18.33
2012-06-18,18.33
2012-06-19,18.26
2012-06-20,18.19
2012-06-21,18.17
2012-06-22,18.15
2012-06-23,18.12
2012-06-24,18.09
2012-06-25,18.06
2012-06-26,18.04
2012-06-27,18.03
2012-06-28,17.98
2012-06-29,17.98
2012-06-30,17.94
2012-07-01,17.89
2012-07-02,17.87
2012-07-03,17.85
2012-07-04,17.82
2012-07-05,17.79
2012-07-06,17.76
2012-07-07,17.73
2012-07-08,17.7
2012-07-09,17.66
2012-07-10,17.66
2012-07-11,17.61
2012-07-12,17.58
2012-07-13,17.55
2012-07-14,17.55
2012-07-15,17.52
2012-07-16,17.49
2012-07-17,17.46
2012-07-18,17.43
2012-07-19,17.41
2012-07-20,17.39
2012-07-21,17.36
2012-07-22,17.33
2012-07-23,17.32
2012-07-24,17.29
2012-07-25,17.26
2012-07-26,17.24
2012-07-27,17.21
2012-07-28,17.18
2012-07-29,17.15
2012-07-30,17.14
2012-07-31,17.1
2012-08-01,17.1
2012-08-02,17.05
2012-08-03,17.03
2012-08-04,17.0
2012-08-05,16.97
2012-08-06,16.92
2012-08-07,16.92
2012-08-08,16.88
2012-08-09,16.86
2012-08-10,16.83
2012-08-11,16.8
2012-08-12,16.77
2012-08-13,16.73
2012-08-14,16.73
2012-08-15,16.68
2012-08-16,16.67
2012-08-17,16.64
2012-08-18,16.6
2012-08-19,16.58
2012-08-20,16.56
2012-08-21,16.54
2012-08-22,16.51
2012-08-23,16.48
2012-08-24,16.45
2012-08-25,16.42
2012-08-26,16.39
2012-08-27,16.36
2012-08-28,16.33
2012-08-29,16.3
2012-08-30,16.27
2012-08-31,16.24
2012-09-01,16.23
2012-09-02,16.19
2012-09-03,16.15
2012-09-04,16.13
2012-09-05,16.11
2012-09-06,16.06
2012-09-07,16.06
2012-09-08,16.02
2012-09-09,15.99
2012-09-10,15.97
2012-09-11,15.95
2012-09-12,15.93
2012-09-13,15.9
2012-09-14,15.87
2012-09-15,15.82
2012-09-16,15.82
2012-09-17,15.78
2012-09-18,15.77
2012-09-19,15.74
2012-09-20,15.74
2012-09-21,15.71
2012-09-22,15.68
2012-09-23,15.66
2012-09-24,15.64
2012-09-25,15.62
2012-09-26,15.61
2012-09-27,15.6
2012-09-28,15.62
2012-09-29,15.64
2012-09-30,15.64
2012-10-01,15.64
2012-10-02,15.64
2012-10-03,15.63
2012-10-04,15.61
2012-10-05,15.6
2012-10-06,15.6
2012-10-07,15.58
2012-10-08,15.58
2012-10-09,15.57
2012-10-10,15.57
2012-10-11,15.56
2012-10-12,15.56
2012-10-13,15.55
2012-10-14,15.53
2012-10-15,15.52
2012-10-16,15.52
2012-10-17,15.5
2012-10-18,15.49
2012-10-19,15.5
2012-10-20,15.5
2012-10-21,15.49
2012-10-22,15.49
2012-10-23,15.49
2012-10-24,15.49
2012-10-25,15.49
2012-10-26,15.68
2012-10-27,15.86
2012-10-28,15.86
2012-10-29,15.86
2012-10-30,15.64
2012-10-31,15.76
2012-11-01,15.76
2012-11-02,15.87
2012-11-03,16.1
2012-11-04,16.32
2012-11-05,17.66
2012-11-06,17.73
2012-11-07,18.24
2012-11-08,18.24
2012-11-09,18.75
2012-11-10,19.37
2012-11-11,19.4
2012-11-12,19.44
2012-11-13,19.45
2012-11-14,19.46
2012-11-15,19.46
2012-11-16,19.46
2012-11-17,19.51
2012-11-18,22.18
2012-11-19,24.85
2012-11-20,25.65
2012-11-21,26.45
2012-11-22,26.56
2012-11-23,26.66
2012-11-24,26.69
2012-11-25,26.72
2012-11-26,26.74
2012-11-27,26.77
2012-11-28,26.77
2012-11-29,26.77
2012-11-30,26.79
2012-12-01,26.79
2012-12-02,26.79
2012-12-03,26.79
2012-12-04,26.79
2012-12-05,26.79
2012-12-06,26.82
2012-12-07,26.85
2012-12-08,27.11
2012-12-09,27.12
2012-12-10,27.13
2012-12-11,27.13
2012-12-12,27.13
2012-12-13,27.14
2012-12-14,27.15
2012-12-15,27.18
2012-12-16,27.38
2012-12-17,27.57
2012-12-18,27.88
2012-12-19,28.18
2012-12-20,28.47
2012-12-21,28.64
2012-12-22,28.64
2012-12-23,28.81
2012-12-24,29.14
2012-12-25,29.46
2012-12-26,29.51
2012-12-27,29.56
2012-12-28,29.8
2012-12-29,30.05
2012-12-30,30.05
2012-12-31,30.28
2013-01-01,30.5
2013-01-02,30.55
2013-01-03,30.66
2013-01-04,30.78
2013-01-05,31.19
2013-01-06,31.19
2013-01-07,31.19
2013-01-08,31.19
2013-01-09,31.38
2013-01-10,31.57
2013-01-11,31.57
2013-01-12,31.6
2013-01-13,31.6
2013-01-14,31.6
2013-01-15,31.6
2013-01-16,31.52
2013-01-17,31.45
2013-01-18,31.46
2013-01-19,31.48
2013-01-20,31.89
2013-01-21,31.96
2013-01-22,32.03
2013-01-23,32.22
2013-01-24,32.42
2013-01-25,32.47
2013-01-26,32.52
2013-01-27,32.39
2013-01-28,32.25
2013-01-29,32.5
2013-01-30,32.74
2013-01-31,32.63
2013-02-01,32.52
2013-02-02,32.28
2013-02-03,32.06
2013-02-04,31.84
2013-02-05,31.74
2013-02-06,31.65
2013-02-07,31.52
2013-02-08,31.38
2013-02-09,31.36
2013-02-10,31.14
2013-02-11,30.93
2013-02-12,30.88
2013-02-13,30.83
2013-02-14,30.97
2013-02-15,30.97
2013-02-16,30.97
2013-02-17,30.97
2013-02-18,31.31
2013-02-19,31.65
2013-02-20,34.14
2013-02-21,35.22
2013-02-22,36.3
2013-02-23,35.96
2013-02-24,35.61
2013-02-25,35.56
2013-02-26,35.58
2013-02-27,35.61
2013-02-28,35.57
2013-03-01,35.57
2013-03-02,35.53
2013-03-03,35.54
2013-03-04,35.56
2013-03-05,36.03
2013-03-06,37.63
