Fecha,Reserva
2012-01-01,639.07
2012-01-02,639.07
2012-01-03,638.92
2012-01-04,638.92
2012-01-05,638.92
2012-01-06,638.92
2012-01-07,635.77
2012-01-08,636.07
2012-01-09,636.37
2012-01-10,636.3
2012-01-11,636.3
2012-01-12,636.22
2012-01-13,636.07
2012-01-14,636.07
2012-01-15,635.92
2012-01-16,635.92
2012-01-17,635.77
2012-01-18,635.77
2012-01-19,635.62
2012-01-20,635.62
2012-01-21,635.47
2012-01-22,635.47
2012-01-23,635.4
2012-01-24,635.32
2012-01-25,635.17
2012-01-26,635.1
2012-01-27,635.1
2012-01-28,635.02
2012-01-29,634.87
2012-01-30,634.8
2012-01-31,634.8
2012-02-01,634.72
2012-02-02,634.57
2012-02-03,634.5
2012-02-04,634.42
2012-02-05,634.5
2012-02-06,634.57
2012-02-07,634.12
2012-02-08,633.9
2012-02-09,633.9
2012-02-10,633.67
2012-02-11,633.52
2012-02-12,633.38
2012-02-13,633.22
2012-02-14,633.08
2012-02-15,632.93
2012-02-16,632.93
2012-02-17,632.78
2012-02-18,632.78
2012-02-19,632.63
2012-02-20,632.63
2012-02-21,632.48
2012-02-22,632.48
2012-02-23,632.33
2012-02-24,632.33
2012-02-25,632.26
2012-02-26,632.18
2012-02-27,632.03
2012-02-28,631.95
2012-02-29,631.88
2012-03-01,631.95
2012-03-02,632.03
2012-03-03,632.03
2012-03-04,632.03
2012-03-05,632.03
2012-03-06,632.03
2012-03-07,631.95
2012-03-08,631.88
2012-03-09,631.73
2012-03-10,631.73
2012-03-11,631.73
2012-03-12,631.58
2012-03-13,631.43
2012-03-14,631.2
2012-03-15,631.2
2012-03-16,630.98
2012-03-17,630.83
2012-03-18,630.76
2012-03-19,630.68
2012-03-20,630.68
2012-03-21,630.61
2012-03-22,630.54
2012-03-23,630.39
2012-03-24,630.24
2012-03-25,630.09
2012-03-26,629.94
2012-03-27,629.79
2012-03-28,629.64
2012-03-29,629.49
2012-03-30,629.34
2012-03-31,629.49
2012-04-01,629.64
2012-04-02,630.09
2012-04-03,630.54
2012-04-04,630.83
2012-04-05,630.83
2012-04-06,630.83
2012-04-07,630.98
2012-04-08,631.13
2012-04-09,631.13
2012-04-10,631.13
2012-04-11,631.06
2012-04-12,630.98
2012-04-13,630.98
2012-04-14,630.98
2012-04-15,630.9
2012-04-16,630.83
2012-04-17,630.68
2012-04-18,630.54
2012-04-19,630.54
2012-04-20,630.54
2012-04-21,630.24
2012-04-22,630.24
2012-04-23,630.09
2012-04-24,629.94
2012-04-25,629.72
2012-04-26,629.72
2012-04-27,629.49
2012-04-28,629.34
2012-04-29,629.49
2012-04-30,629.64
2012-05-01,629.64
2012-05-02,629.64
2012-05-03,629.71
2012-05-04,629.79
2012-05-05,630.38
2012-05-06,630.98
