Fecha,Reserva
2012-01-01,70.87
2012-01-02,70.82
2012-01-03,70.82
2012-01-04,70.74
2012-01-05,70.74
2012-01-06,70.66
2012-01-07,68.34
2012-01-08,68.57
2012-01-09,68.8
2012-01-10,68.72
2012-01-11,68.65
2012-01-12,68.6
2012-01-13,68.55
2012-01-14,68.39
2012-01-15,68.47
2012-01-16,68.55
2012-01-17,68.44
2012-01-18,68.34
2012-01-19,68.26
2012-01-20,68.26
2012-01-21,68.19
2012-01-22,68.14
2012-01-23,68.14
2012-01-24,68.14
2012-01-25,68.09
2012-01-26,68.03
2012-01-27,67.88
2012-01-28,67.88
2012-01-29,67.88
2012-01-30,67.88
2012-01-31,67.63
2012-02-01,67.56
2012-02-02,67.56
2012-02-03,67.48
2012-02-04,67.42
2012-02-05,67.32
2012-02-06,67.24
2012-02-07,67.24
2012-02-08,67.17
2012-02-09,67.08
2012-02-10,67.0
2012-02-11,66.92
2012-02-12,66.85
2012-02-13,66.78
2012-02-14,66.72
2012-02-15,66.67
2012-02-16,66.62
2012-02-17,66.57
2012-02-18,66.47
2012-02-19,66.42
2012-02-20,66.37
2012-02-21,66.24
2012-02-22,66.24
2012-02-23,66.11
2012-02-24,66.06
2012-02-25,66.01
2012-02-26,65.91
2012-02-27,65.86
2012-02-28,65.81
2012-02-29,65.8
2012-03-01,65.79
2012-03-02,65.61
2012-03-03,65.51
2012-03-04,65.51
2012-03-05,65.41
2012-03-06,65.41
2012-03-07,65.41
2012-03-08,65.41
2012-03-09,65.41
2012-03-10,65.41
2012-03-11,65.36
2012-03-12,65.38
2012-03-13,65.41
2012-03-14,65.41
2012-03-15,65.41
2012-03-16,65.41
2012-03-17,65.36
2012-03-18,65.31
2012-03-19,65.21
2012-03-20,65.17
2012-03-21,65.02
2012-03-22,65.02
2012-03-23,64.87
2012-03-24,64.82
2012-03-25,64.74
2012-03-26,64.67
2012-03-27,64.52
2012-03-28,64.52
2012-03-29,64.37
2012-03-30,64.32
2012-03-31,64.22
2012-04-01,64.15
2012-04-02,64.08
2012-04-03,64.06
2012-04-04,64.03
2012-04-05,63.96
2012-04-06,63.88
2012-04-07,63.8
2012-04-08,63.8
2012-04-09,63.73
2012-04-10,63.63
2012-04-11,63.54
2012-04-12,63.44
2012-04-13,63.39
2012-04-14,63.29
2012-04-15,63.19
2012-04-16,63.07
2012-04-17,63.07
2012-04-18,62.95
2012-04-19,62.85
2012-04-20,62.8
2012-04-21,62.75
2012-04-22,62.6
2012-04-23,62.46
2012-04-24,62.46
2012-04-25,62.31
2012-04-26,62.22
2012-04-27,62.12
2012-04-28,62.02
2012-04-29,62.02
2012-04-30,62.02
2012-05-01,61.95
2012-05-02,61.88
2012-05-03,61.8
2012-05-04,61.84
2012-05-05,61.84
2012-05-06,61.88
2012-05-07,62.26
2012-05-08,62.65
2012-05-09,62.65
2012-05-10,62.58
2012-05-11,62.51
2012-05-12,62.46
2012-05-13,62.41
2012-05-14,62.32
2012-05-15,62.22
2012-05-16,62.12
2012-05-17,62.02
2012-05-18,61.9
2012-05-19,61.78
2012-05-20,61.68
2012-05-21,61.54
2012-05-22,61.54
2012-05-23,61.39
2012-05-24,61.34
2012-05-25,61.2
2012-05-26,61.06
2012-05-27,61.06
2012-05-28,60.91
2012-05-29,60.77
2012-05-30,60.6
2012-05-31,60.6
2012-06-01,60.43
2012-06-02,60.29
2012-06-03,60.2
2012-06-04,60.1
2012-06-05,60.0
2012-06-06,59.91
2012-06-07,59.76
2012-06-08,59.62
2012-06-09,59.5
2012-06-10,59.38
2012-06-11,59.24
2012-06-12,59.1
2012-06-13,58.96
2012-06-14,58.82
2012-06-15,58.72
2012-06-16,58.72
2012-06-17,58.72
2012-06-18,58.72
2012-06-19,58.42
2012-06-20,58.11
2012-06-21,57.92
2012-06-22,57.92
2012-06-23,57.73
2012-06-24,57.69
2012-06-25,57.55
2012-06-26,57.41
2012-06-27,57.27
2012-06-28,57.13
2012-06-29,57.04
2012-06-30,56.83
2012-07-01,56.83
2012-07-02,56.62
2012-07-03,56.51
2012-07-04,56.38
2012-07-05,56.25
2012-07-06,56.16
2012-07-07,56.06
2012-07-08,55.88
2012-07-09,55.76
2012-07-10,55.65
2012-07-11,55.44
2012-07-12,55.44
2012-07-13,55.24
2012-07-14,55.15
2012-07-15,55.01
2012-07-16,54.87
2012-07-17,54.76
2012-07-18,54.64
2012-07-19,54.53
2012-07-20,54.42
2012-07-21,54.28
2012-07-22,54.15
2012-07-23,54.06
2012-07-24,53.92
2012-07-25,53.78
2012-07-26,53.66
2012-07-27,53.53
2012-07-28,53.44
2012-07-29,53.34
2012-07-30,53.2
2012-07-31,53.07
2012-08-01,52.98
2012-08-02,52.8
2012-08-03,52.8
2012-08-04,52.62
2012-08-05,52.48
2012-08-06,52.35
2012-08-07,52.27
2012-08-08,52.16
2012-08-09,52.04
2012-08-10,51.96
2012-08-11,51.85
2012-08-12,51.74
2012-08-13,51.6
2012-08-14,51.47
2012-08-15,51.38
2012-08-16,51.29
2012-08-17,51.16
2012-08-18,51.03
2012-08-19,50.94
2012-08-20,50.86
2012-08-21,50.74
2012-08-22,50.62
2012-08-23,50.48
2012-08-24,50.34
2012-08-25,50.25
2012-08-26,50.08
2012-08-27,50.08
2012-08-28,49.9
2012-08-29,49.82
2012-08-30,49.71
2012-08-31,49.6
2012-09-01,49.5
2012-09-02,49.39
2012-09-03,49.26
2012-09-04,49.13
2012-09-05,49.04
2012-09-06,48.94
2012-09-07,48.82
2012-09-08,48.7
2012-09-09,48.62
2012-09-10,48.53
2012-09-11,48.4
2012-09-12,48.3
2012-09-13,48.19
2012-09-14,48.06
2012-09-15,47.94
2012-09-16,47.86
2012-09-17,47.77
2012-09-18,47.64
2012-09-19,47.5
2012-09-20,47.5
2012-09-21,47.35
2012-09-22,47.22
2012-09-23,47.14
2012-09-24,46.97
2012-09-25,46.97
2012-09-26,46.8
2012-09-27,46.86
2012-09-28,46.93
2012-09-29,47.9
2012-09-30,48.87
2012-10-01,49.34
2012-10-02,49.42
2012-10-03,49.51
