Fecha,Reserva
2012-01-01,37.61
2012-01-02,37.61
2012-01-03,37.61
2012-01-04,37.61
2012-01-05,37.61
2012-01-06,37.61
2012-01-07,37.48
2012-01-08,37.53
2012-01-09,37.58
2012-01-10,37.53
2012-01-11,37.53
2012-01-12,37.48
2012-01-13,37.48
2012-01-14,37.48
2012-01-15,37.48
2012-01-16,37.48
2012-01-17,37.48
2012-01-18,37.47
2012-01-19,37.45
2012-01-20,37.45
2012-01-21,37.45
2012-01-22,37.45
2012-01-23,37.47
2012-01-24,37.48
2012-01-25,37.47
2012-01-26,37.45
2012-01-27,37.45
2012-01-28,37.45
2012-01-29,37.45
2012-01-30,37.45
2012-01-31,37.53
2012-02-01,37.61
2012-02-02,37.42
2012-02-03,37.42
2012-02-04,37.42
2012-02-05,37.41
2012-02-06,37.4
2012-02-07,37.42
2012-02-08,37.42
2012-02-09,37.42
2012-02-10,37.42
2012-02-11,37.42
2012-02-12,37.42
2012-02-13,37.42
2012-02-14,37.42
2012-02-15,37.42
2012-02-16,37.39
2012-02-17,37.36
2012-02-18,37.36
2012-02-19,37.36
2012-02-20,36.98
2012-02-21,36.98
2012-02-22,36.98
2012-02-23,36.98
2012-02-24,36.95
2012-02-25,36.92
2012-02-26,36.88
2012-02-27,36.92
2012-02-28,36.95
2012-02-29,36.85
2012-03-01,36.85
2012-03-02,36.85
2012-03-03,36.82
2012-03-04,36.82
2012-03-05,36.79
2012-03-06,36.74
2012-03-07,36.73
2012-03-08,36.72
2012-03-09,36.66
2012-03-10,36.64
2012-03-11,36.63
2012-03-12,36.6
2012-03-13,36.57
2012-03-14,36.56
2012-03-15,36.56
2012-03-16,36.54
2012-03-17,36.5
2012-03-18,36.48
2012-03-19,36.47
2012-03-20,36.47
2012-03-21,36.42
2012-03-22,36.42
2012-03-23,36.38
2012-03-24,36.29
2012-03-25,36.32
2012-03-26,36.35
2012-03-27,36.32
2012-03-28,36.32
2012-03-29,36.28
2012-03-30,36.28
2012-03-31,36.59
2012-04-01,36.42
2012-04-02,36.26
2012-04-03,36.25
2012-04-04,36.25
2012-04-05,36.25
2012-04-06,36.26
2012-04-07,36.28
2012-04-08,36.28
2012-04-09,36.28
2012-04-10,36.28
2012-04-11,36.25
2012-04-12,36.22
2012-04-13,36.21
2012-04-14,36.15
2012-04-15,36.15
2012-04-16,36.09
2012-04-17,36.06
2012-04-18,36.03
2012-04-19,36.02
2012-04-20,36.0
2012-04-21,35.94
2012-04-22,35.91
2012-04-23,35.88
2012-04-24,35.86
2012-04-25,35.85
2012-04-26,35.85
2012-04-27,35.85
2012-04-28,35.85
2012-04-29,35.85
2012-04-30,35.85
2012-05-01,35.85
2012-05-02,35.85
2012-05-03,35.86
2012-05-04,35.88
2012-05-05,36.05
2012-05-06,36.22
2012-05-07,36.28
2012-05-08,36.35
2012-05-09,36.35
2012-05-10,36.35
2012-05-11,36.31
2012-05-12,36.28
2012-05-13,36.25
2012-05-14,36.24
2012-05-15,36.22
2012-05-16,36.19
2012-05-17,36.11
2012-05-18,36.11
2012-05-19,36.03
2012-05-20,36.09
2012-05-21,35.98
2012-05-22,35.88
2012-05-23,35.86
2012-05-24,35.83
2012-05-25,35.8
2012-05-26,35.7
2012-05-27,35.7
2012-05-28,35.59
2012-05-29,35.53
2012-05-30,35.47
2012-05-31,35.46
2012-06-01,35.44
2012-06-02,35.35
2012-06-03,35.29
2012-06-04,35.23
2012-06-05,35.17
2012-06-06,35.11
2012-06-07,35.08
2012-06-08,35.05
2012-06-09,34.95
2012-06-10,34.85
2012-06-11,34.85
2012-06-12,34.75
2012-06-13,34.72
2012-06-14,34.69
2012-06-15,34.63
2012-06-16,34.63
2012-06-17,34.63
2012-06-18,34.63
2012-06-19,34.47
2012-06-20,34.31
2012-06-21,34.28
2012-06-22,34.24
2012-06-23,34.11
2012-06-24,34.11
2012-06-25,33.98
2012-06-26,33.95
2012-06-27,33.89
2012-06-28,33.83
2012-06-29,33.77
2012-06-30,33.67
2012-07-01,33.58
2012-07-02,33.49
2012-07-03,33.41
2012-07-04,33.33
2012-07-05,33.33
2012-07-06,33.26
2012-07-07,33.14
2012-07-08,33.08
2012-07-09,32.97
2012-07-10,32.97
2012-07-11,32.86
2012-07-12,32.86
2012-07-13,32.75
2012-07-14,32.65
2012-07-15,32.57
2012-07-16,32.49
2012-07-17,32.42
2012-07-18,32.36
2012-07-19,32.27
2012-07-20,32.18
2012-07-21,32.14
2012-07-22,32.08
2012-07-23,32.01
2012-07-24,31.93
2012-07-25,31.85
2012-07-26,31.78
2012-07-27,31.71
2012-07-28,31.66
2012-07-29,31.6
2012-07-30,31.53
2012-07-31,31.4
2012-08-01,31.4
2012-08-02,31.26
2012-08-03,38.3
2012-08-04,34.64
2012-08-05,30.99
2012-08-06,30.92
2012-08-07,30.84
2012-08-08,30.78
2012-08-09,30.73
2012-08-10,30.58
2012-08-11,30.47
2012-08-12,30.47
2012-08-13,30.36
2012-08-14,30.3
2012-08-15,30.22
2012-08-16,30.22
2012-08-17,30.15
2012-08-18,30.09
2012-08-19,30.04
2012-08-20,29.99
2012-08-21,29.94
2012-08-22,29.88
2012-08-23,29.83
2012-08-24,29.78
2012-08-25,29.46
2012-08-26,29.38
2012-08-27,29.3
2012-08-28,29.22
2012-08-29,29.22
2012-08-30,29.15
2012-08-31,28.99
2012-09-01,28.91
2012-09-02,28.83
2012-09-03,28.75
2012-09-04,28.71
2012-09-05,28.67
2012-09-06,28.62
2012-09-07,28.57
2012-09-08,28.48
2012-09-09,28.48
2012-09-10,28.38
2012-09-11,28.38
2012-09-12,28.25
2012-09-13,28.2
2012-09-14,28.15
2012-09-15,28.03
2012-09-16,28.03
2012-09-17,27.91
2012-09-18,27.86
2012-09-19,27.76
2012-09-20,27.76
2012-09-21,27.67
2012-09-22,27.65
2012-09-23,27.62
2012-09-24,27.57
2012-09-25,27.52
2012-09-26,27.5
2012-09-27,27.48
2012-09-28,27.48
2012-09-29,27.48
2012-09-30,27.44
2012-10-01,27.44
2012-10-02,27.41
2012-10-03,27.37
2012-10-04,27.35
2012-10-05,27.33
2012-10-06,27.28
2012-10-07,27.23
2012-10-08,27.19
2012-10-09,27.15
2012-10-10,27.12
2012-10-11,27.08
2012-10-12,27.04
2012-10-13,27.0
2012-10-14,26.97
2012-10-15,26.93
2012-10-16,26.89
2012-10-17,26.85
2012-10-18,26.81
2012-10-19,27.1
2012-10-20,27.1
2012-10-21,27.1
2012-10-22,27.1
2012-10-23,27.1
2012-10-24,27.1
2012-10-25,27.13
2012-10-26,27.33
2012-10-27,27.34
2012-10-28,27.34
2012-10-29,27.35
2012-10-30,27.39
2012-10-31,27.43
2012-11-01,27.43
2012-11-02,27.43
2012-11-03,29.65
2012-11-04,30.4
2012-11-05,31.15
2012-11-06,31.29
2012-11-07,31.43
2012-11-08,32.3
2012-11-09,33.17
2012-11-10,33.38
2012-11-11,33.59
2012-11-12,33.77
2012-11-13,33.84
2012-11-14,33.92
2012-11-15,33.92
2012-11-16,33.92
2012-11-17,34.68
2012-11-18,35.44
2012-11-19,35.8
2012-11-20,35.83
2012-11-21,35.85
2012-11-22,36.02
2012-11-23,36.19
2012-11-24,36.27
2012-11-25,36.35
2012-11-26,36.39
2012-11-27,36.44
2012-11-28,36.47
2012-11-29,36.48
2012-11-30,36.5
2012-12-01,36.5
2012-12-02,36.5
2012-12-03,36.5
2012-12-04,36.5
2012-12-05,36.5
2012-12-06,36.5
2012-12-07,36.5
2012-12-08,36.6
2012-12-09,36.66
2012-12-10,36.72
2012-12-11,36.72
2012-12-12,36.72
2012-12-13,36.72
2012-12-14,36.72
2012-12-15,37.96
2012-12-16,39.19
2012-12-17,39.58
2012-12-18,39.78
2012-12-19,39.98
2012-12-20,40.1
2012-12-21,40.22
2012-12-22,40.28
2012-12-23,40.38
2012-12-24,40.38
2012-12-25,40.48
2012-12-26,40.52
2012-12-27,40.55
2012-12-28,40.58
2012-12-29,40.61
2012-12-30,40.65
2012-12-31,40.66
2013-01-01,40.68
2013-01-02,40.68
2013-01-03,40.7
2013-01-04,40.72
2013-01-05,40.72
2013-01-06,40.73
2013-01-07,40.74
2013-01-08,40.75
2013-01-09,40.75
2013-01-10,40.76
