Fecha,Reserva
2012-01-01,252.67
2012-01-02,252.68
2012-01-03,252.72
2012-01-04,252.75
2012-01-05,252.82
2012-01-06,252.9
2012-01-07,255.18
2012-01-08,254.92
2012-01-09,254.65
2012-01-10,254.7
2012-01-11,254.75
2012-01-12,254.81
2012-01-13,254.87
2012-01-14,254.92
2012-01-15,254.97
2012-01-16,254.87
2012-01-17,255.02
2012-01-18,255.18
2012-01-19,255.26
2012-01-20,255.26
2012-01-21,255.35
2012-01-22,255.4
2012-01-23,255.46
2012-01-24,255.46
2012-01-25,255.58
2012-01-26,255.68
2012-01-27,255.68
2012-01-28,255.77
2012-01-29,255.74
2012-01-30,255.71
2012-01-31,255.91
2012-02-01,256.0
2012-02-02,256.08
2012-02-03,256.08
2012-02-04,256.07
2012-02-05,256.08
2012-02-06,256.08
2012-02-07,256.22
2012-02-08,256.27
2012-02-09,256.27
2012-02-10,256.32
2012-02-11,256.4
2012-02-12,256.43
2012-02-13,256.46
2012-02-14,256.47
2012-02-15,256.47
2012-02-16,256.52
2012-02-17,256.56
2012-02-18,256.27
2012-02-19,255.99
2012-02-20,255.68
2012-02-21,255.38
2012-02-22,255.06
2012-02-23,254.02
2012-02-24,252.97
2012-02-25,252.51
2012-02-26,252.05
2012-02-27,251.58
2012-02-28,251.11
2012-02-29,251.11
2012-03-01,251.11
2012-03-02,250.57
2012-03-03,248.28
2012-03-04,246.0
2012-03-05,244.17
2012-03-06,244.17
2012-03-07,242.33
2012-03-08,241.39
2012-03-09,240.82
2012-03-10,240.24
2012-03-11,239.79
2012-03-12,239.36
2012-03-13,239.36
2012-03-14,238.92
2012-03-15,238.92
2012-03-16,236.29
2012-03-17,233.66
2012-03-18,232.92
2012-03-19,232.18
2012-03-20,231.5
2012-03-21,230.83
2012-03-22,230.3
2012-03-23,229.77
2012-03-24,228.37
2012-03-25,226.97
2012-03-26,225.7
2012-03-27,224.92
2012-03-28,224.13
2012-03-29,223.81
2012-03-30,223.49
2012-03-31,222.05
2012-04-01,219.67
2012-04-02,219.67
2012-04-03,217.28
2012-04-04,216.9
2012-04-05,216.53
2012-04-06,216.1
2012-04-07,215.68
2012-04-08,215.71
2012-04-09,215.8
2012-04-10,215.9
2012-04-11,215.94
2012-04-12,215.97
2012-04-13,216.03
2012-04-14,216.09
2012-04-15,216.27
2012-04-16,216.38
2012-04-17,216.38
2012-04-18,216.5
2012-04-19,216.54
2012-04-20,216.57
2012-04-21,216.69
2012-04-22,216.75
2012-04-23,216.79
2012-04-24,216.83
2012-04-25,216.86
2012-04-26,216.86
2012-04-27,216.9
