Fecha,Reserva
2012-01-01,54.77
2012-01-02,54.35
2012-01-03,54.48
2012-01-04,54.62
2012-01-05,54.7
2012-01-06,54.77
2012-01-07,45.12
2012-01-08,45.92
2012-01-09,46.72
2012-01-10,46.42
2012-01-11,46.13
2012-01-12,46.08
2012-01-13,46.04
2012-01-14,45.9
2012-01-15,45.77
2012-01-16,46.04
2012-01-17,45.58
2012-01-18,45.12
2012-01-19,45.02
2012-01-20,44.91
2012-01-21,44.82
2012-01-22,44.82
2012-01-23,44.74
2012-01-24,44.74
2012-01-25,44.68
2012-01-26,44.66
2012-01-27,44.65
2012-01-28,44.65
2012-01-29,44.65
2012-01-30,44.65
2012-01-31,44.86
2012-02-01,44.86
2012-02-02,44.86
2012-02-03,44.83
2012-02-04,44.8
2012-02-05,44.78
2012-02-06,44.77
2012-02-07,44.74
2012-02-08,44.71
2012-02-09,44.68
2012-02-10,44.65
2012-02-11,44.62
2012-02-12,44.58
2012-02-13,44.58
2012-02-14,44.53
2012-02-15,44.51
2012-02-16,44.45
2012-02-17,44.4
2012-02-18,44.36
2012-02-19,44.34
2012-02-20,44.33
2012-02-21,44.28
2012-02-22,44.28
2012-02-23,44.24
2012-02-24,44.22
2012-02-25,44.19
2012-02-26,44.16
2012-02-27,44.14
2012-02-28,44.13
2012-02-29,44.13
2012-03-01,44.13
2012-03-02,44.07
2012-03-03,44.06
2012-03-04,44.04
2012-03-05,44.01
2012-03-06,43.98
2012-03-07,43.96
2012-03-08,43.93
2012-03-09,43.9
2012-03-10,43.87
2012-03-11,43.84
2012-03-12,43.8
2012-03-13,43.8
2012-03-14,43.75
2012-03-15,43.72
2012-03-16,43.7
2012-03-17,43.7
2012-03-18,43.67
2012-03-19,43.64
2012-03-20,43.61
2012-03-21,43.56
2012-03-22,43.56
2012-03-23,43.52
2012-03-24,43.52
2012-03-25,43.5
2012-03-26,43.5
2012-03-27,43.47
2012-03-28,43.41
2012-03-29,43.38
2012-03-30,43.35
2012-03-31,43.34
2012-04-01,43.32
2012-04-02,43.25
2012-04-03,43.18
2012-04-04,42.98
2012-04-05,42.79
2012-04-06,41.54
2012-04-07,40.28
2012-04-08,42.32
2012-04-09,42.1
2012-04-10,41.88
2012-04-11,41.69
2012-04-12,41.44
2012-04-13,41.44
2012-04-14,41.18
2012-04-15,41.04
2012-04-16,40.91
2012-04-17,40.72
2012-04-18,40.54
2012-04-19,40.47
2012-04-20,40.39
2012-04-21,40.02
2012-04-22,39.87
2012-04-23,39.6
2012-04-24,39.6
2012-04-25,39.33
2012-04-26,39.16
2012-04-27,39.01
2012-04-28,38.86
