Fecha,Reserva
2012-01-01,168.79
2012-01-02,168.79
2012-01-03,168.79
2012-01-04,168.79
2012-01-05,168.79
2012-01-06,168.79
2012-01-07,168.49
2012-01-08,168.49
2012-01-09,168.49
2012-01-10,168.49
2012-01-11,168.34
2012-01-12,168.26
2012-01-13,168.19
2012-01-14,168.19
2012-01-15,168.19
2012-01-16,168.19
2012-01-17,168.34
2012-01-18,168.49
2012-01-19,168.49
2012-01-20,168.49
2012-01-21,168.49
2012-01-22,168.49
2012-01-23,168.49
2012-01-24,168.49
2012-01-25,168.38
2012-01-26,168.36
2012-01-27,168.34
2012-01-28,168.34
2012-01-29,168.34
2012-01-30,168.34
2012-01-31,168.34
2012-02-01,168.34
2012-02-02,168.34
2012-02-03,168.34
2012-02-04,168.34
2012-02-05,168.19
2012-02-06,168.19
2012-02-07,168.19
2012-02-08,168.19
2012-02-09,168.12
2012-02-10,168.05
2012-02-11,168.05
2012-02-12,168.05
2012-02-13,168.05
2012-02-14,168.05
2012-02-15,167.9
2012-02-16,167.82
2012-02-17,167.75
2012-02-18,167.75
2012-02-19,167.75
2012-02-20,167.75
2012-02-21,167.75
2012-02-22,167.68
2012-02-23,167.6
2012-02-24,167.6
2012-02-25,167.6
2012-02-26,167.6
2012-02-27,167.6
2012-02-28,167.6
2012-02-29,167.6
2012-03-01,167.6
2012-03-02,167.6
2012-03-03,167.6
2012-03-04,167.6
2012-03-05,167.6
2012-03-06,167.6
2012-03-07,167.6
2012-03-08,167.6
2012-03-09,167.46
2012-03-10,167.46
2012-03-11,167.46
2012-03-12,167.46
2012-03-13,167.46
2012-03-14,167.46
2012-03-15,167.46
2012-03-16,167.46
2012-03-17,167.46
2012-03-18,167.46
2012-03-19,167.46
2012-03-20,167.31
2012-03-21,167.31
2012-03-22,167.31
2012-03-23,167.31
2012-03-24,167.31
2012-03-25,167.31
2012-03-26,167.31
2012-03-27,167.31
2012-03-28,167.16
2012-03-29,167.16
2012-03-30,167.16
2012-03-31,167.16
2012-04-01,167.16
2012-04-02,167.08
2012-04-03,167.01
2012-04-04,167.16
2012-04-05,167.16
2012-04-06,167.16
2012-04-07,167.16
2012-04-08,167.16
2012-04-09,167.16
2012-04-10,167.16
2012-04-11,167.16
2012-04-12,167.16
2012-04-13,167.08
2012-04-14,167.01
2012-04-15,167.01
2012-04-16,167.01
2012-04-17,166.87
2012-04-18,166.8
2012-04-19,166.72
2012-04-20,166.72
2012-04-21,166.72
2012-04-22,166.64
2012-04-23,166.57
2012-04-24,166.57
2012-04-25,166.57
2012-04-26,166.43
2012-04-27,166.43
2012-04-28,166.43
2012-04-29,166.5
2012-04-30,166.57
2012-05-01,166.57
2012-05-02,166.57
2012-05-03,166.64
2012-05-04,166.72
2012-05-05,166.72
2012-05-06,166.72
2012-05-07,167.02
2012-05-08,167.31
2012-05-09,167.38
2012-05-10,167.46
2012-05-11,167.46
2012-05-12,167.46
2012-05-13,167.46
2012-05-14,167.31
2012-05-15,167.31
2012-05-16,167.31
2012-05-17,167.31
2012-05-18,167.16
2012-05-19,167.08
2012-05-20,167.01
2012-05-21,166.94
2012-05-22,166.87
2012-05-23,166.87
2012-05-24,166.87
2012-05-25,166.8
2012-05-26,166.72
2012-05-27,166.58
2012-05-28,166.43
2012-05-29,166.36
2012-05-30,166.28
2012-05-31,166.21
2012-06-01,166.1
2012-06-02,166.1
2012-06-03,165.99
2012-06-04,165.99
2012-06-05,165.84
2012-06-06,165.76
2012-06-07,165.76
2012-06-08,165.69
2012-06-09,165.55
2012-06-10,165.4
2012-06-11,165.25
2012-06-12,165.04
2012-06-13,165.04
2012-06-14,164.82
2012-06-15,164.81
2012-06-16,164.81
2012-06-17,164.81
2012-06-18,164.81
2012-06-19,164.52
2012-06-20,164.52
2012-06-21,164.23
2012-06-22,164.23
2012-06-23,164.16
2012-06-24,164.09
2012-06-25,163.94
2012-06-26,163.79
2012-06-27,163.79
2012-06-28,163.72
2012-06-29,163.65
2012-06-30,163.43
2012-07-01,163.21
2012-07-02,163.14
2012-07-03,163.07
2012-07-04,162.85
2012-07-05,162.85
2012-07-06,162.63
2012-07-07,162.63
2012-07-08,162.49
2012-07-09,162.27
2012-07-10,162.27
2012-07-11,162.05
2012-07-12,161.19
2012-07-13,160.33
2012-07-14,160.04
2012-07-15,159.89
2012-07-16,159.75
2012-07-17,159.68
2012-07-18,159.61
2012-07-19,159.61
2012-07-20,159.4
2012-07-21,159.4
2012-07-22,159.18
2012-07-23,159.18
2012-07-24,159.04
2012-07-25,158.9
2012-07-26,158.76
2012-07-27,158.76
2012-07-28,158.61
2012-07-29,158.61
2012-07-30,158.47
2012-07-31,158.33
2012-08-01,158.26
2012-08-02,158.18
2012-08-03,158.04
2012-08-04,157.9
2012-08-05,157.76
2012-08-06,157.62
2012-08-07,157.48
2012-08-08,157.33
2012-08-09,157.23
2012-08-10,157.33
2012-08-11,157.19
2012-08-12,157.05
2012-08-13,156.98
2012-08-14,156.91
2012-08-15,156.77
2012-08-16,156.77
2012-08-17,156.63
2012-08-18,156.49
2012-08-19,156.34
2012-08-20,156.34
2012-08-21,156.34
2012-08-22,156.13
2012-08-23,156.13
2012-08-24,155.92
2012-08-25,155.85
2012-08-26,155.78
2012-08-27,155.64
2012-08-28,155.5
2012-08-29,155.43
2012-08-30,155.36
2012-08-31,155.22
2012-09-01,155.08
2012-09-02,154.94
2012-09-03,154.79
2012-09-04,154.72
2012-09-05,154.72
2012-09-06,154.65
2012-09-07,154.54
2012-09-08,154.45
2012-09-09,154.45
2012-09-10,154.37
2012-09-11,154.23
2012-09-12,154.23
2012-09-13,154.09
2012-09-14,153.95
2012-09-15,153.88
2012-09-16,153.88
2012-09-17,153.82
2012-09-18,153.68
2012-09-19,153.54
2012-09-20,153.54
2012-09-21,153.47
2012-09-22,153.4
2012-09-23,153.4
2012-09-24,153.26
2012-09-25,153.26
2012-09-26,153.12
