Fecha,Reserva
2012-01-01,31.92
2012-01-02,31.92
2012-01-03,31.88
2012-01-04,31.86
2012-01-05,31.86
2012-01-06,31.84
2012-01-07,31.33
2012-01-08,31.33
2012-01-09,31.33
2012-01-10,31.31
2012-01-11,31.29
2012-01-12,31.29
2012-01-13,31.29
2012-01-14,31.24
2012-01-15,31.2
2012-01-16,31.29
2012-01-17,31.31
2012-01-18,31.33
2012-01-19,31.29
2012-01-20,31.25
2012-01-21,31.25
2012-01-22,31.25
2012-01-23,31.22
2012-01-24,31.2
2012-01-25,31.18
2012-01-26,31.16
2012-01-27,31.16
2012-01-28,31.16
2012-01-29,31.12
2012-01-30,31.12
2012-01-31,31.12
2012-02-01,31.12
2012-02-02,31.1
2012-02-03,31.08
2012-02-04,31.03
2012-02-05,31.03
2012-02-06,31.01
2012-02-07,30.99
2012-02-08,30.96
2012-02-09,30.92
2012-02-10,30.9
2012-02-11,30.9
2012-02-12,30.87
2012-02-13,30.82
2012-02-14,30.8
2012-02-15,30.78
2012-02-16,30.74
2012-02-17,30.72
2012-02-18,30.72
2012-02-19,30.7
2012-02-20,30.68
2012-02-21,30.66
2012-02-22,30.62
2012-02-23,30.57
2012-02-24,30.57
2012-02-25,30.55
2012-02-26,30.53
2012-02-27,30.49
2012-02-28,30.48
2012-02-29,30.48
2012-03-01,30.47
2012-03-02,30.41
2012-03-03,30.39
2012-03-04,30.37
2012-03-05,30.37
2012-03-06,30.37
2012-03-07,30.33
2012-03-08,30.28
2012-03-09,30.26
2012-03-10,30.24
2012-03-11,30.2
2012-03-12,30.16
2012-03-13,30.16
2012-03-14,30.1
2012-03-15,30.1
2012-03-16,30.04
2012-03-17,30.08
2012-03-18,30.04
2012-03-19,30.0
2012-03-20,29.98
2012-03-21,29.96
2012-03-22,29.92
2012-03-23,29.87
2012-03-24,29.85
2012-03-25,29.83
2012-03-26,29.79
2012-03-27,29.75
2012-03-28,29.71
2012-03-29,29.67
2012-03-30,29.67
2012-03-31,29.63
2012-04-01,29.59
2012-04-02,29.55
2012-04-03,29.53
2012-04-04,29.53
2012-04-05,29.51
2012-04-06,29.55
2012-04-07,29.53
2012-04-08,29.53
2012-04-09,29.51
2012-04-10,29.47
2012-04-11,29.43
2012-04-12,29.39
2012-04-13,29.39
2012-04-14,29.33
2012-04-15,29.33
2012-04-16,29.27
2012-04-17,29.25
2012-04-18,29.23
2012-04-19,29.15
2012-04-20,29.13
2012-04-21,29.11
2012-04-22,29.07
2012-04-23,29.03
2012-04-24,28.99
2012-04-25,28.95
2012-04-26,28.91
2012-04-27,28.87
2012-04-28,28.87
2012-04-29,28.87
2012-04-30,28.87
2012-05-01,28.87
2012-05-02,28.83
2012-05-03,28.81
2012-05-04,28.79
2012-05-05,28.79
2012-05-06,28.79
2012-05-07,28.79
2012-05-08,28.87
2012-05-09,28.95
2012-05-10,28.91
2012-05-11,28.87
2012-05-12,28.85
2012-05-13,28.83
2012-05-14,28.79
2012-05-15,28.75
2012-05-16,28.71
2012-05-17,28.67
2012-05-18,28.64
2012-05-19,28.58
2012-05-20,28.52
2012-05-21,28.48
2012-05-22,28.44
2012-05-23,28.4
2012-05-24,28.36
2012-05-25,28.3
2012-05-26,28.25
2012-05-27,28.21
2012-05-28,28.17
2012-05-29,28.13
2012-05-30,28.09
2012-05-31,28.02
2012-06-01,27.98
2012-06-02,27.94
2012-06-03,27.9
2012-06-04,27.86
2012-06-05,27.79
2012-06-06,27.75
2012-06-07,27.71
2012-06-08,27.64
2012-06-09,27.64
2012-06-10,27.56
2012-06-11,27.49
2012-06-12,27.42
2012-06-13,27.38
2012-06-14,27.35
2012-06-15,27.28
2012-06-16,27.28
2012-06-17,27.28
2012-06-18,27.28
2012-06-19,27.07
2012-06-20,26.86
2012-06-21,26.82
2012-06-22,26.79
2012-06-23,26.72
2012-06-24,26.72
2012-06-25,26.65
2012-06-26,26.58
2012-06-27,26.55
2012-06-28,26.5
2012-06-29,26.45
2012-06-30,26.34
2012-07-01,26.34
2012-07-02,26.24
2012-07-03,26.2
2012-07-04,26.17
2012-07-05,26.1
2012-07-06,26.04
2012-07-07,26.0
2012-07-08,25.94
2012-07-09,25.87
2012-07-10,25.87
2012-07-11,25.8
2012-07-12,25.75
2012-07-13,25.7
2012-07-14,25.64
2012-07-15,25.57
2012-07-16,25.54
2012-07-17,25.5
2012-07-18,25.43
2012-07-19,25.37
2012-07-20,25.3
2012-07-21,25.3
2012-07-22,25.23
2012-07-23,25.18
2012-07-24,25.13
2012-07-25,25.06
2012-07-26,25.0
2012-07-27,24.97
2012-07-28,24.92
2012-07-29,24.87
2012-07-30,24.83
2012-07-31,24.73
2012-08-01,24.73
2012-08-02,24.63
2012-08-03,24.6
2012-08-04,24.5
2012-08-05,24.5
2012-08-06,24.4
2012-08-07,24.36
2012-08-08,24.33
2012-08-09,24.27
2012-08-10,24.23
2012-08-11,24.13
2012-08-12,24.13
2012-08-13,24.03
2012-08-14,23.99
2012-08-15,23.9
2012-08-16,23.9
2012-08-17,23.8
2012-08-18,23.77
2012-08-19,23.72
2012-08-20,23.66
2012-08-21,23.66
2012-08-22,23.57
2012-08-23,23.48
2012-08-24,23.4
2012-08-25,23.4
2012-08-26,23.33
2012-08-27,23.26
2012-08-28,23.18
2012-08-29,23.15
2012-08-30,23.1
2012-08-31,23.04
2012-09-01,22.96
2012-09-02,22.89
2012-09-03,22.89
2012-09-04,22.82
2012-09-05,22.74
2012-09-06,22.68
2012-09-07,22.68
2012-09-08,22.63
2012-09-09,22.56
2012-09-10,22.52
2012-09-11,22.49
2012-09-12,22.41
2012-09-13,22.36
2012-09-14,22.3
2012-09-15,22.26
2012-09-16,22.23
2012-09-17,22.18
2012-09-18,22.12
2012-09-19,22.06
2012-09-20,22.06
2012-09-21,22.01
2012-09-22,21.94
2012-09-23,21.91
2012-09-24,21.86
2012-09-25,21.86
2012-09-26,21.8
2012-09-27,21.76
2012-09-28,21.98
2012-09-29,22.2
2012-09-30,22.22
2012-10-01,22.23
2012-10-02,22.2
2012-10-03,22.16
2012-10-04,22.12
2012-10-05,22.1
2012-10-06,22.09
2012-10-07,22.04
2012-10-08,22.04
2012-10-09,21.98
2012-10-10,22.0
2012-10-11,22.01
2012-10-12,21.98
2012-10-13,21.94
2012-10-14,21.91
2012-10-15,21.87
2012-10-16,21.83
2012-10-17,21.83
2012-10-18,21.83
2012-10-19,21.78
2012-10-20,21.72
2012-10-21,21.68
2012-10-22,21.65
2012-10-23,21.63
2012-10-24,21.61
2012-10-25,21.62
2012-10-26,21.65
2012-10-27,21.64
2012-10-28,21.64
2012-10-29,21.62
2012-10-30,22.23
2012-10-31,21.88
2012-11-01,21.54
2012-11-02,21.65
2012-11-03,21.65
2012-11-04,21.76
2012-11-05,25.1
2012-11-06,25.4
2012-11-07,25.7
2012-11-08,25.97
2012-11-09,26.57
2012-11-10,27.17
2012-11-11,27.33
2012-11-12,27.49
2012-11-13,27.56
2012-11-14,27.64
2012-11-15,27.68
2012-11-16,27.71
2012-11-17,27.79
2012-11-18,30.16
2012-11-19,32.52
2012-11-20,32.84
2012-11-21,33.17
2012-11-22,33.77
2012-11-23,34.37
2012-11-24,34.55
2012-11-25,34.73
2012-11-26,34.84
2012-11-27,34.96
2012-11-28,35.03
2012-11-29,35.1
2012-11-30,35.14
2012-12-01,35.19
2012-12-02,35.24
2012-12-03,35.28
2012-12-04,35.28
2012-12-05,35.33
2012-12-06,35.35
2012-12-07,35.37
2012-12-08,35.47
2012-12-09,35.52
2012-12-10,35.56
2012-12-11,35.56
2012-12-12,35.61
2012-12-13,35.61
2012-12-14,35.65
2012-12-15,35.7
2012-12-16,35.98
2012-12-17,36.26
2012-12-18,36.38
2012-12-19,36.49
2012-12-20,36.59
2012-12-21,36.66
2012-12-22,36.73
2012-12-23,36.78
2012-12-24,36.78
2012-12-25,36.82
2012-12-26,36.89
2012-12-27,36.97
2012-12-28,36.97
2012-12-29,37.0
2012-12-30,37.02
2012-12-31,37.06
2013-01-01,37.11
2013-01-02,37.16
2013-01-03,37.21
2013-01-04,37.26
2013-01-05,37.28
2013-01-06,37.3
2013-01-07,37.3
2013-01-08,37.3
2013-01-09,37.35
