Fecha,Reserva
2012-01-01,216.06
2012-01-02,216.06
2012-01-03,216.13
2012-01-04,216.13
2012-01-05,216.13
2012-01-06,216.13
2012-01-07,216.43
2012-01-08,216.28
2012-01-09,216.14
2012-01-10,216.14
2012-01-11,216.14
2012-01-12,216.14
2012-01-13,216.14
2012-01-14,216.14
2012-01-15,216.14
2012-01-16,216.25
2012-01-17,216.36
2012-01-18,216.43
2012-01-19,216.43
2012-01-20,216.43
2012-01-21,216.43
2012-01-22,216.36
2012-01-23,216.36
2012-01-24,216.36
2012-01-25,216.43
2012-01-26,216.43
2012-01-27,216.43
2012-01-28,216.46
2012-01-29,216.5
2012-01-30,216.5
2012-01-31,216.5
2012-02-01,216.5
2012-02-02,216.5
2012-02-03,216.5
2012-02-04,216.5
2012-02-05,216.5
2012-02-06,216.5
2012-02-07,216.46
2012-02-08,216.43
2012-02-09,216.43
2012-02-10,216.43
2012-02-11,216.43
2012-02-12,216.43
2012-02-13,216.43
2012-02-14,216.43
2012-02-15,216.43
2012-02-16,216.36
2012-02-17,216.28
2012-02-18,216.28
2012-02-19,216.28
2012-02-20,216.28
2012-02-21,216.28
2012-02-22,216.28
2012-02-23,216.28
2012-02-24,216.28
2012-02-25,216.28
2012-02-26,216.28
2012-02-27,216.28
2012-02-28,216.28
2012-02-29,216.28
2012-03-01,216.28
2012-03-02,216.28
2012-03-03,216.28
2012-03-04,216.28
2012-03-05,216.28
2012-03-06,216.28
2012-03-07,216.28
2012-03-08,216.28
2012-03-09,216.24
2012-03-10,216.21
2012-03-11,216.21
2012-03-12,216.21
2012-03-13,216.18
2012-03-14,216.14
2012-03-15,216.14
2012-03-16,216.14
2012-03-17,216.14
2012-03-18,216.14
2012-03-19,216.14
2012-03-20,216.14
2012-03-21,216.14
2012-03-22,216.14
2012-03-23,216.14
2012-03-24,216.06
2012-03-25,216.06
2012-03-26,216.06
2012-03-27,216.02
2012-03-28,215.99
2012-03-29,215.99
2012-03-30,215.99
