Fecha,Reserva
2012-01-01,3.48
2012-01-02,3.48
2012-01-03,3.49
2012-01-04,3.49
2012-01-05,3.49
2012-01-06,3.49
2012-01-07,3.44
2012-01-08,3.45
2012-01-09,3.46
2012-01-10,3.46
2012-01-11,3.45
2012-01-12,3.45
2012-01-13,3.45
2012-01-14,3.44
2012-01-15,3.44
2012-01-16,3.45
2012-01-17,3.44
2012-01-18,3.44
2012-01-19,3.44
2012-01-20,3.44
2012-01-21,3.44
2012-01-22,3.44
2012-01-23,3.44
2012-01-24,3.44
2012-01-25,3.43
2012-01-26,3.43
2012-01-27,3.43
2012-01-28,3.43
2012-01-29,3.42
2012-01-30,3.42
2012-01-31,3.42
2012-02-01,3.42
2012-02-02,3.42
2012-02-03,3.42
2012-02-04,3.42
2012-02-05,3.42
2012-02-06,3.42
2012-02-07,3.42
2012-02-08,3.41
2012-02-09,3.41
2012-02-10,3.4
2012-02-11,3.4
2012-02-12,3.39
2012-02-13,3.3
2012-02-14,3.34
2012-02-15,3.39
2012-02-16,3.38
2012-02-17,3.38
2012-02-18,3.38
2012-02-19,3.38
2012-02-20,3.38
2012-02-21,3.37
2012-02-22,3.37
2012-02-23,3.37
2012-02-24,3.36
2012-02-25,3.36
2012-02-26,3.36
2012-02-27,3.35
2012-02-28,3.35
2012-02-29,3.35
2012-03-01,3.35
2012-03-02,3.34
2012-03-03,3.34
2012-03-04,3.34
2012-03-05,3.34
2012-03-06,3.33
2012-03-07,3.32
2012-03-08,3.32
2012-03-09,3.32
2012-03-10,3.32
2012-03-11,3.31
2012-03-12,3.31
2012-03-13,3.31
2012-03-14,3.3
2012-03-15,3.3
2012-03-16,3.3
2012-03-17,3.29
2012-03-18,3.29
2012-03-19,3.29
2012-03-20,3.28
2012-03-21,3.28
2012-03-22,3.27
2012-03-23,3.27
2012-03-24,3.27
2012-03-25,3.27
2012-03-26,3.26
2012-03-27,3.26
2012-03-28,3.26
2012-03-29,3.26
2012-03-30,3.25
2012-03-31,3.24
2012-04-01,3.24
2012-04-02,3.24
2012-04-03,3.24
2012-04-04,3.24
2012-04-05,3.25
2012-04-06,3.26
2012-04-07,3.29
2012-04-08,3.29
2012-04-09,3.32
2012-04-10,3.32
2012-04-11,3.32
2012-04-12,3.33
2012-04-13,3.36
2012-04-14,3.4
2012-04-15,3.79
2012-04-16,3.98
2012-04-17,3.98
2012-04-18,4.16
2012-04-19,4.08
2012-04-20,3.99
2012-04-21,4.34
2012-04-22,4.38
2012-04-23,4.41
2012-04-24,4.44
2012-04-25,4.47
2012-04-26,4.51
2012-04-27,4.5
2012-04-28,4.49
2012-04-29,4.53
2012-04-30,4.53
2012-05-01,4.57
2012-05-02,4.85
