Fecha,Reserva
01/01/2021,3.3
02/01/2021,3.29
04/01/2021,4.29
06/01/2021,3.29
08/01/2021,4.37
10/01/2021,3.29
11/01/2021,4.47
13/01/2021,4.5
15/01/2021,4.51
17/01/2021,4.46
19/01/2021,4.49
20/01/2021,4.49
23/01/2021,4.48
24/01/2021,4.51
26/01/2021,6.48
28/01/2021,6.42
31/01/2021,6.4
01/02/2021,6.45
02/02/2021,6.41
05/02/2021,6.38
07/02/2021,6.39
09/02/2021,6.41
10/02/2021,6.44
13/02/2021,6.41
14/02/2021,6.4
16/02/2021,6.39
17/02/2021,6.39
20/02/2021,6.39
22/02/2021,6.4
23/02/2021,6.39
25/02/2021,6.38
27/02/2021,6.38
02/03/2021,6.38
03/03/2021,6.37
05/03/2021,6.37
06/03/2021,6.37
08/03/2021,6.37
10/03/2021,6.37
12/03/2021,6.37
14/03/2021,6.37
17/03/2021,6.37
18/03/2021,6.36
20/03/2021,6.36
22/03/2021,6.36
23/03/2021,6.35
26/03/2021,6.34
28/03/2021,6.33
30/03/2021,6.31
31/03/2021,6.29
02/04/2021,6.27
04/04/2021,6.25
06/04/2021,6.23
08/04/2021,6.2
10/04/2021,6.18
11/04/2021,6.16
13/04/2021,6.16
16/04/2021,6.13
17/04/2021,6.11
19/04/2021,6.09
21/04/2021,6.06
23/04/2021,6.04
25/04/2021,6.02
26/04/2021,6.01
29/04/2021,6.07
30/04/2021,6.08
03/05/2021,6.08
04/05/2021,6.07
06/05/2021,6.05
08/05/2021,6.03
10/05/2021,6.0
12/05/2021,6.0
14/05/2021,5.98
15/05/2021,5.97
17/05/2021,5.94
19/05/2021,5.9
21/05/2021,5.86
23/05/2021,5.82
24/05/2021,5.81
27/05/2021,5.75
28/05/2021,5.74
31/05/2021,5.69
01/06/2021,5.66
04/06/2021,5.6
05/06/2021,5.59
06/06/2021,5.61
08/06/2021,5.58
11/06/2021,5.52
13/06/2021,5.47
15/06/2021,5.43
16/06/2021,5.4
18/06/2021,5.39
20/06/2021,5.36
22/06/2021,5.32
24/06/2021,5.28
25/06/2021,5.25
28/06/2021,5.19
30/06/2021,5.14
02/07/2021,5.1
03/07/2021,5.07
05/07/2021,5.03
07/07/2021,4.98
08/07/2021,4.95
10/07/2021,4.91
13/07/2021,4.83
15/07/2021,4.79
16/07/2021,4.76
18/07/2021,4.72
20/07/2021,4.67
22/07/2021,4.63
23/07/2021,4.6
25/07/2021,4.55
27/07/2021,4.51
30/07/2021,4.45
31/07/2021,4.42
02/08/2021,4.37
04/08/2021,4.36
06/08/2021,4.34
07/08/2021,4.34
10/08/2021,4.31
11/08/2021,4.31
13/08/2021,4.29
15/08/2021,4.27
17/08/2021,4.25
20/08/2021,4.22
21/08/2021,4.22
23/08/2021,4.2
24/08/2021,4.19
26/08/2021,4.19
28/08/2021,4.14
30/08/2021,4.1
01/09/2021,4.09
04/09/2021,4.06
05/09/2021,4.05
07/09/2021,4.05
08/09/2021,4.03
10/09/2021,4.01
13/09/2021,3.99
14/09/2021,3.99
16/09/2021,3.97
19/09/2021,3.95
20/09/2021,3.95
22/09/2021,3.93
23/09/2021,3.93
25/09/2021,3.91
27/09/2021,3.91
29/09/2021,3.89
02/10/2021,3.87
04/10/2021,3.87
05/10/2021,3.87
07/10/2021,3.85
08/10/2021,3.85
10/10/2021,3.83
12/10/2021,3.81
15/10/2021,3.78
16/10/2021,3.77
18/10/2021,3.76
20/10/2021,3.76
22/10/2021,3.75
22/10/2021,3.75
23/10/2021,3.74
26/10/2021,3.73
27/10/2021,3.72
30/10/2021,3.71
01/11/2021,3.73
02/11/2021,3.75
02/11/2021,3.75
03/11/2021,3.75
04/11/2021,3.75
06/11/2021,3.75
09/11/2021,3.75
10/11/2021,3.74
13/11/2021,3.74
15/11/2021,3.73
16/11/2021,3.73
18/11/2021,3.73
19/11/2021,3.72
22/11/2021,3.72
23/11/2021,3.75
26/11/2021,3.81
27/11/2021,3.82
30/11/2021,3.87
01/12/2021,3.89
03/12/2021,3.91
04/12/2021,3.92
05/12/2021,3.92
06/12/2021,3.92
07/12/2021,3.91
08/12/2021,3.9
09/12/2021,3.91
10/12/2021,3.92
12/12/2021,3.94
14/12/2021,3.94
16/12/2021,3.93
18/12/2021,3.91
20/12/2021,3.89
21/12/2021,3.88
25/12/2021,3.84
26/12/2021,3.96
28/12/2021,4.49
30/12/2021,4.61
