Fecha,Reserva
01/01/2018,2.5
02/01/2018,2.49
04/01/2018,2.48
06/01/2018,2.48
08/01/2018,2.49
10/01/2018,2.54
11/01/2018,2.54
12/01/2018,2.54
14/01/2018,2.54
17/01/2018,2.54
18/01/2018,2.53
20/01/2018,2.53
22/01/2018,2.53
24/01/2018,2.51
26/01/2018,2.51
27/01/2018,2.5
30/01/2018,2.5
31/01/2018,2.5
02/02/2018,2.49
03/02/2018,2.49
06/02/2018,2.49
07/02/2018,2.08
09/02/2018,2.49
11/02/2018,2.49
13/02/2018,2.49
15/02/2018,2.48
17/02/2018,2.48
19/02/2018,2.47
21/02/2018,2.47
22/02/2018,2.46
24/02/2018,2.46
26/02/2018,2.45
28/02/2018,2.46
02/03/2018,2.61
03/03/2018,3.22
05/03/2018,3.6
07/03/2018,3.9
08/03/2018,4.13
10/03/2018,4.3
12/03/2018,4.83
14/03/2018,4.88
16/03/2018,5.1
17/03/2018,4.86
19/03/2018,5.29
22/03/2018,4.83
24/03/2018,4.92
25/03/2018,4.92
27/03/2018,4.96
29/03/2018,5.03
31/03/2018,5.07
01/04/2018,5.1
04/04/2018,5.15
05/04/2018,5.16
07/04/2018,5.18
09/04/2018,5.17
10/04/2018,5.04
13/04/2018,5.04
14/04/2018,5.12
17/04/2018,5.2
18/04/2018,5.22
20/04/2018,5.26
22/04/2018,5.28
23/04/2018,5.3
25/04/2018,5.33
28/04/2018,5.36
29/04/2018,5.38
01/05/2018,5.39
03/05/2018,5.41
05/05/2018,5.43
07/05/2018,5.43
08/05/2018,5.44
10/05/2018,5.44
12/05/2018,5.46
14/05/2018,5.46
15/05/2018,5.46
18/05/2018,5.43
19/05/2018,5.44
21/05/2018,5.44
22/05/2018,5.44
24/05/2018,5.39
27/05/2018,5.39
28/05/2018,5.39
30/05/2018,5.37
01/06/2018,5.37
03/06/2018,5.36
04/06/2018,5.36
06/06/2018,5.36
08/06/2018,5.36
10/06/2018,5.36
12/06/2018,5.35
14/06/2018,5.33
16/06/2018,5.32
18/06/2018,5.32
19/06/2018,5.25
21/06/2018,5.19
22/06/2018,5.17
25/06/2018,5.15
27/06/2018,5.08
29/06/2018,5.06
30/06/2018,5.05
02/07/2018,5.05
04/07/2018,5.04
06/07/2018,5.02
08/07/2018,5.01
09/07/2018,5.0
11/07/2018,4.93
13/07/2018,4.89
14/07/2018,4.88
17/07/2018,4.82
18/07/2018,4.78
20/07/2018,4.75
22/07/2018,4.73
23/07/2018,4.73
25/07/2018,4.69
27/07/2018,4.67
30/07/2018,4.64
01/08/2018,4.55
02/08/2018,4.52
03/08/2018,4.49
06/08/2018,4.48
07/08/2018,4.41
09/08/2018,4.36
11/08/2018,4.35
13/08/2018,4.33
15/08/2018,5.26
16/08/2018,4.22
19/08/2018,4.16
20/08/2018,4.14
22/08/2018,4.05
24/08/2018,4.0
26/08/2018,3.56
27/08/2018,3.94
29/08/2018,3.86
31/08/2018,3.85
02/09/2018,3.81
03/09/2018,3.8
05/09/2018,3.74
07/09/2018,3.71
10/09/2018,3.66
11/09/2018,3.63
13/09/2018,3.61
14/09/2018,3.61
17/09/2018,3.59
19/09/2018,3.52
21/09/2018,3.49
23/09/2018,3.42
24/09/2018,3.42
25/09/2018,3.39
27/09/2018,3.37
29/09/2018,3.32
01/10/2018,3.28
03/10/2018,3.22
05/10/2018,3.19
07/10/2018,3.18
08/10/2018,3.17
10/10/2018,3.11
12/10/2018,3.09
14/10/2018,3.08
16/10/2018,3.08
18/10/2018,3.09
19/10/2018,3.09
22/10/2018,3.09
23/10/2018,3.08
26/10/2018,3.07
27/10/2018,3.06
29/10/2018,3.05
30/10/2018,3.05
01/11/2018,3.11
03/11/2018,3.11
05/11/2018,3.11
06/11/2018,3.12
08/11/2018,3.11
10/11/2018,3.12
13/11/2018,3.1
14/11/2018,3.1
16/11/2018,3.1
18/11/2018,3.1
20/11/2018,3.3
22/11/2018,3.46
24/11/2018,3.55
25/11/2018,3.57
27/11/2018,3.75
28/11/2018,3.77
01/12/2018,3.8
03/12/2018,3.8
04/12/2018,3.81
06/12/2018,3.81
08/12/2018,3.81
10/12/2018,3.8
12/12/2018,3.8
13/12/2018,3.81
15/12/2018,3.81
17/12/2018,3.81
19/12/2018,3.81
20/12/2018,3.81
22/12/2018,3.81
25/12/2018,3.81
26/12/2018,3.8
29/12/2018,3.79
30/12/2018,3.81
