Fecha,Reserva
2012-01-01,575.54
2012-01-02,575.3
2012-01-03,575.54
2012-01-04,575.54
2012-01-05,575.54
2012-01-06,575.54
2012-01-07,574.52
2012-01-08,574.69
2012-01-09,574.86
2012-01-10,574.52
2012-01-11,574.18
2012-01-12,574.18
2012-01-13,574.18
2012-01-14,574.26
2012-01-15,574.35
2012-01-16,574.18
2012-01-17,574.35
2012-01-18,574.52
2012-01-19,574.35
2012-01-20,574.18
2012-01-21,574.18
2012-01-22,574.18
2012-01-23,574.35
2012-01-24,574.52
2012-01-25,574.18
2012-01-26,574.18
2012-01-27,574.18
2012-01-28,574.18
2012-01-29,574.14
2012-01-30,574.11
2012-01-31,574.48
2012-02-01,574.86
2012-02-02,573.83
2012-02-03,573.66
2012-02-04,573.49
2012-02-05,573.39
2012-02-06,573.29
2012-02-07,573.15
2012-02-08,567.9
2012-02-09,562.64
2012-02-10,553.97
2012-02-11,553.97
2012-02-12,545.31
2012-02-13,543.15
2012-02-14,543.08
2012-02-15,543.02
2012-02-16,543.02
2012-02-17,543.02
2012-02-18,543.02
2012-02-19,543.02
2012-02-20,542.56
2012-02-21,542.46
2012-02-22,542.36
2012-02-23,542.26
2012-02-24,542.26
2012-02-25,542.17
2012-02-26,542.1
2012-02-27,542.16
2012-02-28,542.23
2012-02-29,542.04
2012-03-01,542.04
2012-03-02,542.04
2012-03-03,541.92
2012-03-04,541.81
2012-03-05,541.76
2012-03-06,541.71
2012-03-07,541.71
2012-03-08,541.71
2012-03-09,541.45
2012-03-10,541.26
2012-03-11,541.26
2012-03-12,541.06
2012-03-13,541.06
2012-03-14,540.97
2012-03-15,540.89
2012-03-16,540.88
2012-03-17,540.86
2012-03-18,540.8
2012-03-19,540.73
2012-03-20,540.66
2012-03-21,540.6
2012-03-22,540.6
2012-03-23,540.6
2012-03-24,540.6
2012-03-25,540.5
2012-03-26,540.4
2012-03-27,540.37
2012-03-28,540.34
2012-03-29,540.26
2012-03-30,540.17
2012-03-31,541.0
2012-04-01,540.86
2012-04-02,540.73
2012-04-03,540.73
2012-04-04,540.73
2012-04-05,540.9
2012-04-06,541.06
2012-04-07,541.06
2012-04-08,541.06
2012-04-09,541.06
2012-04-10,540.73
2012-04-11,535.3
2012-04-12,527.0
2012-04-13,527.0
2012-04-14,518.71
2012-04-15,514.63
2012-04-16,510.55
2012-04-17,510.23
2012-04-18,510.12
2012-04-19,510.12
2012-04-20,510.01
2012-04-21,509.79
2012-04-22,509.7
2012-04-23,509.61
2012-04-24,509.54
2012-04-25,509.48
2012-04-26,509.7
2012-04-27,509.92
2012-04-28,509.92
2012-04-29,509.92
2012-04-30,509.92
2012-05-01,504.46
2012-05-02,499.0
2012-05-03,494.03
2012-05-04,489.06
2012-05-05,483.64
2012-05-06,478.23
2012-05-07,473.41
2012-05-08,473.24
2012-05-09,473.08
2012-05-10,473.1
2012-05-11,473.11
2012-05-12,473.04
2012-05-13,472.96
2012-05-14,472.94
2012-05-15,472.93
2012-05-16,472.9
2012-05-17,472.55
2012-05-18,472.21
2012-05-19,472.21
2012-05-20,472.21
2012-05-21,471.76
2012-05-22,471.3
2012-05-23,471.3
2012-05-24,471.3
2012-05-25,471.24
2012-05-26,470.88
2012-05-27,470.88
2012-05-28,470.52
2012-05-29,470.46
2012-05-30,470.4
2012-05-31,470.11
2012-06-01,470.08
2012-06-02,470.06
2012-06-03,469.94
2012-06-04,469.83
2012-06-05,469.83
2012-06-06,469.68
2012-06-07,469.54
2012-06-08,469.11
2012-06-09,469.11
2012-06-10,468.68
2012-06-11,468.68
2012-06-12,468.68
2012-06-13,468.47
2012-06-14,468.26
2012-06-15,467.91
2012-06-16,467.91
2012-06-17,467.91
2012-06-18,467.91
2012-06-19,467.44
2012-06-20,466.97
2012-06-21,466.71
2012-06-22,466.45
2012-06-23,466.14
2012-06-24,466.14
2012-06-25,465.82
2012-06-26,465.82
2012-06-27,465.54
2012-06-28,465.47
2012-06-29,465.4
2012-06-30,464.76
2012-07-01,464.76
2012-07-02,464.11
2012-07-03,464.39
2012-07-04,464.1
2012-07-05,464.1
2012-07-06,463.82
2012-07-07,463.25
2012-07-08,462.82
2012-07-09,462.39
2012-07-10,462.39
2012-07-11,462.25
2012-07-12,462.11
2012-07-13,461.72
2012-07-14,461.33
2012-07-15,461.08
2012-07-16,460.82
2012-07-17,460.67
2012-07-18,460.53
2012-07-19,460.39
2012-07-20,460.25
2012-07-21,459.96
2012-07-22,459.68
2012-07-23,459.39
2012-07-24,459.32
2012-07-25,459.25
2012-07-26,459.04
2012-07-27,459.04
2012-07-28,458.82
2012-07-29,458.53
2012-07-30,458.39
2012-07-31,457.96
2012-08-01,457.96
2012-08-02,457.53
2012-08-03,457.67
2012-08-04,457.43
2012-08-05,457.19
2012-08-06,456.99
2012-08-07,456.79
2012-08-08,456.45
2012-08-09,456.1
2012-08-10,456.1
2012-08-11,456.1
2012-08-12,455.96
2012-08-13,455.81
2012-08-14,455.38
2012-08-15,455.17
2012-08-16,455.17
2012-08-17,454.96
2012-08-18,454.81
2012-08-19,454.67
2012-08-20,454.53
2012-08-21,454.38
2012-08-22,454.24
2012-08-23,454.1
2012-08-24,453.52
2012-08-25,452.93
2012-08-26,452.66
2012-08-27,452.66
2012-08-28,452.38
2012-08-29,452.15
2012-08-30,451.88
2012-08-31,451.61
2012-09-01,451.38
2012-09-02,451.16
2012-09-03,451.16
2012-09-04,450.95
2012-09-05,450.67
2012-09-06,450.52
2012-09-07,450.38
2012-09-08,450.38
2012-09-09,450.38
2012-09-10,450.1
2012-09-11,449.81
2012-09-12,449.81
2012-09-13,449.52
2012-09-14,449.52
2012-09-15,449.24
2012-09-16,449.24
2012-09-17,448.95
