Fecha,Reserva
01/01/2015,619.64
02/01/2015,619.61
03/01/2015,619.58
05/01/2015,619.5
07/01/2015,619.45
09/01/2015,619.45
11/01/2015,619.8
13/01/2015,619.45
15/01/2015,619.45
16/01/2015,619.8
19/01/2015,624.43
20/01/2015,625.86
22/01/2015,626.57
23/01/2015,626.57
25/01/2015,627.28
27/01/2015,627.28
30/01/2015,627.28
01/02/2015,627.49
02/02/2015,627.64
03/02/2015,627.64
05/02/2015,627.64
08/02/2015,627.64
09/02/2015,627.81
11/02/2015,627.99
13/02/2015,627.99
14/02/2015,627.99
16/02/2015,627.99
19/02/2015,627.99
20/02/2015,627.81
22/02/2015,627.81
24/02/2015,627.81
26/02/2015,627.76
27/02/2015,627.67
02/03/2015,627.67
03/03/2015,627.64
05/03/2015,627.64
06/03/2015,627.42
08/03/2015,627.35
11/03/2015,627.28
12/03/2015,627.1
14/03/2015,627.03
16/03/2015,627.0
18/03/2015,626.96
19/03/2015,627.28
22/03/2015,627.64
23/03/2015,627.99
25/03/2015,628.13
27/03/2015,628.13
29/03/2015,628.03
30/03/2015,627.99
02/04/2015,627.6
04/04/2015,627.53
06/04/2015,627.42
07/04/2015,627.46
09/04/2015,627.46
10/04/2015,629.06
13/04/2015,628.88
15/04/2015,628.92
16/04/2015,629.42
18/04/2015,629.42
20/04/2015,629.42
21/04/2015,629.42
24/04/2015,629.06
25/04/2015,629.06
28/04/2015,629.06
29/04/2015,628.85
01/05/2015,628.7
02/05/2015,628.35
05/05/2015,628.1
07/05/2015,627.45
08/05/2015,627.28
10/05/2015,627.28
11/05/2015,627.28
14/05/2015,626.57
15/05/2015,626.57
18/05/2015,626.32
19/05/2015,625.42
21/05/2015,624.79
22/05/2015,624.8
25/05/2015,624.49
26/05/2015,624.18
29/05/2015,623.54
30/05/2015,623.45
01/06/2015,623.22
02/06/2015,622.83
04/06/2015,622.3
07/06/2015,621.74
08/06/2015,621.39
10/06/2015,621.05
12/06/2015,620.52
13/06/2015,619.96
15/06/2015,619.88
17/06/2015,619.45
19/06/2015,619.45
21/06/2015,619.27
23/06/2015,618.2
25/06/2015,617.67
26/06/2015,617.67
29/06/2015,617.13
30/06/2015,617.01
02/07/2015,616.24
03/07/2015,615.89
06/07/2015,615.18
08/07/2015,614.46
09/07/2015,614.48
11/07/2015,613.75
12/07/2015,613.18
15/07/2015,612.33
17/07/2015,611.97
18/07/2015,611.43
20/07/2015,611.26
22/07/2015,610.44
23/07/2015,610.37
25/07/2015,609.53
27/07/2015,609.12
29/07/2015,608.45
01/08/2015,607.34
02/08/2015,607.34
04/08/2015,606.99
06/08/2015,606.28
07/08/2015,606.28
09/08/2015,605.21
12/08/2015,604.85
13/08/2015,604.5
15/08/2015,603.78
17/08/2015,603.07
18/08/2015,602.86
21/08/2015,602.36
23/08/2015,602.36
24/08/2015,601.65
25/08/2015,601.45
27/08/2015,601.33
29/08/2015,600.97
31/08/2015,600.69
02/09/2015,599.87
03/09/2015,599.87
05/09/2015,599.32
08/09/2015,599.19
10/09/2015,598.46
12/09/2015,594.35
13/09/2015,597.43
14/09/2015,597.43
16/09/2015,597.09
19/09/2015,596.41
20/09/2015,596.41
22/09/2015,596.27
24/09/2015,595.72
25/09/2015,595.38
27/09/2015,595.89
29/09/2015,595.47
01/10/2015,596.06
04/10/2015,595.6
05/10/2015,595.42
07/10/2015,595.38
08/10/2015,595.04
11/10/2015,594.88
13/10/2015,594.7
14/10/2015,594.7
16/10/2015,594.7
18/10/2015,595.04
19/10/2015,596.06
21/10/2015,596.41
23/10/2015,596.41
25/10/2015,596.41
27/10/2015,596.41
29/10/2015,596.41
30/10/2015,596.41
02/11/2015,597.09
04/11/2015,599.87
05/11/2015,600.22
06/11/2015,600.58
08/11/2015,600.58
10/11/2015,600.58
12/11/2015,600.58
15/11/2015,600.58
16/11/2015,600.22
18/11/2015,600.22
19/11/2015,599.87
22/11/2015,599.87
23/11/2015,599.51
25/11/2015,599.51
27/11/2015,598.8
28/11/2015,598.8
30/11/2015,598.8
03/12/2015,598.8
04/12/2015,598.46
06/12/2015,598.46
08/12/2015,598.46
10/12/2015,598.8
12/12/2015,597.77
13/12/2015,597.77
16/12/2015,597.77
18/12/2015,597.43
19/12/2015,598.12
20/12/2015,598.8
22/12/2015,599.16
24/12/2015,598.8
27/12/2015,598.8
28/12/2015,598.8
30/12/2015,602.36
