Fecha,Reserva
01/01/2015,115.65
02/01/2015,115.56
04/01/2015,115.03
06/01/2015,114.49
07/01/2015,114.23
10/01/2015,113.43
11/01/2015,113.17
13/01/2015,112.64
15/01/2015,112.38
17/01/2015,112.47
18/01/2015,112.56
21/01/2015,113.43
22/01/2015,113.52
23/01/2015,113.61
26/01/2015,113.61
27/01/2015,113.61
30/01/2015,113.35
31/01/2015,113.35
02/02/2015,113.61
03/02/2015,113.61
05/02/2015,113.79
07/02/2015,113.61
09/02/2015,113.52
12/02/2015,113.26
13/02/2015,113.35
15/02/2015,113.17
17/02/2015,113.08
19/02/2015,113.08
21/02/2015,112.91
23/02/2015,112.73
24/02/2015,112.73
25/02/2015,112.56
28/02/2015,112.73
01/03/2015,112.73
04/03/2015,112.99
05/03/2015,112.99
07/03/2015,113.17
08/03/2015,113.17
10/03/2015,113.26
12/03/2015,113.43
15/03/2015,113.52
16/03/2015,113.61
17/03/2015,113.61
19/03/2015,114.14
21/03/2015,114.41
23/03/2015,114.76
25/03/2015,114.94
27/03/2015,115.03
29/03/2015,115.11
31/03/2015,115.11
02/04/2015,115.29
03/04/2015,115.29
06/04/2015,115.47
07/04/2015,116.01
09/04/2015,116.18
10/04/2015,119.61
12/04/2015,116.45
15/04/2015,116.63
16/04/2015,116.81
18/04/2015,116.9
20/04/2015,116.9
21/04/2015,116.99
23/04/2015,116.99
26/04/2015,117.08
27/04/2015,117.17
29/04/2015,117.17
01/05/2015,117.17
02/05/2015,117.26
04/05/2015,117.26
06/05/2015,117.26
08/05/2015,117.26
09/05/2015,117.26
11/05/2015,117.26
14/05/2015,117.26
15/05/2015,117.17
17/05/2015,117.08
19/05/2015,117.08
21/05/2015,116.91
23/05/2015,116.9
24/05/2015,116.81
26/05/2015,116.78
29/05/2015,116.64
30/05/2015,116.63
31/05/2015,116.63
02/06/2015,116.54
05/06/2015,116.18
06/06/2015,116.18
09/06/2015,116.03
10/06/2015,116.01
12/06/2015,115.65
13/06/2015,115.56
15/06/2015,115.71
18/06/2015,115.32
19/06/2015,115.29
21/06/2015,115.29
23/06/2015,115.16
25/06/2015,114.86
27/06/2015,114.76
28/06/2015,114.76
01/07/2015,114.58
02/07/2015,114.32
03/07/2015,114.23
06/07/2015,114.14
08/07/2015,113.96
09/07/2015,113.79
11/07/2015,113.61
13/07/2015,113.52
15/07/2015,113.35
16/07/2015,113.4
19/07/2015,113.08
20/07/2015,113.09
22/07/2015,112.99
23/07/2015,112.78
26/07/2015,112.47
28/07/2015,112.38
29/07/2015,112.33
31/07/2015,111.94
02/08/2015,111.77
03/08/2015,111.77
05/08/2015,111.68
07/08/2015,111.41
10/08/2015,111.3
12/08/2015,111.12
13/08/2015,110.81
14/08/2015,110.78
16/08/2015,110.55
19/08/2015,110.51
20/08/2015,110.21
22/08/2015,110.12
24/08/2015,109.95
26/08/2015,109.88
27/08/2015,109.68
30/08/2015,109.52
01/09/2015,109.5
02/09/2015,109.35
03/09/2015,109.17
06/09/2015,108.92
08/09/2015,109.0
09/09/2015,109.0
11/09/2015,108.77
13/09/2015,108.66
15/09/2015,108.62
16/09/2015,108.49
18/09/2015,108.32
20/09/2015,108.32
23/09/2015,108.22
24/09/2015,108.02
25/09/2015,107.89
28/09/2015,107.81
30/09/2015,108.06
01/10/2015,107.89
03/10/2015,106.96
05/10/2015,106.96
07/10/2015,106.24
08/10/2015,105.61
10/10/2015,104.86
12/10/2015,104.86
15/10/2015,104.99
16/10/2015,104.7
18/10/2015,104.44
20/10/2015,107.21
21/10/2015,107.04
24/10/2015,105.95
26/10/2015,106.03
27/10/2015,105.7
29/10/2015,104.86
31/10/2015,104.02
02/11/2015,104.19
03/11/2015,105.11
05/11/2015,104.77
07/11/2015,104.11
09/11/2015,104.19
11/11/2015,103.36
13/11/2015,102.54
14/11/2015,102.13
16/11/2015,102.13
17/11/2015,101.8
20/11/2015,100.58
21/11/2015,100.09
23/11/2015,100.09
25/11/2015,99.61
27/11/2015,99.6
28/11/2015,99.6
30/11/2015,99.6
02/12/2015,99.6
05/12/2015,99.6
06/12/2015,99.68
08/12/2015,99.68
09/12/2015,99.6
11/12/2015,99.6
13/12/2015,99.68
16/12/2015,99.77
18/12/2015,99.77
19/12/2015,99.85
21/12/2015,99.93
22/12/2015,99.85
25/12/2015,99.93
27/12/2015,99.85
28/12/2015,99.85
30/12/2015,100.25
