Fecha,Reserva
2012-01-01,125.2
2012-01-02,125.2
2012-01-03,125.2
2012-01-04,125.2
2012-01-05,125.2
2012-01-06,125.2
2012-01-07,125.44
2012-01-08,125.38
2012-01-09,125.32
2012-01-10,125.32
2012-01-11,125.32
2012-01-12,125.32
2012-01-13,125.29
2012-01-14,125.32
2012-01-15,125.3
2012-01-16,125.29
2012-01-17,125.36
2012-01-18,125.44
2012-01-19,125.44
2012-01-20,125.44
2012-01-21,125.44
2012-01-22,125.44
2012-01-23,125.41
2012-01-24,125.38
2012-01-25,125.43
2012-01-26,125.47
2012-01-27,125.47
2012-01-28,125.51
2012-01-29,125.48
2012-01-30,125.44
2012-01-31,125.48
2012-02-01,125.46
2012-02-02,125.44
2012-02-03,125.44
2012-02-04,125.44
2012-02-05,125.38
2012-02-06,125.41
2012-02-07,125.44
2012-02-08,125.42
2012-02-09,125.41
2012-02-10,125.36
2012-02-11,125.32
2012-02-12,125.35
2012-02-13,125.38
2012-02-14,125.34
2012-02-15,125.31
2012-02-16,125.39
2012-02-17,125.35
2012-02-18,125.32
2012-02-19,125.29
2012-02-20,125.29
2012-02-21,125.26
2012-02-22,125.29
2012-02-23,125.32
2012-02-24,125.26
2012-02-25,125.2
2012-02-26,125.26
2012-02-27,125.26
2012-02-28,125.26
2012-02-29,125.25
2012-03-01,125.24
2012-03-02,125.19
2012-03-03,125.14
2012-03-04,125.2
2012-03-05,125.2
2012-03-06,125.19
2012-03-07,125.18
2012-03-08,125.16
2012-03-09,125.14
2012-03-10,125.14
2012-03-11,125.14
2012-03-12,125.14
2012-03-13,125.08
2012-03-14,125.06
2012-03-15,125.04
2012-03-16,125.02
2012-03-17,125.01
2012-03-18,125.01
2012-03-19,125.01
2012-03-20,124.97
2012-03-21,124.96
2012-03-22,124.96
2012-03-23,124.95
2012-03-24,124.83
2012-03-25,124.83
2012-03-26,124.83
2012-03-27,124.83
2012-03-28,124.83
2012-03-29,124.83
2012-03-30,124.77
2012-03-31,124.77
2012-04-01,124.77
2012-04-02,124.76
2012-04-03,124.74
2012-04-04,124.77
2012-04-05,124.74
2012-04-06,124.71
2012-04-07,124.71
2012-04-08,124.71
2012-04-09,124.71
2012-04-10,124.67
2012-04-11,124.63
2012-04-12,124.59
2012-04-13,124.62
2012-04-14,124.6
2012-04-15,124.6
2012-04-16,124.59
2012-04-17,124.56
2012-04-18,124.53
2012-04-19,124.5
2012-04-20,124.46
2012-04-21,124.34
2012-04-22,124.34
2012-04-23,124.34
2012-04-24,124.32
2012-04-25,124.29
2012-04-26,124.27
2012-04-27,124.25
2012-04-28,124.16
2012-04-29,124.25
2012-04-30,124.25
2012-05-01,124.34
2012-05-02,124.34
2012-05-03,124.25
2012-05-04,124.24
2012-05-05,124.24
2012-05-06,124.22
2012-05-07,124.71
2012-05-08,125.2
2012-05-09,125.2
2012-05-10,125.2
2012-05-11,125.08
2012-05-12,125.08
2012-05-13,125.08
2012-05-14,125.08
2012-05-15,125.08
2012-05-16,123.8
2012-05-17,122.52
2012-05-18,122.5
2012-05-19,122.51
2012-05-20,122.51
2012-05-21,122.52
2012-05-22,119.0
2012-05-23,117.98
2012-05-24,116.95
2012-05-25,115.87
2012-05-26,116.41
2012-05-27,116.41
2012-05-28,116.95
2012-05-29,110.96
2012-05-30,110.96
2012-05-31,110.96
2012-06-01,109.28
2012-06-02,109.28
2012-06-03,107.59
2012-06-04,100.93
2012-06-05,99.22
2012-06-06,98.36
2012-06-07,97.5
2012-06-08,97.5
2012-06-09,97.5
2012-06-10,97.5
2012-06-11,89.05
2012-06-12,86.58
2012-06-13,86.58
2012-06-14,84.12
2012-06-15,82.44
2012-06-16,82.44
2012-06-17,82.44
2012-06-18,82.44
2012-06-19,79.06
2012-06-20,75.67
2012-06-21,74.26
2012-06-22,72.86
2012-06-23,72.86
2012-06-24,72.86
2012-06-25,70.41
2012-06-26,67.96
2012-06-27,67.44
2012-06-28,66.91
2012-06-29,66.88
2012-06-30,66.88
2012-07-01,66.88
2012-07-02,66.88
2012-07-03,66.8
2012-07-04,66.76
2012-07-05,66.73
2012-07-06,66.73
2012-07-07,66.73
2012-07-08,66.73
2012-07-09,66.66
2012-07-10,66.58
2012-07-11,66.54
2012-07-12,66.54
2012-07-13,66.49
2012-07-14,66.48
2012-07-15,66.47
2012-07-16,66.47
2012-07-17,66.4
2012-07-18,66.34
2012-07-19,66.32
2012-07-20,66.29
2012-07-21,66.31
2012-07-22,66.32
2012-07-23,66.32
2012-07-24,66.19
2012-07-25,66.19
2012-07-26,66.06
2012-07-27,66.03
2012-07-28,65.99
2012-07-29,65.99
2012-07-30,65.99
2012-07-31,65.84
2012-08-01,65.84
2012-08-02,65.7
2012-08-03,65.74
2012-08-04,65.66
2012-08-05,65.66
2012-08-06,65.59
2012-08-07,65.7
2012-08-08,65.6
2012-08-09,65.5
2012-08-10,65.49
2012-08-11,65.48
2012-08-12,65.43
2012-08-13,65.38
2012-08-14,65.41
2012-08-15,65.34
2012-08-16,65.34
2012-08-17,65.26
2012-08-18,65.23
2012-08-19,65.23
2012-08-20,65.23
2012-08-21,65.23
2012-08-22,65.23
2012-08-23,65.23
2012-08-24,65.23
2012-08-25,65.23
2012-08-26,65.23
2012-08-27,65.23
2012-08-28,65.23
2012-08-29,65.23
2012-08-30,65.23
2012-08-31,65.23
2012-09-01,65.23
2012-09-02,65.23
2012-09-03,65.23
2012-09-04,65.23
2012-09-05,64.97
2012-09-06,64.72
2012-09-07,64.73
2012-09-08,64.72
2012-09-09,64.72
2012-09-10,64.72
2012-09-11,64.64
2012-09-12,64.61
2012-09-13,64.58
2012-09-14,64.06
2012-09-15,63.54
2012-09-16,64.5
2012-09-17,64.48
2012-09-18,64.47
2012-09-19,64.44
2012-09-20,64.4
2012-09-21,64.38
2012-09-22,64.36
2012-09-23,64.36
2012-09-24,64.32
2012-09-25,64.32
2012-09-26,64.29
2012-09-27,64.29
2012-09-28,64.5
2012-09-29,64.72
2012-09-30,64.72
2012-10-01,64.72
2012-10-02,64.72
2012-10-03,64.72
2012-10-04,64.72
2012-10-05,64.72
2012-10-06,64.68
2012-10-07,64.68
2012-10-08,64.68
2012-10-09,64.68
2012-10-10,64.68
2012-10-11,64.67
2012-10-12,64.67
2012-10-13,64.65
2012-10-14,64.61
2012-10-15,64.6
2012-10-16,64.58
2012-10-17,64.58
2012-10-18,64.58
2012-10-19,63.8
2012-10-20,63.01
2012-10-21,64.5
2012-10-22,64.52
2012-10-23,64.53
2012-10-24,64.54
2012-10-25,64.54
2012-10-26,64.96
2012-10-27,65.37
2012-10-28,65.52
2012-10-29,65.66
2012-10-30,64.76
2012-10-31,65.28
2012-11-01,65.28
2012-11-02,65.81
2012-11-03,68.43
2012-11-04,71.05
2012-11-05,81.66
2012-11-06,83.05
2012-11-07,84.44
2012-11-08,87.2
2012-11-09,89.95
2012-11-10,82.79
2012-11-11,91.91
2012-11-12,101.03
2012-11-13,101.58
2012-11-14,101.58
2012-11-15,102.13
2012-11-16,102.71
2012-11-17,100.98
2012-11-18,102.45
2012-11-19,102.45
2012-11-20,103.92
2012-11-21,100.98
2012-11-22,102.82
2012-11-23,104.67
2012-11-24,102.82
2012-11-25,102.82
2012-11-26,100.98
2012-11-27,105.42
2012-11-28,105.48
2012-11-29,105.53
2012-11-30,103.26
2012-12-01,100.98
2012-12-02,103.36
2012-12-03,105.74
2012-12-04,105.79
2012-12-05,105.85
2012-12-06,105.9
2012-12-07,105.96
