Fecha,Reserva
01/01/2017,76.0
02/01/2017,76.04
03/01/2017,76.04
05/01/2017,76.08
07/01/2017,76.17
10/01/2017,76.21
11/01/2017,76.25
13/01/2017,76.25
14/01/2017,76.29
16/01/2017,76.29
18/01/2017,76.33
20/01/2017,76.33
22/01/2017,76.37
24/01/2017,76.37
26/01/2017,76.41
28/01/2017,76.49
29/01/2017,76.54
01/02/2017,76.58
02/02/2017,76.62
04/02/2017,76.7
05/02/2017,76.78
08/02/2017,76.91
09/02/2017,76.91
12/02/2017,77.03
13/02/2017,77.16
14/02/2017,77.61
16/02/2017,78.07
18/02/2017,78.28
21/02/2017,78.87
23/02/2017,78.92
24/02/2017,79.21
25/02/2017,79.34
27/02/2017,79.51
01/03/2017,79.68
04/03/2017,79.89
05/03/2017,81.18
07/03/2017,82.14
08/03/2017,82.44
10/03/2017,82.79
12/03/2017,83.06
14/03/2017,83.28
16/03/2017,83.46
17/03/2017,83.55
19/03/2017,83.63
22/03/2017,83.77
24/03/2017,83.86
25/03/2017,83.86
27/03/2017,83.94
29/03/2017,84.08
30/03/2017,84.08
02/04/2017,84.17
04/04/2017,84.17
05/04/2017,84.21
07/04/2017,84.21
08/04/2017,84.21
10/04/2017,84.21
13/04/2017,84.21
15/04/2017,84.17
17/04/2017,84.18
18/04/2017,84.17
19/04/2017,84.17
22/04/2017,84.08
23/04/2017,84.08
26/04/2017,83.99
27/04/2017,83.99
29/04/2017,84.03
01/05/2017,84.03
02/05/2017,84.35
04/05/2017,84.39
06/05/2017,84.35
08/05/2017,84.35
10/05/2017,84.3
11/05/2017,84.35
13/05/2017,84.97
15/05/2017,85.2
17/05/2017,85.24
19/05/2017,85.24
20/05/2017,85.24
22/05/2017,85.24
24/05/2017,85.09
27/05/2017,85.06
29/05/2017,84.99
30/05/2017,85.06
31/05/2017,84.94
03/06/2017,84.93
05/06/2017,84.78
06/06/2017,84.78
09/06/2017,84.69
10/06/2017,84.78
12/06/2017,84.78
14/06/2017,84.52
15/06/2017,84.78
18/06/2017,84.78
19/06/2017,84.33
21/06/2017,84.33
23/06/2017,84.14
25/06/2017,84.33
26/06/2017,84.0
29/06/2017,83.81
30/06/2017,83.77
02/07/2017,83.68
03/07/2017,83.63
05/07/2017,83.63
07/07/2017,83.63
10/07/2017,83.63
11/07/2017,83.37
13/07/2017,83.3
15/07/2017,83.19
17/07/2017,83.1
18/07/2017,82.27
21/07/2017,79.58
22/07/2017,78.66
23/07/2017,77.78
26/07/2017,75.06
27/07/2017,74.17
29/07/2017,72.42
01/08/2017,69.7
02/08/2017,68.85
03/08/2017,67.92
05/08/2017,66.14
07/08/2017,64.32
09/08/2017,62.55
12/08/2017,59.84
13/08/2017,58.97
15/08/2017,57.16
16/08/2017,56.28
18/08/2017,54.51
20/08/2017,52.72
22/08/2017,50.94
24/08/2017,49.18
25/08/2017,48.29
28/08/2017,45.32
29/08/2017,44.37
01/09/2017,44.16
02/09/2017,43.33
04/09/2017,41.54
05/09/2017,40.37
08/09/2017,37.71
10/09/2017,36.0
11/09/2017,35.15
13/09/2017,33.98
14/09/2017,33.44
17/09/2017,31.9
19/09/2017,30.93
21/09/2017,29.91
22/09/2017,29.63
24/09/2017,29.56
25/09/2017,29.57
28/09/2017,29.5
29/09/2017,29.52
02/10/2017,29.44
03/10/2017,29.46
05/10/2017,29.4
06/10/2017,29.4
08/10/2017,29.36
11/10/2017,29.33
12/10/2017,29.32
15/10/2017,29.26
16/10/2017,29.27
18/10/2017,29.25
19/10/2017,29.28
21/10/2017,29.26
23/10/2017,29.27
26/10/2017,29.25
27/10/2017,29.25
28/10/2017,29.22
31/10/2017,29.23
01/11/2017,29.2
03/11/2017,29.19
05/11/2017,29.22
07/11/2017,29.22
08/11/2017,29.18
11/11/2017,29.16
12/11/2017,29.16
15/11/2017,29.16
16/11/2017,29.12
17/11/2017,29.12
20/11/2017,29.09
22/11/2017,29.09
24/11/2017,29.08
25/11/2017,29.08
27/11/2017,29.08
28/11/2017,29.04
30/11/2017,29.1
03/12/2017,29.06
04/12/2017,29.08
06/12/2017,29.04
08/12/2017,29.02
10/12/2017,29.02
12/12/2017,29.1
14/12/2017,29.1
16/12/2017,29.12
17/12/2017,29.1
19/12/2017,29.1
20/12/2017,29.1
22/12/2017,29.1
24/12/2017,29.1
27/12/2017,29.1
28/12/2017,29.1
30/12/2017,29.06
