Fecha,Reserva
2012-01-01,173.5
2012-01-02,173.5
2012-01-03,173.5
2012-01-04,173.5
2012-01-05,173.5
2012-01-06,173.5
2012-01-07,171.93
2012-01-08,171.93
2012-01-09,171.93
2012-01-10,171.93
2012-01-11,171.93
2012-01-12,171.93
2012-01-13,171.93
2012-01-14,171.93
2012-01-15,171.93
2012-01-16,171.93
2012-01-17,171.93
2012-01-18,171.93
2012-01-19,171.93
2012-01-20,171.93
2012-01-21,171.93
2012-01-22,171.93
2012-01-23,171.93
2012-01-24,171.93
2012-01-25,171.93
2012-01-26,171.93
2012-01-27,171.93
2012-01-28,171.93
2012-01-29,171.93
2012-01-30,171.93
2012-01-31,171.93
2012-02-01,171.93
2012-02-02,171.93
2012-02-03,171.93
2012-02-04,171.93
2012-02-05,171.93
2012-02-06,171.93
2012-02-07,171.25
2012-02-08,171.25
2012-02-09,171.25
2012-02-10,171.25
2012-02-11,171.25
2012-02-12,171.25
2012-02-13,170.58
2012-02-14,170.58
2012-02-15,170.58
2012-02-16,170.58
2012-02-17,170.58
2012-02-18,170.58
2012-02-19,170.58
2012-02-20,170.58
2012-02-21,170.36
2012-02-22,170.36
2012-02-23,170.14
2012-02-24,170.14
2012-02-25,170.25
2012-02-26,170.36
2012-02-27,170.14
2012-02-28,170.02
2012-02-29,170.02
2012-03-01,169.91
2012-03-02,170.02
2012-03-03,170.14
2012-03-04,170.02
2012-03-05,169.91
2012-03-06,169.91
2012-03-07,169.91
2012-03-08,169.91
2012-03-09,169.69
2012-03-10,169.69
2012-03-11,169.69
2012-03-12,169.47
2012-03-13,169.25
2012-03-14,168.92
2012-03-15,168.92
2012-03-16,168.58
2012-03-17,168.92
2012-03-18,169.25
2012-03-19,167.92
2012-03-20,167.7
2012-03-21,167.47
2012-03-22,167.36
2012-03-23,167.25
2012-03-24,167.47
2012-03-25,167.69
2012-03-26,167.03
2012-03-27,166.81
2012-03-28,166.59
2012-03-29,166.37
2012-03-30,166.15
2012-03-31,166.48
2012-04-01,166.81
2012-04-02,165.71
2012-04-03,165.82
2012-04-04,165.93
2012-04-05,165.82
2012-04-06,165.71
2012-04-07,165.71
2012-04-08,165.71
2012-04-09,165.82
2012-04-10,165.93
2012-04-11,165.93
2012-04-12,165.93
2012-04-13,165.93
2012-04-14,165.93
2012-04-15,165.93
2012-04-16,165.49
2012-04-17,165.05
2012-04-18,164.84
2012-04-19,164.84
2012-04-20,164.62
2012-04-21,165.27
2012-04-22,165.27
2012-04-23,165.27
2012-04-24,164.18
2012-04-25,163.85
2012-04-26,163.85
2012-04-27,163.52
2012-04-28,164.18
2012-04-29,164.18
2012-04-30,164.18
2012-05-01,164.18
2012-05-02,163.52
2012-05-03,163.52
2012-05-04,163.52
2012-05-05,163.52
2012-05-06,163.52
2012-05-07,164.18
2012-05-08,163.96
2012-05-09,163.96
2012-05-10,163.74
2012-05-11,163.52
2012-05-12,163.85
2012-05-13,164.18
2012-05-14,162.87
2012-05-15,161.89
2012-05-16,161.89
2012-05-17,160.92
2012-05-18,162.22
2012-05-19,163.52
2012-05-20,161.26
2012-05-21,158.99
2012-05-22,158.56
2012-05-23,158.13
2012-05-24,157.92
2012-05-25,158.45
2012-05-26,158.99
2012-05-27,158.99
2012-05-28,157.61
2012-05-29,156.22
2012-05-30,155.38
2012-05-31,155.38
2012-06-01,154.53
2012-06-02,155.06
2012-06-03,155.58
2012-06-04,153.9
2012-06-05,153.27
2012-06-06,152.54
2012-06-07,152.54
2012-06-08,151.81
2012-06-09,153.17
2012-06-10,154.53
2012-06-11,150.56
2012-06-12,149.43
2012-06-13,149.43
2012-06-14,148.29
2012-06-15,147.68
2012-06-16,147.68
2012-06-17,147.68
2012-06-18,147.68
2012-06-19,146.16
2012-06-20,146.16
2012-06-21,144.63
2012-06-22,145.54
2012-06-23,146.45
2012-06-24,146.45
2012-06-25,144.14
2012-06-26,141.82
2012-06-27,141.02
2012-06-28,140.22
2012-06-29,140.02
2012-06-30,139.83
2012-07-01,137.66
2012-07-02,137.66
2012-07-03,137.66
2012-07-04,137.07
2012-07-05,136.49
2012-07-06,135.67
2012-07-07,134.85
2012-07-08,134.31
2012-07-09,133.77
2012-07-10,133.58
2012-07-11,132.52
2012-07-12,132.52
2012-07-13,131.47
2012-07-14,130.84
2012-07-15,130.21
2012-07-16,129.8
2012-07-17,129.39
2012-07-18,128.63
2012-07-19,127.69
2012-07-20,127.1
2012-07-21,126.5
2012-07-22,125.61
2012-07-23,124.72
2012-07-24,124.16
2012-07-25,123.61
2012-07-26,122.88
2012-07-27,122.15
2012-07-28,121.58
2012-07-29,121.02
2012-07-30,120.518
2012-07-31,120.16
2012-08-01,119.8
2012-08-02,119.08
2012-08-03,118.36
2012-08-04,117.65
2012-08-05,117.65
2012-08-06,116.94
2012-08-07,116.23
2012-08-08,115.7
2012-08-09,115.17
2012-08-10,115.7
2012-08-11,116.23
2012-08-12,114.82
2012-08-13,113.42
2012-08-14,113.42
2012-08-15,113.42
2012-08-16,112.03
2012-08-17,111.51
2012-08-18,110.99
2012-08-19,110.48
2012-08-20,109.96
2012-08-21,109.62
2012-08-22,109.11
2012-08-23,108.6
2012-08-24,108.0
2012-08-25,108.0
2012-08-26,107.41
2012-08-27,107.24
2012-08-28,106.99
2012-08-29,106.74
2012-08-30,106.4
