Fecha,Reserva
01/01/2012,173.5
02/01/2012,173.5
03/01/2012,173.5
06/01/2012,173.5
07/01/2012,171.93
09/01/2012,171.93
11/01/2012,171.93
13/01/2012,171.93
14/01/2012,171.93
16/01/2012,171.93
18/01/2012,171.93
20/01/2012,171.93
22/01/2012,171.93
24/01/2012,171.93
25/01/2012,171.93
27/01/2012,171.93
29/01/2012,171.93
31/01/2012,171.93
02/02/2012,171.93
04/02/2012,171.93
06/02/2012,171.93
07/02/2012,171.25
09/02/2012,171.25
12/02/2012,171.25
13/02/2012,170.58
15/02/2012,170.58
16/02/2012,170.58
19/02/2012,170.58
20/02/2012,170.58
23/02/2012,170.14
24/02/2012,170.14
26/02/2012,170.36
27/02/2012,170.14
01/03/2012,169.91
03/03/2012,170.14
05/03/2012,169.91
06/03/2012,169.91
08/03/2012,169.91
09/03/2012,169.69
11/03/2012,169.69
13/03/2012,169.25
16/03/2012,168.58
18/03/2012,169.25
19/03/2012,167.92
21/03/2012,167.47
23/03/2012,167.25
25/03/2012,167.69
26/03/2012,167.03
28/03/2012,166.59
30/03/2012,166.15
01/04/2012,166.81
02/04/2012,165.71
04/04/2012,165.93
06/04/2012,165.71
08/04/2012,165.71
10/04/2012,165.93
11/04/2012,165.93
14/04/2012,165.93
15/04/2012,165.93
17/04/2012,165.05
20/04/2012,164.62
21/04/2012,165.27
23/04/2012,165.27
24/04/2012,164.18
27/04/2012,163.52
28/04/2012,164.18
01/05/2012,164.18
02/05/2012,163.52
03/05/2012,163.52
06/05/2012,163.52
07/05/2012,164.18
10/05/2012,163.74
11/05/2012,163.52
13/05/2012,164.18
14/05/2012,162.87
17/05/2012,160.92
19/05/2012,163.52
21/05/2012,158.99
23/05/2012,158.13
24/05/2012,157.92
26/05/2012,158.99
27/05/2012,158.99
29/05/2012,156.22
01/06/2012,154.53
03/06/2012,155.58
04/06/2012,153.9
05/06/2012,153.27
08/06/2012,151.81
10/06/2012,154.53
11/06/2012,150.56
14/06/2012,148.29
15/06/2012,147.68
17/06/2012,147.68
18/06/2012,147.68
21/06/2012,144.63
23/06/2012,146.45
24/06/2012,146.45
26/06/2012,141.82
28/06/2012,140.22
30/06/2012,139.83
01/07/2012,137.66
03/07/2012,137.66
05/07/2012,136.49
07/07/2012,134.85
09/07/2012,133.77
10/07/2012,133.58
13/07/2012,131.47
15/07/2012,130.21
17/07/2012,129.39
18/07/2012,128.63
19/07/2012,127.69
21/07/2012,126.5
23/07/2012,124.72
25/07/2012,123.61
27/07/2012,122.15
29/07/2012,121.02
30/07/2012,120.518
01/08/2012,119.8
03/08/2012,118.36
06/08/2012,116.94
07/08/2012,116.23
09/08/2012,115.17
11/08/2012,116.23
13/08/2012,113.42
15/08/2012,113.42
16/08/2012,112.03
18/08/2012,110.99
20/08/2012,109.96
21/08/2012,109.62
23/08/2012,108.6
26/08/2012,107.41
27/08/2012,107.24
29/08/2012,106.74
31/08/2012,106.07
02/09/2012,107.24
03/09/2012,105.06
06/09/2012,104.07
08/09/2012,105.06
09/09/2012,105.06
11/09/2012,102.75
12/09/2012,102.42
15/09/2012,102.91
17/09/2012,101.27
19/09/2012,100.95
21/09/2012,100.62
22/09/2012,100.62
23/09/2012,100.46
25/09/2012,101.27
27/09/2012,100.14
30/09/2012,100.14
01/10/2012,101.11
03/10/2012,101.11
04/10/2012,101.11
07/10/2012,101.11
09/10/2012,100.62
10/10/2012,100.79
12/10/2012,100.79
14/10/2012,100.79
15/10/2012,99.98
18/10/2012,99.49
20/10/2012,99.98
22/10/2012,99.49
24/10/2012,99.49
25/10/2012,100.95
26/10/2012,112.55
28/10/2012,99.49
30/10/2012,113.76
01/11/2012,113.76
04/11/2012,113.76
05/11/2012,116.4
07/11/2012,118.01
09/11/2012,130.14
11/11/2012,116.4
12/11/2012,133.19
14/11/2012,133.19
16/11/2012,133.19
18/11/2012,116.4
19/11/2012,138.44
21/11/2012,138.64
24/11/2012,138.44
25/11/2012,138.44
27/11/2012,138.64
28/11/2012,138.64
30/11/2012,138.64
02/12/2012,138.64
05/12/2012,138.64
07/12/2012,140.12
08/12/2012,138.64
10/12/2012,145.24
11/12/2012,145.24
13/12/2012,145.24
16/12/2012,145.24
17/12/2012,147.27
19/12/2012,147.27
20/12/2012,147.47
22/12/2012,147.27
25/12/2012,147.27
26/12/2012,148.7
28/12/2012,148.7
30/12/2012,147.27
