Fecha,Reserva
2012-01-01,277.13
2012-01-02,277.11
2012-01-03,277.18
2012-01-04,277.25
2012-01-05,277.25
2012-01-06,277.32
2012-01-07,275.42
2012-01-08,275.6
2012-01-09,275.79
2012-01-10,275.71
2012-01-11,275.63
2012-01-12,275.53
2012-01-13,275.43
2012-01-14,275.35
2012-01-15,275.27
2012-01-16,275.43
2012-01-17,275.42
2012-01-18,275.42
2012-01-19,275.46
2012-01-20,275.46
2012-01-21,275.5
2012-01-22,275.5
2012-01-23,275.4
2012-01-24,275.3
2012-01-25,275.0
2012-01-26,274.83
2012-01-27,274.83
2012-01-28,274.66
2012-01-29,274.7
2012-01-30,274.73
2012-01-31,274.69
2012-02-01,274.65
2012-02-02,274.26
2012-02-03,274.09
2012-02-04,273.91
2012-02-05,273.91
2012-02-06,273.91
2012-02-07,273.97
2012-02-08,273.4
2012-02-09,273.4
2012-02-10,272.84
2012-02-11,272.68
2012-02-12,272.66
2012-02-13,272.66
2012-02-14,272.64
2012-02-15,272.13
2012-02-16,271.91
2012-02-17,271.69
2012-02-18,271.03
2012-02-19,271.14
2012-02-20,271.14
2012-02-21,271.24
2012-02-22,270.77
2012-02-23,270.36
2012-02-24,270.36
2012-02-25,269.95
2012-02-26,269.88
2012-02-27,269.78
2012-02-28,269.68
2012-02-29,269.68
2012-03-01,269.68
2012-03-02,268.53
2012-03-03,268.4
2012-03-04,268.28
2012-03-05,268.29
2012-03-06,268.3
2012-03-07,268.0
2012-03-08,267.69
2012-03-09,267.26
2012-03-10,266.82
2012-03-11,266.54
2012-03-12,266.26
2012-03-13,265.59
2012-03-14,264.91
2012-03-15,263.1
2012-03-16,261.32
2012-03-17,261.32
2012-03-18,259.53
2012-03-19,259.06
2012-03-20,258.83
2012-03-21,258.5
2012-03-22,258.16
2012-03-23,257.9
2012-03-24,257.63
2012-03-25,257.2
2012-03-26,257.2
2012-03-27,256.76
2012-03-28,256.28
2012-03-29,255.8
2012-03-30,255.3
2012-03-31,254.79
2012-04-01,254.7
2012-04-02,254.61
2012-04-03,254.41
2012-04-04,254.41
2012-04-05,254.21
2012-04-06,254.25
2012-04-07,254.24
2012-04-08,254.23
2012-04-09,254.12
2012-04-10,254.01
2012-04-11,253.7
2012-04-12,253.38
2012-04-13,252.98
2012-04-14,252.57
2012-04-15,252.18
2012-04-16,251.65
2012-04-17,251.65
2012-04-18,251.12
2012-04-19,250.94
2012-04-20,250.75
2012-04-21,249.96
2012-04-22,249.6
2012-04-23,249.23
2012-04-24,248.8
2012-04-25,248.36
2012-04-26,247.66
2012-04-27,247.44
2012-04-28,247.23
2012-04-29,247.11
2012-04-30,246.99
2012-05-01,247.0
2012-05-02,247.01
2012-05-03,246.85
2012-05-04,246.98
2012-05-05,246.98
2012-05-06,247.1
2012-05-07,247.1
2012-05-08,247.5
2012-05-09,247.9
2012-05-10,247.87
2012-05-11,247.84
2012-05-12,247.83
2012-05-13,247.82
2012-05-14,247.74
2012-05-15,247.34
2012-05-16,246.95
2012-05-17,246.24
2012-05-18,246.24
2012-05-19,245.54
2012-05-20,245.26
2012-05-21,244.99
2012-05-22,244.85
2012-05-23,244.5
2012-05-24,244.15
2012-05-25,243.74
2012-05-26,242.99
2012-05-27,242.24
2012-05-28,241.39
2012-05-29,241.39
2012-05-30,240.54
2012-05-31,239.88
2012-06-01,239.33
2012-06-02,238.79
2012-06-03,238.46
2012-06-04,238.14
2012-06-05,237.78
2012-06-06,237.01
2012-06-07,236.24
2012-06-08,235.59
2012-06-09,234.94
2012-06-10,234.12
2012-06-11,234.12
2012-06-12,233.31
2012-06-13,232.73
2012-06-14,232.01
2012-06-15,231.29
2012-06-16,231.29
2012-06-17,231.29
2012-06-18,231.29
2012-06-19,229.88
2012-06-20,228.48
2012-06-21,227.51
2012-06-22,227.51
2012-06-23,226.54
2012-06-24,225.96
2012-06-25,225.29
2012-06-26,224.62
2012-06-27,223.96
2012-06-28,223.29
2012-06-29,222.75
2012-06-30,221.68
2012-07-01,221.68
2012-07-02,220.62
2012-07-03,219.82
2012-07-04,218.74
2012-07-05,218.74
2012-07-06,217.66
2012-07-07,217.14
2012-07-08,216.38
2012-07-09,215.63
2012-07-10,215.17
2012-07-11,214.56
2012-07-12,213.94
2012-07-13,213.22
2012-07-14,212.49
2012-07-15,211.8
2012-07-16,211.1
2012-07-17,210.45
2012-07-18,209.8
2012-07-19,209.12
2012-07-20,208.04
2012-07-21,208.04
2012-07-22,206.95
2012-07-23,206.29
2012-07-24,205.68
2012-07-25,205.07
2012-07-26,204.39
2012-07-27,203.71
2012-07-28,203.09
2012-07-29,202.47
2012-07-30,201.9
2012-07-31,201.33
2012-08-01,200.54
2012-08-02,199.75
2012-08-03,198.81
2012-08-04,197.53
2012-08-05,197.53
2012-08-06,196.25
2012-08-07,195.5
2012-08-08,194.66
2012-08-09,193.82
2012-08-10,193.0
2012-08-11,192.18
2012-08-12,191.33
2012-08-13,190.48
2012-08-14,189.77
2012-08-15,189.06
2012-08-16,188.52
2012-08-17,187.98
2012-08-18,187.26
2012-08-19,186.53
2012-08-20,186.09
2012-08-21,185.5
2012-08-22,184.91
2012-08-23,184.24
2012-08-24,183.58
2012-08-25,183.07
2012-08-26,182.56
2012-08-27,181.89
2012-08-28,181.36
2012-08-29,180.83
2012-08-30,180.23
2012-08-31,179.63
2012-09-01,179.2
2012-09-02,178.68
2012-09-03,178.15
2012-09-04,177.47
2012-09-05,177.47
2012-09-06,176.79
2012-09-07,176.38
2012-09-08,175.97
2012-09-09,175.78
2012-09-10,175.58
2012-09-11,175.14
2012-09-12,174.66
2012-09-13,174.05
2012-09-14,173.44
2012-09-15,173.02
2012-09-16,173.02
2012-09-17,172.61
2012-09-18,172.06
2012-09-19,171.5
2012-09-20,171.02
2012-09-21,170.6
2012-09-22,170.18
2012-09-23,170.1
2012-09-24,170.02
2012-09-25,169.55
2012-09-26,169.08
2012-09-27,168.97
2012-09-28,169.21
2012-09-29,169.45
2012-09-30,169.64
2012-10-01,169.64
2012-10-02,169.84
2012-10-03,169.78
2012-10-04,169.71
2012-10-05,169.68
2012-10-06,169.64
2012-10-07,169.61
2012-10-08,169.58
2012-10-09,169.36
2012-10-10,169.15
2012-10-11,168.94
2012-10-12,168.72
2012-10-13,168.68
2012-10-14,168.64
2012-10-15,168.05
2012-10-16,167.46
2012-10-17,167.05
2012-10-18,166.64
2012-10-19,166.49
2012-10-20,166.42
2012-10-21,166.35
2012-10-22,166.37
2012-10-23,166.37
2012-10-24,166.39
2012-10-25,166.51
2012-10-26,166.79
2012-10-27,166.92
2012-10-28,166.92
2012-10-29,167.06
2012-10-30,169.55
2012-10-31,168.39
2012-11-01,167.23
2012-11-02,168.31
2012-11-03,168.31
2012-11-04,169.39
2012-11-05,176.35
2012-11-06,178.53
2012-11-07,179.35
2012-11-08,180.17
2012-11-09,183.65
2012-11-10,187.13
2012-11-11,188.44
2012-11-12,189.75
2012-11-13,190.22
2012-11-14,190.68
2012-11-15,190.92
2012-11-16,191.16
2012-11-17,193.89
2012-11-18,196.62
2012-11-19,216.99
2012-11-20,219.96
2012-11-21,222.93
2012-11-22,224.7
2012-11-23,226.48
2012-11-24,227.5
2012-11-25,228.52
2012-11-26,229.05
2012-11-27,229.58
2012-11-28,230.16
2012-11-29,230.46
2012-11-30,230.76
2012-12-01,231.11
2012-12-02,231.11
2012-12-03,231.46
2012-12-04,231.6
2012-12-05,231.73
2012-12-06,231.9
2012-12-07,232.1
2012-12-08,232.31
2012-12-09,232.62
2012-12-10,232.82
2012-12-11,233.01
2012-12-12,233.22
2012-12-13,233.22
2012-12-14,233.43
2012-12-15,233.67
2012-12-16,235.12
2012-12-17,236.58
2012-12-18,237.79
2012-12-19,238.99
2012-12-20,239.82
2012-12-21,240.66
2012-12-22,241.26
2012-12-23,241.86
2012-12-24,242.26
2012-12-25,242.67
2012-12-26,243.22
2012-12-27,243.77
2012-12-28,244.13
2012-12-29,244.41
2012-12-30,244.69
2012-12-31,244.92
2013-01-01,245.14
2013-01-02,245.46
2013-01-03,245.71
2013-01-04,245.96
2013-01-05,246.18
2013-01-06,246.32
2013-01-07,246.47
2013-01-08,246.74
2013-01-09,246.74
2013-01-10,247.0
2013-01-11,247.08
2013-01-12,247.14
2013-01-13,247.3
2013-01-14,247.45
2013-01-15,247.6
2013-01-16,247.6
2013-01-17,247.76
2013-01-18,248.18
2013-01-19,248.6
2013-01-20,251.12
2013-01-21,253.64
2013-01-22,255.64
2013-01-23,257.28
2013-01-24,258.93
2013-01-25,260.46
2013-01-26,262.23
2013-01-27,263.99
2013-01-28,265.65
2013-01-29,265.65
2013-01-30,267.32
2013-01-31,267.98
2013-02-01,268.63
2013-02-02,269.14
2013-02-03,269.57
2013-02-04,270.0
2013-02-05,270.42
2013-02-06,270.78
2013-02-07,270.78
2013-02-08,271.15
2013-02-09,267.04
2013-02-10,262.93
2013-02-11,271.61
2013-02-12,271.76
2013-02-13,271.9
2013-02-14,272.08
2013-02-15,272.27
2013-02-16,272.36
2013-02-17,272.46
2013-02-18,272.68
2013-02-19,272.9
2013-02-20,275.17
2013-02-21,277.45
2013-02-22,279.56
2013-02-23,284.03
2013-02-24,288.5
2013-02-25,290.86
2013-02-26,292.21
2013-02-27,292.21
2013-02-28,293.56
2013-03-01,301.99
2013-03-02,310.42
2013-03-03,316.67
2013-03-04,318.32
2013-03-05,319.96
2013-03-06,329.6
2013-03-07,329.19
2013-03-08,329.19
2013-03-09,328.78
2013-03-10,326.4
2013-03-11,324.02
2013-03-12,320.8
2013-03-13,327.05
2013-03-14,333.3
2013-03-15,330.81
2013-03-16,328.32
2013-03-17,328.42
2013-03-18,328.52
2013-03-19,330.91
2013-03-20,333.3
2013-03-21,325.36
2013-03-22,329.05
2013-03-23,329.05
2013-03-24,332.74
2013-03-25,327.8
2013-03-26,322.86
2013-03-27,324.67
2013-03-28,326.31
2013-03-29,327.95
2013-03-30,326.0
2013-03-31,324.04
2013-04-01,330.47
2013-04-02,336.9
2013-04-03,335.06
2013-04-04,333.23
2013-04-05,332.98
2013-04-06,332.74
2013-04-07,328.45
2013-04-08,328.45
2013-04-09,330.18
2013-04-10,331.92
2013-04-11,333.16
2013-04-12,334.4
2013-04-13,335.27
2013-04-14,336.14
2013-04-15,337.06
2013-04-16,337.06
2013-04-17,337.99
2013-04-18,338.07
2013-04-19,338.66
2013-04-20,339.1
2013-04-21,339.1
2013-04-22,339.55
2013-04-23,339.8
2013-04-24,339.97
2013-04-25,339.97
2013-04-26,340.14
2013-04-27,340.38
2013-04-28,340.62
2013-04-29,340.71
2013-04-30,341.02
2013-05-01,341.33
2013-05-02,341.23
2013-05-03,341.39
2013-05-04,341.55
2013-05-05,341.66
2013-05-06,341.66
2013-05-07,341.78
2013-05-08,341.99
2013-05-09,342.13
2013-05-10,341.95
2013-05-11,341.77
2013-05-12,341.55
2013-05-13,341.55
2013-05-14,341.33
2013-05-15,341.39
2013-05-16,341.28
2013-05-17,341.17
2013-05-18,341.21
2013-05-19,341.25
2013-05-20,341.32
2013-05-21,341.29
2013-05-22,341.29
2013-05-23,341.27
2013-05-24,341.22
2013-05-25,341.18
2013-05-26,341.05
2013-05-27,340.92
2013-05-28,340.75
2013-05-29,340.6
