Fecha,Reserva
01/01/2021,112.81
02/01/2021,112.8
04/01/2021,112.84
05/01/2021,112.9
08/01/2021,113.08
10/01/2021,122.98
12/01/2021,126.66
13/01/2021,127.64
15/01/2021,128.81
17/01/2021,129.49
18/01/2021,129.77
20/01/2021,130.1
23/01/2021,132.86
24/01/2021,133.8
26/01/2021,135.13
28/01/2021,136.12
30/01/2021,136.84
01/02/2021,137.42
02/02/2021,137.65
05/02/2021,138.27
07/02/2021,177.45
08/02/2021,139.3
10/02/2021,142.07
12/02/2021,148.36
14/02/2021,151.86
16/02/2021,153.57
17/02/2021,154.19
19/02/2021,155.05
21/02/2021,155.65
23/02/2021,156.35
26/02/2021,157.11
27/02/2021,156.83
01/03/2021,156.2
03/03/2021,155.56
05/03/2021,154.88
06/03/2021,155.04
08/03/2021,155.24
11/03/2021,155.74
13/03/2021,155.95
14/03/2021,155.99
17/03/2021,156.16
18/03/2021,155.81
20/03/2021,154.49
22/03/2021,153.92
24/03/2021,153.43
26/03/2021,153.16
27/03/2021,152.98
30/03/2021,152.26
31/03/2021,152.02
03/04/2021,152.04
04/04/2021,152.04
05/04/2021,152.02
08/04/2021,151.21
09/04/2021,150.93
11/04/2021,150.0
14/04/2021,149.01
15/04/2021,148.78
18/04/2021,148.36
19/04/2021,148.18
21/04/2021,147.56
23/04/2021,147.2
25/04/2021,146.71
27/04/2021,146.96
28/04/2021,148.53
30/04/2021,149.61
02/05/2021,149.98
05/05/2021,150.2
06/05/2021,149.92
08/05/2021,149.41
10/05/2021,148.84
11/05/2021,148.6
14/05/2021,148.56
15/05/2021,148.52
18/05/2021,147.69
20/05/2021,146.78
21/05/2021,146.27
23/05/2021,145.35
24/05/2021,144.84
27/05/2021,143.68
29/05/2021,143.01
31/05/2021,142.24
01/06/2021,141.69
03/06/2021,140.92
05/06/2021,140.02
06/06/2021,139.59
08/06/2021,138.79
11/06/2021,137.55
12/06/2021,137.06
15/06/2021,135.9
16/06/2021,135.54
19/06/2021,134.48
20/06/2021,134.2
22/06/2021,133.56
23/06/2021,133.16
26/06/2021,131.86
27/06/2021,131.36
29/06/2021,130.6
01/07/2021,129.57
03/07/2021,128.69
05/07/2021,127.67
07/07/2021,126.69
08/07/2021,126.31
11/07/2021,124.59
13/07/2021,123.49
15/07/2021,122.34
17/07/2021,121.4
19/07/2021,120.35
21/07/2021,119.34
22/07/2021,118.89
23/07/2021,118.33
25/07/2021,117.27
27/07/2021,116.22
29/07/2021,115.23
31/07/2021,114.23
03/08/2021,112.6
04/08/2021,112.08
06/08/2021,111.18
07/08/2021,110.77
09/08/2021,109.82
11/08/2021,108.94
13/08/2021,108.07
16/08/2021,106.73
18/08/2021,105.71
19/08/2021,105.27
21/08/2021,104.41
22/08/2021,103.94
25/08/2021,102.68
27/08/2021,101.89
29/08/2021,101.05
30/08/2021,100.74
01/09/2021,99.82
03/09/2021,99.07
06/09/2021,98.02
07/09/2021,98.02
08/09/2021,97.32
11/09/2021,96.3
13/09/2021,95.53
14/09/2021,95.3
16/09/2021,95.42
19/09/2021,95.34
21/09/2021,95.25
22/09/2021,94.87
24/09/2021,94.4
25/09/2021,94.36
28/09/2021,94.33
30/09/2021,93.61
02/10/2021,92.67
04/10/2021,92.62
05/10/2021,92.21
07/10/2021,91.5
09/10/2021,90.84
11/10/2021,90.79
13/10/2021,90.14
15/10/2021,89.27
16/10/2021,89.1
18/10/2021,89.06
20/10/2021,88.38
22/10/2021,87.5
22/10/2021,87.5
23/10/2021,87.28
25/10/2021,87.22
28/10/2021,86.04
29/10/2021,85.99
31/10/2021,86.25
02/11/2021,86.27
02/11/2021,86.27
03/11/2021,86.24
05/11/2021,86.24
06/11/2021,86.15
09/11/2021,86.09
10/11/2021,86.05
12/11/2021,86.02
15/11/2021,85.94
16/11/2021,85.92
18/11/2021,85.87
19/11/2021,85.84
21/11/2021,85.8
23/11/2021,85.76
25/11/2021,85.75
28/11/2021,85.71
29/11/2021,85.65
01/12/2021,85.63
03/12/2021,85.58
04/12/2021,85.54
05/12/2021,85.51
06/12/2021,85.48
07/12/2021,85.46
08/12/2021,85.45
09/12/2021,85.45
10/12/2021,85.41
12/12/2021,85.41
14/12/2021,85.38
15/12/2021,85.35
17/12/2021,85.32
20/12/2021,85.24
22/12/2021,85.29
25/12/2021,87.17
26/12/2021,89.51
28/12/2021,90.76
30/12/2021,91.19
