Fecha,Reserva
01/01/2016,3.65
02/01/2016,3.65
03/01/2016,3.66
05/01/2016,3.65
08/01/2016,3.67
09/01/2016,2.58
12/01/2016,3.69
13/01/2016,3.69
15/01/2016,3.68
17/01/2016,3.7
19/01/2016,2.97
20/01/2016,3.79
22/01/2016,3.71
24/01/2016,3.69
26/01/2016,3.69
27/01/2016,3.66
29/01/2016,3.66
31/01/2016,3.66
02/02/2016,3.66
04/02/2016,3.66
06/02/2016,3.66
07/02/2016,3.67
10/02/2016,3.67
11/02/2016,3.68
14/02/2016,3.68
15/02/2016,3.67
16/02/2016,3.66
18/02/2016,3.66
21/02/2016,3.66
22/02/2016,3.67
24/02/2016,3.68
26/02/2016,3.68
28/02/2016,3.69
01/03/2016,3.69
03/03/2016,3.68
05/03/2016,3.68
07/03/2016,3.66
08/03/2016,3.66
09/03/2016,3.66
12/03/2016,3.66
14/03/2016,3.64
16/03/2016,3.63
17/03/2016,3.63
19/03/2016,3.63
21/03/2016,3.61
23/03/2016,3.63
25/03/2016,3.63
27/03/2016,3.61
28/03/2016,3.61
30/03/2016,3.59
01/04/2016,3.57
03/04/2016,3.55
05/04/2016,3.61
07/04/2016,3.61
08/04/2016,3.61
10/04/2016,3.62
12/04/2016,3.61
14/04/2016,3.61
16/04/2016,3.59
17/04/2016,3.58
19/04/2016,3.57
21/04/2016,3.58
23/04/2016,3.58
25/04/2016,3.56
26/04/2016,3.55
29/04/2016,3.55
30/04/2016,3.53
02/05/2016,3.52
04/05/2016,3.5
05/05/2016,3.49
08/05/2016,3.48
09/05/2016,3.49
11/05/2016,3.75
13/05/2016,3.87
15/05/2016,3.9
17/05/2016,3.9
18/05/2016,3.9
20/05/2016,3.89
22/05/2016,3.85
24/05/2016,3.84
26/05/2016,3.83
28/05/2016,3.81
30/05/2016,3.79
01/06/2016,3.78
02/06/2016,3.75
04/06/2016,3.73
06/06/2016,3.7
08/06/2016,3.68
09/06/2016,3.66
11/06/2016,3.64
13/06/2016,3.62
15/06/2016,3.6
17/06/2016,3.57
18/06/2016,3.54
21/06/2016,3.49
22/06/2016,3.49
25/06/2016,3.45
26/06/2016,3.43
27/06/2016,3.43
30/06/2016,3.4
01/07/2016,3.38
04/07/2016,3.35
05/07/2016,3.33
07/07/2016,3.31
09/07/2016,3.29
10/07/2016,3.27
12/07/2016,3.25
15/07/2016,3.22
16/07/2016,3.21
18/07/2016,3.18
20/07/2016,3.17
22/07/2016,3.14
23/07/2016,3.14
25/07/2016,3.11
28/07/2016,3.07
29/07/2016,3.07
31/07/2016,3.05
02/08/2016,3.03
04/08/2016,3.0
06/08/2016,2.99
07/08/2016,2.97
09/08/2016,2.94
10/08/2016,2.94
12/08/2016,2.91
14/08/2016,2.89
16/08/2016,2.88
18/08/2016,2.85
20/08/2016,2.84
22/08/2016,2.82
24/08/2016,2.8
25/08/2016,2.78
27/08/2016,2.77
29/08/2016,2.75
31/08/2016,2.74
01/09/2016,2.72
03/09/2016,2.71
05/09/2016,2.69
07/09/2016,2.67
09/09/2016,2.65
11/09/2016,2.63
12/09/2016,2.63
14/09/2016,2.6
17/09/2016,2.57
18/09/2016,2.55
20/09/2016,2.54
22/09/2016,2.52
24/09/2016,2.5
25/09/2016,2.5
28/09/2016,2.46
30/09/2016,2.45
01/10/2016,4.98
03/10/2016,4.97
04/10/2016,4.97
07/10/2016,4.97
09/10/2016,5.46
11/10/2016,4.9
12/10/2016,4.9
14/10/2016,4.91
15/10/2016,4.9
17/10/2016,4.9
19/10/2016,4.89
22/10/2016,4.89
23/10/2016,4.88
25/10/2016,4.87
26/10/2016,4.86
28/10/2016,4.86
31/10/2016,4.84
01/11/2016,4.84
04/11/2016,4.84
05/11/2016,4.83
06/11/2016,4.83
09/11/2016,4.8
11/11/2016,4.82
13/11/2016,4.82
15/11/2016,4.8
16/11/2016,4.8
17/11/2016,4.79
19/11/2016,4.78
22/11/2016,4.82
23/11/2016,8.52
25/11/2016,9.75
27/11/2016,10.27
29/11/2016,5.55
01/12/2016,5.65
02/12/2016,5.43
05/12/2016,5.72
06/12/2016,5.79
08/12/2016,5.84
09/12/2016,5.88
12/12/2016,5.9
14/12/2016,5.94
16/12/2016,6.05
17/12/2016,6.1
19/12/2016,7.88
21/12/2016,7.95
23/12/2016,7.95
24/12/2016,7.98
26/12/2016,7.96
29/12/2016,8.03
30/12/2016,8.0
