Fecha,Reserva
01/01/2020,37.45
02/01/2020,37.47
03/01/2020,37.5
05/01/2020,37.55
08/01/2020,37.59
10/01/2020,37.63
11/01/2020,37.63
13/01/2020,37.63
15/01/2020,37.64
17/01/2020,37.64
18/01/2020,37.64
21/01/2020,37.72
23/01/2020,37.81
24/01/2020,37.84
25/01/2020,37.86
27/01/2020,38.0
30/01/2020,38.08
01/02/2020,38.1
03/02/2020,38.12
04/02/2020,38.24
05/02/2020,38.36
07/02/2020,38.63
10/02/2020,38.98
11/02/2020,39.05
13/02/2020,39.07
15/02/2020,39.07
17/02/2020,39.04
19/02/2020,39.27
20/02/2020,39.35
23/02/2020,39.69
24/02/2020,39.76
26/02/2020,39.96
27/02/2020,40.06
01/03/2020,39.97
02/03/2020,39.93
05/03/2020,40.13
07/03/2020,40.3
08/03/2020,40.35
10/03/2020,40.5
11/03/2020,40.55
13/03/2020,40.74
15/03/2020,40.83
17/03/2020,40.94
19/03/2020,41.12
21/03/2020,41.26
22/03/2020,41.39
25/03/2020,41.72
27/03/2020,41.92
28/03/2020,42.05
30/03/2020,42.22
31/03/2020,42.34
03/04/2020,42.82
04/04/2020,42.97
07/04/2020,43.31
08/04/2020,43.46
10/04/2020,43.72
12/04/2020,43.95
14/04/2020,44.22
16/04/2020,44.46
17/04/2020,44.6
19/04/2020,44.82
21/04/2020,45.08
23/04/2020,45.33
25/04/2020,45.57
27/04/2020,45.86
29/04/2020,46.17
30/04/2020,46.27
02/05/2020,46.51
04/05/2020,46.71
05/05/2020,46.82
08/05/2020,47.12
10/05/2020,47.27
12/05/2020,47.48
13/05/2020,47.68
14/05/2020,47.83
16/05/2020,48.08
18/05/2020,48.33
20/05/2020,48.55
22/05/2020,48.7
24/05/2020,48.8
25/05/2020,48.85
28/05/2020,49.04
30/05/2020,49.13
01/06/2020,49.23
02/06/2020,49.28
04/06/2020,49.38
06/06/2020,49.49
08/06/2020,49.58
10/06/2020,49.62
11/06/2020,49.58
13/06/2020,49.48
15/06/2020,49.34
17/06/2020,49.2
18/06/2020,49.12
20/06/2020,48.99
23/06/2020,48.77
24/06/2020,48.67
26/06/2020,48.55
27/06/2020,48.43
29/06/2020,48.26
01/07/2020,48.12
03/07/2020,47.92
06/07/2020,47.68
07/07/2020,47.58
09/07/2020,47.39
10/07/2020,47.29
13/07/2020,47.07
14/07/2020,46.96
16/07/2020,46.81
18/07/2020,46.63
20/07/2020,46.44
21/07/2020,46.38
24/07/2020,46.12
26/07/2020,45.9
28/07/2020,45.76
29/07/2020,45.65
30/07/2020,45.58
01/08/2020,45.43
03/08/2020,45.2
05/08/2020,45.05
07/08/2020,44.84
09/08/2020,44.68
10/08/2020,44.6
13/08/2020,44.32
15/08/2020,44.16
17/08/2020,43.93
18/08/2020,43.85
20/08/2020,43.68
22/08/2020,43.52
23/08/2020,43.39
25/08/2020,43.22
28/08/2020,42.99
29/08/2020,42.92
31/08/2020,42.7
02/09/2020,42.56
03/09/2020,42.49
05/09/2020,42.29
07/09/2020,42.17
09/09/2020,42.01
11/09/2020,41.85
12/09/2020,41.78
14/09/2020,41.62
17/09/2020,41.4
18/09/2020,41.34
20/09/2020,41.36
22/09/2020,41.29
24/09/2020,41.21
25/09/2020,41.16
28/09/2020,40.9
29/09/2020,40.85
01/10/2020,40.75
03/10/2020,40.61
04/10/2020,40.55
06/10/2020,40.4
08/10/2020,40.31
10/10/2020,40.15
12/10/2020,40.04
14/10/2020,39.91
16/10/2020,39.76
18/10/2020,39.65
19/10/2020,39.56
22/10/2020,39.41
23/10/2020,39.39
25/10/2020,39.32
27/10/2020,39.23
28/10/2020,39.2
30/10/2020,39.09
01/11/2020,39.01
03/11/2020,38.85
05/11/2020,38.81
06/11/2020,38.79
08/11/2020,38.81
11/11/2020,38.77
12/11/2020,38.75
15/11/2020,38.67
16/11/2020,38.65
17/11/2020,38.6
19/11/2020,38.51
21/11/2020,38.43
23/11/2020,38.38
26/11/2020,38.28
27/11/2020,38.45
28/11/2020,38.47
30/11/2020,38.47
03/12/2020,38.47
05/12/2020,38.43
06/12/2020,38.43
08/12/2020,38.41
10/12/2020,38.43
11/12/2020,38.51
13/12/2020,39.0
16/12/2020,39.23
17/12/2020,39.28
19/12/2020,39.34
21/12/2020,39.42
23/12/2020,39.48
25/12/2020,39.52
27/12/2020,39.53
28/12/2020,39.56
30/12/2020,39.56
