Fecha,Reserva
2012-01-01,34.54
2012-01-02,34.39
2012-01-03,34.4
2012-01-04,34.42
2012-01-05,34.46
2012-01-06,34.49
2012-01-07,30.38
2012-01-08,30.9
2012-01-09,31.42
2012-01-10,31.18
2012-01-11,31.18
2012-01-12,30.94
2012-01-13,30.56
2012-01-14,30.29
2012-01-15,30.42
2012-01-16,30.56
2012-01-17,30.47
2012-01-18,30.38
2012-01-19,30.38
2012-01-20,30.38
2012-01-21,30.41
2012-01-22,30.41
2012-01-23,30.44
2012-01-24,30.44
2012-01-25,30.47
2012-01-26,30.48
2012-01-27,30.5
2012-01-28,30.5
2012-01-29,30.5
2012-01-30,30.5
2012-01-31,30.52
2012-02-01,30.53
2012-02-02,30.47
2012-02-03,30.41
2012-02-04,30.29
2012-02-05,30.28
2012-02-06,30.26
2012-02-07,30.19
2012-02-08,30.12
2012-02-09,30.03
2012-02-10,29.94
2012-02-11,29.86
2012-02-12,29.83
2012-02-13,29.83
2012-02-14,29.8
2012-02-15,29.65
2012-02-16,29.57
2012-02-17,29.56
2012-02-18,29.54
2012-02-19,29.38
2012-02-20,29.38
2012-02-21,29.23
2012-02-22,29.14
2012-02-23,29.14
2012-02-24,29.14
2012-02-25,29.02
2012-02-26,28.91
2012-02-27,28.9
2012-02-28,28.88
2012-02-29,28.89
2012-03-01,28.9
2012-03-02,28.8
2012-03-03,28.74
2012-03-04,28.74
2012-03-05,28.69
2012-03-06,28.55
2012-03-07,28.55
2012-03-08,28.55
2012-03-09,28.54
2012-03-10,28.52
2012-03-11,28.41
2012-03-12,28.41
2012-03-13,28.41
2012-03-14,28.38
2012-03-15,28.35
2012-03-16,28.38
2012-03-17,28.38
2012-03-18,28.41
2012-03-19,28.41
2012-03-20,28.38
2012-03-21,28.35
2012-03-22,28.35
2012-03-23,28.3
2012-03-24,28.24
2012-03-25,28.22
2012-03-26,28.22
2012-03-27,28.21
2012-03-28,28.02
2012-03-29,28.0
2012-03-30,27.99
2012-03-31,27.98
2012-04-01,27.97
2012-04-02,27.99
2012-04-03,27.72
2012-04-04,27.45
2012-04-05,27.14
2012-04-06,26.83
2012-04-07,26.63
2012-04-08,26.63
2012-04-09,26.43
2012-04-10,26.06
2012-04-11,25.75
2012-04-12,25.36
2012-04-13,24.96
2012-04-14,24.64
2012-04-15,24.64
2012-04-16,24.31
2012-04-17,23.94
2012-04-18,23.68
2012-04-19,23.68
2012-04-20,23.43
2012-04-21,22.89
2012-04-22,22.58
2012-04-23,22.26
2012-04-24,21.88
2012-04-25,21.51
2012-04-26,21.17
2012-04-27,20.9
2012-04-28,20.62
2012-04-29,20.32
2012-04-30,20.32
2012-05-01,20.02
2012-05-02,19.94
2012-05-03,19.97
2012-05-04,20.0
2012-05-05,20.0
2012-05-06,20.0
2012-05-07,20.0
2012-05-08,20.06
2012-05-09,20.13
2012-05-10,20.13
2012-05-11,20.13
2012-05-12,20.13
2012-05-13,20.13
2012-05-14,20.15
2012-05-15,20.1
2012-05-16,20.06
2012-05-17,20.05
2012-05-18,20.04
2012-05-19,20.05
2012-05-20,20.05
2012-05-21,20.06
2012-05-22,20.04
2012-05-23,20.02
2012-05-24,20.0
2012-05-25,20.0
2012-05-26,19.98
2012-05-27,19.98
2012-05-28,19.96
2012-05-29,19.93
2012-05-30,19.9
2012-05-31,19.66
2012-06-01,19.64
2012-06-02,19.62
2012-06-03,19.62
2012-06-04,19.62
2012-06-05,19.62
2012-06-06,19.62
2012-06-07,19.62
2012-06-08,19.62
2012-06-09,19.61
2012-06-10,19.6
2012-06-11,19.58
2012-06-12,19.56
2012-06-13,19.56
2012-06-14,19.54
2012-06-15,19.52
2012-06-16,19.52
2012-06-17,19.52
2012-06-18,19.52
2012-06-19,19.48
2012-06-20,19.43
2012-06-21,19.4
2012-06-22,19.4
2012-06-23,19.37
2012-06-24,19.37
2012-06-25,19.36
2012-06-26,19.35
2012-06-27,19.33
2012-06-28,19.31
2012-06-29,19.29
2012-06-30,19.27
2012-07-01,19.26
2012-07-02,19.25
2012-07-03,19.21
2012-07-04,19.2
2012-07-05,19.19
2012-07-06,19.17
2012-07-07,19.15
2012-07-08,19.13
2012-07-09,19.11
2012-07-10,19.11
2012-07-11,19.08
2012-07-12,19.06
2012-07-13,19.03
2012-07-14,19.03
2012-07-15,19.0
2012-07-16,18.98
2012-07-17,18.97
2012-07-18,18.96
2012-07-19,18.94
2012-07-20,18.92
2012-07-21,18.9
2012-07-22,18.88
2012-07-23,18.86
2012-07-24,18.85
2012-07-25,18.85
2012-07-26,18.84
2012-07-27,18.67
2012-07-28,18.65
2012-07-29,18.62
2012-07-30,18.6
2012-07-31,18.58
2012-08-01,18.56
2012-08-02,18.54
2012-08-03,18.52
2012-08-04,18.5
2012-08-05,18.48
2012-08-06,18.46
2012-08-07,18.46
2012-08-08,18.45
2012-08-09,18.44
2012-08-10,18.42
2012-08-11,18.4
2012-08-12,18.38
2012-08-13,18.36
2012-08-14,18.34
2012-08-15,18.33
2012-08-16,18.33
2012-08-17,18.32
2012-08-18,18.26
2012-08-19,18.23
2012-08-20,18.2
2012-08-21,18.1
2012-08-22,18.07
2012-08-23,18.07
2012-08-24,18.04
2012-08-25,18.04
2012-08-26,18.02
2012-08-27,18.02
2012-08-28,18.01
2012-08-29,17.99
2012-08-30,17.97
2012-08-31,17.95
2012-09-01,17.95
2012-09-02,17.93
2012-09-03,17.91
2012-09-04,17.89
2012-09-05,17.89
2012-09-06,17.87
2012-09-07,17.87
2012-09-08,17.85
2012-09-09,17.85
2012-09-10,17.83
2012-09-11,17.83
2012-09-12,17.81
2012-09-13,17.79
2012-09-14,17.77
2012-09-15,17.75
2012-09-16,17.74
2012-09-17,17.73
2012-09-18,17.73
2012-09-19,17.73
2012-09-20,17.72
2012-09-21,17.71
2012-09-22,17.39
2012-09-23,17.37
2012-09-24,17.38
2012-09-25,17.38
2012-09-26,17.39
2012-09-27,17.41
2012-09-28,17.43
2012-09-29,17.41
2012-09-30,17.41
2012-10-01,17.41
2012-10-02,17.39
2012-10-03,17.37
2012-10-04,17.37
2012-10-05,17.35
2012-10-06,17.35
2012-10-07,17.33
2012-10-08,17.32
2012-10-09,17.31
2012-10-10,17.31
2012-10-11,17.31
2012-10-12,17.29
2012-10-13,17.29
2012-10-14,17.29
2012-10-15,17.28
2012-10-16,17.28
2012-10-17,17.27
2012-10-18,17.26
2012-10-19,17.39
2012-10-20,17.45
2012-10-21,17.45
2012-10-22,17.52
2012-10-23,17.52
2012-10-24,17.52
2012-10-25,17.56
2012-10-26,17.84
2012-10-27,18.12
2012-10-28,18.17
2012-10-29,18.22
2012-10-30,17.41
2012-10-31,17.87
2012-11-01,18.32
2012-11-02,18.39
2012-11-03,18.46
2012-11-04,19.41
2012-11-05,20.36
2012-11-06,20.36
2012-11-07,22.16
2012-11-08,22.16
2012-11-09,23.97
2012-11-10,24.76
2012-11-11,25.01
2012-11-12,25.26
2012-11-13,25.39
2012-11-14,25.39
2012-11-15,25.52
2012-11-16,25.57
2012-11-17,26.64
2012-11-18,31.28
2012-11-19,35.93
2012-11-20,35.93
2012-11-21,35.93
2012-11-22,36.34
2012-11-23,36.74
2012-11-24,36.92
2012-11-25,37.09
2012-11-26,37.22
2012-11-27,37.36
2012-11-28,37.47
