Fecha,Reserva
01/01/2021,16.42
02/01/2021,16.42
04/01/2021,16.42
05/01/2021,16.44
08/01/2021,16.46
09/01/2021,16.64
11/01/2021,16.81
14/01/2021,16.92
16/01/2021,16.96
17/01/2021,16.97
19/01/2021,16.97
20/01/2021,16.99
23/01/2021,17.95
24/01/2021,18.18
26/01/2021,18.5
28/01/2021,18.72
30/01/2021,18.88
01/02/2021,19.0
03/02/2021,19.11
05/02/2021,19.19
07/02/2021,58.99
08/02/2021,21.0
11/02/2021,24.29
13/02/2021,25.6
14/02/2021,25.93
16/02/2021,26.4
17/02/2021,26.56
20/02/2021,26.88
21/02/2021,26.99
23/02/2021,27.56
25/02/2021,27.8
27/02/2021,27.97
02/03/2021,28.13
04/03/2021,28.19
05/03/2021,28.24
07/03/2021,28.44
09/03/2021,28.72
10/03/2021,28.8
12/03/2021,28.86
15/03/2021,28.91
16/03/2021,28.91
18/03/2021,28.91
20/03/2021,28.91
22/03/2021,28.91
23/03/2021,28.88
25/03/2021,28.88
27/03/2021,28.86
30/03/2021,28.8
01/04/2021,28.77
02/04/2021,28.77
04/04/2021,28.77
06/04/2021,28.72
08/04/2021,28.69
10/04/2021,28.69
12/04/2021,28.66
14/04/2021,28.6
16/04/2021,28.63
17/04/2021,28.63
19/04/2021,28.6
21/04/2021,28.6
23/04/2021,28.55
25/04/2021,28.52
26/04/2021,28.52
28/04/2021,29.63
30/04/2021,29.89
02/05/2021,29.97
04/05/2021,29.97
06/05/2021,29.91
07/05/2021,29.89
09/05/2021,29.86
11/05/2021,29.94
14/05/2021,29.89
15/05/2021,29.86
18/05/2021,29.77
19/05/2021,29.75
21/05/2021,29.69
22/05/2021,29.68
25/05/2021,29.6
27/05/2021,29.51
28/05/2021,29.54
30/05/2021,29.45
02/06/2021,29.4
03/06/2021,29.37
05/06/2021,29.31
06/06/2021,29.31
08/06/2021,29.23
10/06/2021,29.14
12/06/2021,29.11
14/06/2021,29.06
17/06/2021,28.97
18/06/2021,28.97
20/06/2021,28.91
22/06/2021,28.86
24/06/2021,28.77
26/06/2021,28.72
27/06/2021,28.69
30/06/2021,28.6
01/07/2021,28.58
04/07/2021,28.49
06/07/2021,28.44
07/07/2021,28.39
08/07/2021,28.33
11/07/2021,28.21
12/07/2021,28.22
14/07/2021,28.13
17/07/2021,28.05
18/07/2021,28.05
20/07/2021,27.97
22/07/2021,27.94
24/07/2021,27.88
25/07/2021,27.86
28/07/2021,27.77
29/07/2021,27.75
31/07/2021,27.69
02/08/2021,27.61
05/08/2021,27.53
06/08/2021,27.53
07/08/2021,27.47
10/08/2021,27.39
11/08/2021,27.37
14/08/2021,27.04
16/08/2021,26.7
18/08/2021,26.59
20/08/2021,26.09
21/08/2021,26.06
22/08/2021,26.01
25/08/2021,25.96
26/08/2021,25.93
28/08/2021,25.62
30/08/2021,25.52
02/09/2021,24.89
04/09/2021,24.09
06/09/2021,23.82
07/09/2021,23.82
09/09/2021,23.24
11/09/2021,22.4
13/09/2021,21.75
15/09/2021,21.0
16/09/2021,20.93
18/09/2021,20.89
20/09/2021,20.82
22/09/2021,20.78
23/09/2021,20.75
25/09/2021,20.89
28/09/2021,20.82
29/09/2021,20.82
02/10/2021,20.75
04/10/2021,20.78
05/10/2021,20.75
07/10/2021,20.71
09/10/2021,20.67
10/10/2021,20.65
12/10/2021,20.65
14/10/2021,20.6
16/10/2021,20.58
18/10/2021,20.58
20/10/2021,20.54
22/10/2021,20.52
22/10/2021,20.52
23/10/2021,20.52
26/10/2021,20.45
27/10/2021,20.41
29/10/2021,20.45
31/10/2021,20.54
02/11/2021,20.56
02/11/2021,20.56
03/11/2021,20.56
04/11/2021,20.32
06/11/2021,20.26
09/11/2021,20.21
11/11/2021,20.19
13/11/2021,20.16
15/11/2021,20.14
16/11/2021,20.12
18/11/2021,20.09
20/11/2021,20.06
22/11/2021,20.06
24/11/2021,20.03
26/11/2021,20.01
28/11/2021,19.99
30/11/2021,19.95
02/12/2021,19.91
03/12/2021,19.88
04/12/2021,19.85
05/12/2021,19.83
06/12/2021,19.81
07/12/2021,19.78
08/12/2021,19.77
09/12/2021,19.74
10/12/2021,19.72
12/12/2021,19.68
13/12/2021,19.66
15/12/2021,19.6
17/12/2021,19.56
20/12/2021,19.48
22/12/2021,19.54
23/12/2021,19.74
26/12/2021,22.95
28/12/2021,23.35
30/12/2021,23.49
