Fecha,Reserva
2012-01-01,49.23
2012-01-02,49.22
2012-01-03,49.22
2012-01-04,49.23
2012-01-05,49.26
2012-01-06,49.28
2012-01-07,48.99
2012-01-08,49.05
2012-01-09,49.11
2012-01-10,49.1
2012-01-11,49.1
2012-01-12,49.08
2012-01-13,49.06
2012-01-14,49.03
2012-01-15,48.99
2012-01-16,49.06
2012-01-17,49.03
2012-01-18,48.99
2012-01-19,49.0
2012-01-20,49.0
2012-01-21,49.01
2012-01-22,48.99
2012-01-23,48.99
2012-01-24,48.99
2012-01-25,48.98
2012-01-26,48.97
2012-01-27,48.97
2012-01-28,48.97
2012-01-29,48.93
2012-01-30,48.93
2012-01-31,48.93
2012-02-01,48.93
2012-02-02,48.92
2012-02-03,48.86
2012-02-04,48.81
2012-02-05,48.76
2012-02-06,48.72
2012-02-07,48.64
2012-02-08,48.53
2012-02-09,48.53
2012-02-10,48.42
2012-02-11,48.34
2012-02-12,48.23
2012-02-13,48.23
2012-02-14,48.12
2012-02-15,48.06
2012-02-16,47.98
2012-02-17,47.88
2012-02-18,47.88
2012-02-19,47.79
2012-02-20,47.71
2012-02-21,47.62
2012-02-22,47.62
2012-02-23,47.52
2012-02-24,47.42
2012-02-25,47.33
2012-02-26,47.25
2012-02-27,47.21
2012-02-28,47.17
2012-02-29,47.17
2012-03-01,47.17
2012-03-02,46.95
2012-03-03,46.86
2012-03-04,46.78
2012-03-05,46.69
2012-03-06,46.69
2012-03-07,46.6
2012-03-08,46.51
2012-03-09,46.45
2012-03-10,46.34
2012-03-11,46.24
2012-03-12,46.17
2012-03-13,46.17
2012-03-14,46.1
2012-03-15,46.01
2012-03-16,45.92
2012-03-17,45.82
2012-03-18,45.73
2012-03-19,45.65
2012-03-20,45.59
2012-03-21,45.46
2012-03-22,45.46
2012-03-23,45.33
2012-03-24,45.28
2012-03-25,45.2
2012-03-26,45.11
2012-03-27,45.04
2012-03-28,44.98
2012-03-29,44.86
2012-03-30,44.75
2012-03-31,44.69
2012-04-01,44.58
2012-04-02,44.58
2012-04-03,44.48
2012-04-04,44.43
2012-04-05,44.38
2012-04-06,44.32
2012-04-07,44.25
2012-04-08,44.2
2012-04-09,44.15
2012-04-10,44.14
2012-04-11,44.07
2012-04-12,44.0
2012-04-13,44.0
2012-04-14,43.92
2012-04-15,43.96
2012-04-16,44.0
2012-04-17,43.98
2012-04-18,43.97
2012-04-19,43.97
2012-04-20,43.97
2012-04-21,43.99
2012-04-22,44.01
2012-04-23,44.04
2012-04-24,44.08
2012-04-25,44.16
2012-04-26,44.16
2012-04-27,44.25
2012-04-28,44.31
2012-04-29,44.44
2012-04-30,44.58
2012-05-01,44.65
2012-05-02,44.72
2012-05-03,44.79
2012-05-04,44.86
2012-05-05,44.86
2012-05-06,44.86
2012-05-07,44.86
2012-05-08,45.11
2012-05-09,45.37
2012-05-10,45.51
2012-05-11,45.65
2012-05-12,45.84
2012-05-13,46.04
2012-05-14,46.28
2012-05-15,46.53
2012-05-16,46.74
2012-05-17,46.86
2012-05-18,46.98
2012-05-19,47.04
2012-05-20,47.1
2012-05-21,47.13
2012-05-22,47.16
2012-05-23,47.18
2012-05-24,47.2
2012-05-25,47.22
2012-05-26,47.19
2012-05-27,47.16
2012-05-28,47.14
2012-05-29,47.14
2012-05-30,47.12
2012-05-31,47.06
2012-06-01,46.99
2012-06-02,46.85
2012-06-03,46.73
2012-06-04,46.61
2012-06-05,46.5
2012-06-06,46.26
2012-06-07,46.26
2012-06-08,46.03
2012-06-09,45.86
2012-06-10,45.68
2012-06-11,45.54
2012-06-12,45.16
2012-06-13,45.16
2012-06-14,44.79
2012-06-15,44.64
2012-06-16,44.64
2012-06-17,44.64
2012-06-18,44.64
2012-06-19,44.06
2012-06-20,43.47
2012-06-21,43.24
2012-06-22,43.01
2012-06-23,42.65
2012-06-24,42.65
2012-06-25,42.29
2012-06-26,42.07
2012-06-27,41.73
2012-06-28,41.34
2012-06-29,41.34
2012-06-30,40.96
2012-07-01,40.59
2012-07-02,40.18
2012-07-03,40.18
2012-07-04,39.78
2012-07-05,39.47
2012-07-06,39.15
2012-07-07,38.86
2012-07-08,38.66
2012-07-09,38.47
2012-07-10,38.0
2012-07-11,37.7
2012-07-12,37.39
2012-07-13,36.94
2012-07-14,36.94
2012-07-15,36.49
2012-07-16,36.18
2012-07-17,35.87
2012-07-18,35.57
2012-07-19,35.28
2012-07-20,34.98
2012-07-21,34.68
2012-07-22,34.39
2012-07-23,34.09
2012-07-24,33.62
2012-07-25,33.62
2012-07-26,33.16
2012-07-27,32.88
2012-07-28,32.61
2012-07-29,32.2
2012-07-30,31.94
2012-07-31,31.68
2012-08-01,31.34
2012-08-02,30.88
2012-08-03,30.88
2012-08-04,30.42
2012-08-05,30.14
2012-08-06,29.85
2012-08-07,29.52
2012-08-08,29.22
2012-08-09,28.92
2012-08-10,28.62
2012-08-11,28.33
2012-08-12,28.02
2012-08-13,27.7
2012-08-14,27.38
2012-08-15,27.05
2012-08-16,26.75
2012-08-17,26.48
2012-08-18,26.22
2012-08-19,25.98
2012-08-20,25.73
2012-08-21,25.48
2012-08-22,25.24
2012-08-23,24.96
2012-08-24,24.7
2012-08-25,24.45
2012-08-26,24.2
2012-08-27,23.95
2012-08-28,23.55
2012-08-29,23.55
2012-08-30,23.15
2012-08-31,22.89
2012-09-01,22.65
2012-09-02,22.33
2012-09-03,22.33
2012-09-04,22.01
2012-09-05,21.8
2012-09-06,21.6
2012-09-07,21.41
2012-09-08,21.22
2012-09-09,21.0
2012-09-10,20.78
2012-09-11,20.6
2012-09-12,20.37
2012-09-13,20.18
2012-09-14,19.99
2012-09-15,19.75
2012-09-16,19.75
2012-09-17,19.51
2012-09-18,19.4
2012-09-19,19.35
2012-09-20,19.31
2012-09-21,19.3
2012-09-22,19.29
2012-09-23,19.29
2012-09-24,19.29
2012-09-25,19.27
2012-09-26,19.26
2012-09-27,19.29
2012-09-28,19.32
2012-09-29,19.46
2012-09-30,19.6
2012-10-01,19.65
2012-10-02,19.7
2012-10-03,19.75
2012-10-04,19.82
2012-10-05,19.86
2012-10-06,19.86
2012-10-07,19.89
2012-10-08,19.93
2012-10-09,19.94
2012-10-10,19.96
2012-10-11,19.97
2012-10-12,19.98
2012-10-13,20.0
2012-10-14,20.02
2012-10-15,20.04
2012-10-16,20.05
2012-10-17,20.12
