Fecha,Reserva
01/01/2021,48.18
02/01/2021,48.18
03/01/2021,48.18
06/01/2021,48.18
07/01/2021,48.18
09/01/2021,48.26
12/01/2021,48.27
14/01/2021,48.29
15/01/2021,48.28
17/01/2021,48.83
18/01/2021,48.82
20/01/2021,48.82
22/01/2021,48.85
24/01/2021,48.98
27/01/2021,49.71
29/01/2021,50.07
30/01/2021,50.19
01/02/2021,50.43
02/02/2021,50.55
05/02/2021,50.8
07/02/2021,20.36
08/02/2021,51.03
10/02/2021,51.23
12/02/2021,52.15
14/02/2021,52.68
16/02/2021,53.06
18/02/2021,53.34
20/02/2021,53.58
22/02/2021,53.8
24/02/2021,53.97
26/02/2021,54.13
27/02/2021,54.17
01/03/2021,54.3
04/03/2021,54.5
05/03/2021,54.53
07/03/2021,54.61
09/03/2021,54.74
11/03/2021,54.8
13/03/2021,54.89
14/03/2021,54.9
16/03/2021,55.01
19/03/2021,55.13
20/03/2021,55.23
22/03/2021,55.38
24/03/2021,55.43
26/03/2021,55.58
27/03/2021,55.6
30/03/2021,55.6
01/04/2021,55.72
02/04/2021,55.8
04/04/2021,55.98
06/04/2021,56.13
07/04/2021,56.18
09/04/2021,56.32
12/04/2021,56.65
14/04/2021,56.85
15/04/2021,56.98
17/04/2021,57.35
19/04/2021,57.57
20/04/2021,57.66
23/04/2021,57.89
25/04/2021,58.12
26/04/2021,58.42
28/04/2021,58.94
01/05/2021,59.53
03/05/2021,59.8
05/05/2021,60.0
06/05/2021,60.15
08/05/2021,60.44
10/05/2021,60.86
12/05/2021,61.22
14/05/2021,61.52
15/05/2021,61.68
18/05/2021,62.24
19/05/2021,62.39
21/05/2021,62.76
23/05/2021,63.1
24/05/2021,63.32
27/05/2021,63.73
29/05/2021,64.18
30/05/2021,64.38
01/06/2021,64.74
03/06/2021,65.03
05/06/2021,65.27
07/06/2021,65.55
09/06/2021,65.69
10/06/2021,65.76
12/06/2021,65.74
15/06/2021,65.69
16/06/2021,65.64
18/06/2021,65.53
20/06/2021,65.37
22/06/2021,65.23
23/06/2021,65.15
26/06/2021,64.85
28/06/2021,64.64
29/06/2021,64.49
02/07/2021,64.09
03/07/2021,63.9
06/07/2021,63.39
07/07/2021,63.23
08/07/2021,63.25
11/07/2021,62.75
12/07/2021,62.57
14/07/2021,62.14
16/07/2021,61.77
19/07/2021,61.11
20/07/2021,60.92
22/07/2021,60.5
23/07/2021,60.31
26/07/2021,59.58
28/07/2021,59.13
30/07/2021,58.71
31/07/2021,58.48
02/08/2021,57.99
04/08/2021,57.58
06/08/2021,57.15
08/08/2021,56.69
09/08/2021,56.47
11/08/2021,56.05
14/08/2021,55.4
16/08/2021,54.94
17/08/2021,54.7
20/08/2021,54.01
21/08/2021,53.79
23/08/2021,53.36
25/08/2021,52.91
27/08/2021,52.51
28/08/2021,52.31
30/08/2021,51.92
02/09/2021,51.39
03/09/2021,51.2
06/09/2021,50.78
07/09/2021,50.78
08/09/2021,50.57
10/09/2021,50.33
12/09/2021,50.12
14/09/2021,49.88
16/09/2021,49.68
19/09/2021,49.34
21/09/2021,49.15
22/09/2021,49.09
24/09/2021,48.95
25/09/2021,48.87
27/09/2021,48.68
29/09/2021,48.5
01/10/2021,48.29
03/10/2021,48.05
05/10/2021,47.82
07/10/2021,47.6
08/10/2021,47.5
11/10/2021,47.16
13/10/2021,46.95
14/10/2021,46.82
16/10/2021,46.63
18/10/2021,46.43
20/10/2021,46.27
22/10/2021,46.03
22/10/2021,46.03
24/10/2021,45.84
26/10/2021,45.62
27/10/2021,45.53
30/10/2021,45.24
01/11/2021,45.22
02/11/2021,45.58
02/11/2021,45.58
03/11/2021,45.72
04/11/2021,45.75
07/11/2021,45.75
09/11/2021,45.72
11/11/2021,45.65
12/11/2021,45.66
15/11/2021,45.62
16/11/2021,45.53
18/11/2021,45.43
20/11/2021,45.37
21/11/2021,45.37
23/11/2021,45.34
26/11/2021,45.21
27/11/2021,45.17
29/11/2021,45.06
01/12/2021,44.99
03/12/2021,44.95
04/12/2021,44.92
05/12/2021,44.9
06/12/2021,44.87
07/12/2021,44.85
08/12/2021,44.83
09/12/2021,44.83
10/12/2021,44.83
12/12/2021,44.79
14/12/2021,44.76
16/12/2021,44.7
17/12/2021,44.66
19/12/2021,44.62
22/12/2021,44.52
23/12/2021,44.52
26/12/2021,44.59
28/12/2021,44.63
30/12/2021,44.64
