Fecha,Reserva
01/01/2019,11.97
02/01/2019,11.99
04/01/2019,12.0
05/01/2019,11.96
07/01/2019,11.99
10/01/2019,11.96
11/01/2019,11.97
13/01/2019,11.94
14/01/2019,11.99
17/01/2019,11.95
19/01/2019,11.98
21/01/2019,11.95
22/01/2019,11.96
24/01/2019,11.96
26/01/2019,11.91
27/01/2019,11.95
30/01/2019,11.92
31/01/2019,11.93
02/02/2019,11.94
03/02/2019,11.92
05/02/2019,11.99
07/02/2019,11.99
10/02/2019,11.94
12/02/2019,11.98
13/02/2019,11.94
15/02/2019,11.98
16/02/2019,11.96
18/02/2019,11.95
20/02/2019,11.96
22/02/2019,11.9
24/02/2019,11.91
26/02/2019,11.89
28/02/2019,11.89
01/03/2019,11.88
03/03/2019,11.87
05/03/2019,11.87
06/03/2019,11.87
08/03/2019,11.86
10/03/2019,11.81
12/03/2019,11.84
14/03/2019,11.83
16/03/2019,11.81
18/03/2019,11.79
20/03/2019,11.79
21/03/2019,11.77
23/03/2019,11.75
25/03/2019,11.73
27/03/2019,11.69
28/03/2019,11.68
30/03/2019,11.63
02/04/2019,11.62
04/04/2019,11.59
06/04/2019,11.57
07/04/2019,11.57
09/04/2019,11.55
11/04/2019,11.53
12/04/2019,11.51
15/04/2019,11.48
16/04/2019,11.47
18/04/2019,11.44
20/04/2019,11.43
21/04/2019,11.43
24/04/2019,11.43
25/04/2019,11.43
28/04/2019,11.4
29/04/2019,11.4
01/05/2019,11.4
02/05/2019,11.39
04/05/2019,11.39
06/05/2019,11.38
08/05/2019,11.38
09/05/2019,11.37
11/05/2019,11.37
14/05/2019,11.35
15/05/2019,11.33
17/05/2019,11.33
19/05/2019,11.3
20/05/2019,11.3
23/05/2019,11.23
25/05/2019,11.2
27/05/2019,11.18
28/05/2019,11.16
30/05/2019,11.12
31/05/2019,11.09
02/06/2019,11.06
05/06/2019,11.03
07/06/2019,11.02
08/06/2019,11.01
10/06/2019,10.99
12/06/2019,10.98
14/06/2019,10.96
16/06/2019,10.92
18/06/2019,10.9
20/06/2019,10.88
21/06/2019,10.85
23/06/2019,10.83
25/06/2019,10.78
27/06/2019,10.76
28/06/2019,10.72
30/06/2019,10.69
02/07/2019,10.67
04/07/2019,10.62
06/07/2019,10.6
08/07/2019,10.58
09/07/2019,10.55
11/07/2019,10.52
12/07/2019,10.5
15/07/2019,10.46
16/07/2019,10.44
19/07/2019,10.4
20/07/2019,10.38
22/07/2019,10.35
23/07/2019,10.34
26/07/2019,10.29
28/07/2019,10.26
29/07/2019,10.26
01/08/2019,10.23
02/08/2019,10.23
04/08/2019,10.21
05/08/2019,10.21
08/08/2019,10.18
09/08/2019,10.16
11/08/2019,10.15
13/08/2019,10.13
15/08/2019,10.12
17/08/2019,10.1
19/08/2019,10.08
21/08/2019,10.07
22/08/2019,10.06
24/08/2019,10.04
25/08/2019,10.04
28/08/2019,10.01
30/08/2019,9.97
31/08/2019,9.96
02/09/2019,9.94
04/09/2019,9.94
06/09/2019,9.92
08/09/2019,9.9
10/09/2019,9.89
11/09/2019,9.87
13/09/2019,9.86
15/09/2019,10.97
16/09/2019,11.01
19/09/2019,10.97
21/09/2019,10.93
22/09/2019,10.92
24/09/2019,10.85
26/09/2019,10.85
27/09/2019,10.33
30/09/2019,10.33
02/10/2019,10.29
03/10/2019,10.29
05/10/2019,10.26
06/10/2019,10.29
08/10/2019,10.25
11/10/2019,10.25
13/10/2019,10.2
14/10/2019,10.23
16/10/2019,10.16
17/10/2019,10.17
20/10/2019,10.17
21/10/2019,10.13
23/10/2019,10.15
26/10/2019,10.07
27/10/2019,10.1
28/10/2019,10.08
31/10/2019,10.07
01/11/2019,10.01
04/11/2019,10.02
05/11/2019,9.99
07/11/2019,10.02
09/11/2019,9.94
10/11/2019,9.94
13/11/2019,9.91
15/11/2019,9.9
16/11/2019,9.85
18/11/2019,9.85
20/11/2019,9.81
21/11/2019,9.87
23/11/2019,9.87
25/11/2019,9.85
27/11/2019,9.84
29/11/2019,9.81
30/11/2019,9.81
02/12/2019,9.79
05/12/2019,9.78
07/12/2019,9.76
08/12/2019,9.76
09/12/2019,9.76
12/12/2019,9.74
14/12/2019,9.75
15/12/2019,9.71
18/12/2019,9.7
19/12/2019,9.71
21/12/2019,9.72
23/12/2019,9.78
25/12/2019,9.75
26/12/2019,9.77
28/12/2019,9.76
30/12/2019,9.76
