Fecha,Reserva
2012-01-01,26.48
2012-01-02,26.48
2012-01-03,26.44
2012-01-04,26.44
2012-01-05,26.44
2012-01-06,26.44
2012-01-07,26.6
2012-01-08,26.56
2012-01-09,26.52
2012-01-10,26.52
2012-01-11,26.52
2012-01-12,26.52
2012-01-13,26.52
2012-01-14,26.52
2012-01-15,26.52
2012-01-16,26.52
2012-01-17,26.58
2012-01-18,26.58
2012-01-19,26.64
2012-01-20,26.64
2012-01-21,26.64
2012-01-22,26.64
2012-01-23,26.64
2012-01-24,26.64
2012-01-25,26.64
2012-01-26,26.64
2012-01-27,26.64
2012-01-28,26.64
2012-01-29,26.64
2012-01-30,26.64
2012-01-31,26.64
2012-02-01,26.64
2012-02-02,26.64
2012-02-03,26.64
2012-02-04,26.64
2012-02-05,26.64
2012-02-06,26.64
2012-02-07,26.6
2012-02-08,26.56
2012-02-09,26.56
2012-02-10,26.56
2012-02-11,26.56
2012-02-12,26.56
2012-02-13,26.52
2012-02-14,26.52
2012-02-15,26.52
2012-02-16,26.52
2012-02-17,26.52
2012-02-18,26.52
2012-02-19,26.52
2012-02-20,26.52
2012-02-21,26.52
2012-02-22,26.48
2012-02-23,26.48
2012-02-24,26.48
2012-02-25,26.48
2012-02-26,26.44
2012-02-27,26.44
2012-02-28,26.44
2012-02-29,26.42
2012-03-01,26.4
2012-03-02,26.44
2012-03-03,26.48
2012-03-04,26.48
2012-03-05,26.48
2012-03-06,26.48
2012-03-07,26.48
2012-03-08,26.48
2012-03-09,26.48
2012-03-10,26.44
2012-03-11,26.44
2012-03-12,26.4
2012-03-13,26.4
2012-03-14,26.36
2012-03-15,26.36
2012-03-16,26.32
2012-03-17,26.4
2012-03-18,26.4
2012-03-19,26.4
2012-03-20,26.25
2012-03-21,26.23
2012-03-22,26.23
2012-03-23,26.21
2012-03-24,26.19
2012-03-25,26.17
2012-03-26,26.13
2012-03-27,26.09
2012-03-28,26.05
2012-03-29,26.01
2012-03-30,25.97
2012-03-31,25.97
2012-04-01,25.97
2012-04-02,25.97
2012-04-03,26.03
2012-04-04,26.09
2012-04-05,26.09
2012-04-06,26.09
2012-04-07,26.11
2012-04-08,26.13
2012-04-09,26.13
2012-04-10,26.13
2012-04-11,26.09
2012-04-12,26.07
2012-04-13,26.05
2012-04-14,26.05
2012-04-15,26.05
2012-04-16,26.03
2012-04-17,26.03
2012-04-18,26.01
2012-04-19,25.97
2012-04-20,25.97
2012-04-21,25.97
2012-04-22,25.97
2012-04-23,25.97
2012-04-24,25.96
2012-04-25,25.94
2012-04-26,25.9
2012-04-27,25.9
2012-04-28,25.89
2012-04-29,25.93
2012-04-30,25.93
2012-05-01,25.97
2012-05-02,25.97
2012-05-03,25.96
2012-05-04,25.94
2012-05-05,25.97
2012-05-06,25.97
2012-05-07,25.97
2012-05-08,25.97
2012-05-09,25.97
2012-05-10,25.96
2012-05-11,25.94
2012-05-12,25.9
2012-05-13,25.86
2012-05-14,25.84
2012-05-15,25.82
2012-05-16,25.76
2012-05-17,25.7
2012-05-18,25.56
2012-05-19,25.43
2012-05-20,25.43
2012-05-21,25.4
2012-05-22,25.36
2012-05-23,25.28
2012-05-24,25.2
2012-05-25,25.16
2012-05-26,25.01
2012-05-27,25.01
2012-05-28,24.86
2012-05-29,24.86
2012-05-30,24.84
2012-05-31,24.82
2012-06-01,24.72
2012-06-02,24.63
2012-06-03,24.58
2012-06-04,24.52
2012-06-05,24.52
2012-06-06,24.46
2012-06-07,24.4
2012-06-08,24.36
2012-06-09,24.33
2012-06-10,24.28
2012-06-11,24.28
2012-06-12,24.22
2012-06-13,24.14
2012-06-14,24.06
2012-06-15,23.99
2012-06-16,23.99
2012-06-17,23.99
2012-06-18,23.99
2012-06-19,23.78
2012-06-20,23.58
2012-06-21,23.47
2012-06-22,23.47
2012-06-23,23.36
2012-06-24,23.28
2012-06-25,23.2
2012-06-26,23.13
2012-06-27,23.06
2012-06-28,23.02
2012-06-29,22.99
2012-06-30,22.88
2012-07-01,22.88
2012-07-02,22.76
2012-07-03,22.52
2012-07-04,22.29
2012-07-05,22.29
