Fecha,Reserva
01/01/2016,26.95
02/01/2016,26.95
04/01/2016,26.95
05/01/2016,27.03
08/01/2016,27.11
10/01/2016,27.15
11/01/2016,27.15
13/01/2016,27.11
14/01/2016,27.11
16/01/2016,27.11
19/01/2016,27.11
21/01/2016,27.23
23/01/2016,27.23
24/01/2016,27.19
25/01/2016,27.19
28/01/2016,27.19
29/01/2016,27.23
31/01/2016,27.23
02/02/2016,27.19
04/02/2016,27.19
06/02/2016,27.19
07/02/2016,27.15
10/02/2016,27.15
11/02/2016,27.19
13/02/2016,27.47
15/02/2016,27.99
17/02/2016,28.07
19/02/2016,28.27
20/02/2016,28.27
23/02/2016,28.39
25/02/2016,28.39
26/02/2016,28.43
28/02/2016,28.55
29/02/2016,28.59
02/03/2016,28.59
04/03/2016,28.59
07/03/2016,28.59
08/03/2016,28.64
10/03/2016,28.64
11/03/2016,28.59
13/03/2016,28.59
15/03/2016,28.55
18/03/2016,28.55
19/03/2016,28.59
21/03/2016,28.55
22/03/2016,29.04
24/03/2016,29.12
27/03/2016,29.12
28/03/2016,29.12
30/03/2016,29.16
01/04/2016,29.12
03/04/2016,29.12
05/04/2016,29.49
06/04/2016,29.53
08/04/2016,29.53
10/04/2016,29.62
11/04/2016,29.66
14/04/2016,30.03
15/04/2016,30.03
18/04/2016,30.03
20/04/2016,30.11
21/04/2016,30.28
22/04/2016,30.36
24/04/2016,30.4
26/04/2016,30.34
28/04/2016,30.4
01/05/2016,30.4
02/05/2016,30.36
04/05/2016,30.36
05/05/2016,30.32
07/05/2016,30.32
10/05/2016,30.32
11/05/2016,30.36
13/05/2016,30.95
15/05/2016,31.03
17/05/2016,31.16
19/05/2016,31.2
21/05/2016,31.12
22/05/2016,31.07
24/05/2016,30.99
25/05/2016,30.91
28/05/2016,30.65
30/05/2016,30.44
31/05/2016,30.28
02/06/2016,30.07
04/06/2016,29.9
06/06/2016,29.7
08/06/2016,29.66
09/06/2016,29.53
12/06/2016,29.29
13/06/2016,29.21
15/06/2016,29.08
17/06/2016,29.08
19/06/2016,28.84
20/06/2016,28.68
22/06/2016,28.47
24/06/2016,28.19
26/06/2016,28.03
27/06/2016,27.95
29/06/2016,27.67
02/07/2016,27.35
04/07/2016,27.19
05/07/2016,27.03
07/07/2016,26.87
09/07/2016,26.64
10/07/2016,26.52
12/07/2016,26.44
14/07/2016,26.09
17/07/2016,25.74
18/07/2016,25.63
20/07/2016,25.39
22/07/2016,25.16
23/07/2016,25.86
25/07/2016,25.63
27/07/2016,24.52
29/07/2016,24.21
31/07/2016,23.99
02/08/2016,23.76
03/08/2016,23.62
06/08/2016,23.28
08/08/2016,22.99
09/08/2016,22.88
10/08/2016,22.8
12/08/2016,22.58
15/08/2016,22.25
17/08/2016,22.04
19/08/2016,21.16
20/08/2016,21.78
22/08/2016,21.64
24/08/2016,21.43
25/08/2016,21.93
27/08/2016,21.07
30/08/2016,20.75
31/08/2016,20.68
01/09/2016,20.65
03/09/2016,20.47
06/09/2016,20.15
07/09/2016,20.05
09/09/2016,19.91
11/09/2016,19.77
13/09/2016,19.67
15/09/2016,19.67
16/09/2016,19.63
18/09/2016,19.5
21/09/2016,19.39
22/09/2016,19.39
24/09/2016,19.32
26/09/2016,19.26
28/09/2016,19.19
30/09/2016,19.39
01/10/2016,19.09
03/10/2016,19.02
04/10/2016,18.95
07/10/2016,18.81
09/10/2016,18.81
11/10/2016,18.64
13/10/2016,18.81
14/10/2016,18.95
15/10/2016,18.92
18/10/2016,18.78
19/10/2016,18.75
22/10/2016,18.75
24/10/2016,18.95
25/10/2016,18.75
26/10/2016,18.75
29/10/2016,18.64
30/10/2016,18.61
01/11/2016,18.61
04/11/2016,18.54
05/11/2016,18.58
07/11/2016,18.78
09/11/2016,18.81
10/11/2016,18.78
13/11/2016,18.75
14/11/2016,18.71
16/11/2016,18.68
17/11/2016,18.68
20/11/2016,18.68
21/11/2016,18.68
24/11/2016,19.15
25/11/2016,19.15
27/11/2016,25.2
28/11/2016,28.43
30/11/2016,28.64
03/12/2016,28.59
05/12/2016,30.24
06/12/2016,33.65
08/12/2016,33.91
09/12/2016,33.91
11/12/2016,34.09
13/12/2016,34.13
16/12/2016,34.31
17/12/2016,34.71
19/12/2016,34.84
20/12/2016,34.89
22/12/2016,34.93
24/12/2016,34.93
27/12/2016,34.93
28/12/2016,34.89
30/12/2016,34.89
