Fecha,Reserva
2012-01-01,218.62
2012-01-02,219.35
2012-01-03,218.24
2012-01-04,217.47
2012-01-05,217.47
2012-01-06,216.7
2012-01-07,207.63
2012-01-08,209.81
2012-01-09,211.99
2012-01-10,210.78
2012-01-11,209.57
2012-01-12,209.38
2012-01-13,209.2
2012-01-14,208.83
2012-01-15,208.47
2012-01-16,209.2
2012-01-17,208.42
2012-01-18,207.63
2012-01-19,207.38
2012-01-20,207.38
2012-01-21,207.14
2012-01-22,206.54
2012-01-23,205.93
2012-01-24,205.93
2012-01-25,205.44
2012-01-26,205.26
2012-01-27,205.26
2012-01-28,205.08
2012-01-29,204.3
2012-01-30,203.51
2012-01-31,213.2
2012-02-01,212.99
2012-02-02,212.78
2012-02-03,207.54
2012-02-04,202.31
2012-02-05,201.62
2012-02-06,200.93
2012-02-07,200.7
2012-02-08,207.68
2012-02-09,207.68
2012-02-10,214.66
2012-02-11,219.33
2012-02-12,224.0
2012-02-13,225.92
2012-02-14,225.54
2012-02-15,225.15
2012-02-16,224.9
2012-02-17,224.84
2012-02-18,224.84
2012-02-19,224.77
2012-02-20,223.1
2012-02-21,222.84
2012-02-22,222.59
2012-02-23,222.27
2012-02-24,222.27
2012-02-25,221.95
2012-02-26,221.31
2012-02-27,221.76
2012-02-28,222.21
2012-02-29,220.03
2012-03-01,219.58
2012-03-02,219.58
2012-03-03,219.14
2012-03-04,218.5
2012-03-05,217.86
2012-03-06,217.54
2012-03-07,217.22
2012-03-08,217.22
2012-03-09,216.82
2012-03-10,216.42
2012-03-11,215.62
2012-03-12,214.83
2012-03-13,214.53
2012-03-14,214.17
2012-03-15,214.17
2012-03-16,213.81
2012-03-17,213.61
2012-03-18,212.82
2012-03-19,212.04
2012-03-20,211.77
2012-03-21,211.5
2012-03-22,211.5
2012-03-23,211.22
2012-03-24,210.95
2012-03-25,210.16
2012-03-26,209.37
2012-03-27,208.8
2012-03-28,208.8
2012-03-29,208.23
2012-03-30,208.28
2012-03-31,208.0
2012-04-01,207.45
2012-04-02,206.9
2012-04-03,206.9
2012-04-04,206.9
2012-04-05,206.9
2012-04-06,206.17
2012-04-07,205.44
2012-04-08,204.78
2012-04-09,204.11
2012-04-10,203.63
2012-04-11,208.11
2012-04-12,215.19
2012-04-13,215.19
2012-04-14,222.27
2012-04-15,225.34
2012-04-16,228.4
2012-04-17,227.61
2012-04-18,226.82
2012-04-19,226.38
2012-04-20,225.95
2012-04-21,224.51
2012-04-22,223.62
2012-04-23,222.78
2012-04-24,221.95
2012-04-25,221.18
2012-04-26,220.42
2012-04-27,219.26
2012-04-28,219.26
2012-04-29,218.11
2012-04-30,217.34
2012-05-01,221.56
2012-05-02,225.79
2012-05-03,230.83
2012-05-04,237.52
2012-05-05,237.52
2012-05-06,244.22
2012-05-07,248.77
2012-05-08,247.98
2012-05-09,247.98
2012-05-10,247.2
2012-05-11,246.35
2012-05-12,245.56
2012-05-13,244.77
2012-05-14,244.0
2012-05-15,243.22
2012-05-16,242.37
2012-05-17,241.52
2012-05-18,240.7
2012-05-19,239.87
2012-05-20,240.68
2012-05-21,239.06
2012-05-22,237.44
2012-05-23,236.56
2012-05-24,235.69
2012-05-25,234.74
2012-05-26,233.9
2012-05-27,233.06
2012-05-28,232.24
2012-05-29,231.41
2012-05-30,230.04
2012-05-31,230.04
2012-06-01,228.67
2012-06-02,228.4
2012-06-03,227.54
2012-06-04,226.69
2012-06-05,226.37
2012-06-06,226.05
2012-06-07,225.54
2012-06-08,225.26
2012-06-09,224.97
2012-06-10,224.1
2012-06-11,223.23
2012-06-12,222.72
2012-06-13,222.21
2012-06-14,221.89
2012-06-15,221.57
2012-06-16,221.57
2012-06-17,221.57
2012-06-18,221.57
2012-06-19,220.1
2012-06-20,218.62
2012-06-21,218.24
2012-06-22,218.24
2012-06-23,217.87
2012-06-24,216.96
2012-06-25,216.06
2012-06-26,215.55
2012-06-27,215.17
2012-06-28,214.72
2012-06-29,214.72
2012-06-30,214.28
2012-07-01,213.42
2012-07-02,212.57
2012-07-03,211.99
2012-07-04,211.74
2012-07-05,211.5
2012-07-06,211.14
2012-07-07,210.77
2012-07-08,209.9
2012-07-09,209.03
2012-07-10,208.69
2012-07-11,208.35
2012-07-12,208.35
2012-07-13,207.82
2012-07-14,207.3
2012-07-15,206.4
2012-07-16,205.51
2012-07-17,205.14
2012-07-18,204.76
2012-07-19,204.37
2012-07-20,203.98
2012-07-21,203.61
2012-07-22,202.73
2012-07-23,201.84
2012-07-24,201.21
2012-07-25,201.21
2012-07-26,200.58
2012-07-27,200.42
2012-07-28,200.25
2012-07-29,199.41
2012-07-30,198.67
2012-07-31,197.84
2012-08-01,197.84
2012-08-02,197.02
2012-08-03,198.12
2012-08-04,196.54
2012-08-05,194.95
2012-08-06,194.25
2012-08-07,193.55
2012-08-08,192.7
2012-08-09,191.84
2012-08-10,190.96
2012-08-11,190.09
2012-08-12,189.22
2012-08-13,188.38
2012-08-14,187.55
2012-08-15,186.68
2012-08-16,185.82
2012-08-17,184.95
2012-08-18,184.08
2012-08-19,183.21
2012-08-20,182.34
2012-08-21,181.52
2012-08-22,180.71
2012-08-23,179.96
2012-08-24,178.89
2012-08-25,177.82
2012-08-26,176.43
2012-08-27,176.43
2012-08-28,175.04
2012-08-29,173.59
2012-08-30,173.0
2012-08-31,172.4
2012-09-01,171.46
2012-09-02,170.52
2012-09-03,169.58
2012-09-04,168.78
2012-09-05,168.78
2012-09-06,167.97
2012-09-07,167.43
2012-09-08,165.92
2012-09-09,165.92
2012-09-10,164.42
2012-09-11,163.83
2012-09-12,162.07
2012-09-13,160.32
2012-09-14,162.17
2012-09-15,160.92
2012-09-16,160.92
2012-09-17,159.66
2012-09-18,159.24
2012-09-19,158.83
2012-09-20,158.37
2012-09-21,157.72
2012-09-22,157.07
2012-09-23,156.15
2012-09-24,155.23
2012-09-25,155.23
2012-09-26,154.31
2012-09-27,154.02
2012-09-28,153.74
2012-09-29,153.04
2012-09-30,152.34
2012-10-01,151.47
2012-10-02,154.78
2012-10-03,158.09
2012-10-04,162.23
2012-10-05,166.37
2012-10-06,170.18
2012-10-07,174.0
2012-10-08,173.59
2012-10-09,173.18
2012-10-10,172.46
2012-10-11,171.74
2012-10-12,170.87
2012-10-13,170.0
2012-10-14,179.65
2012-10-15,168.62
2012-10-16,167.89
2012-10-17,167.16
2012-10-18,165.98
2012-10-19,165.98
2012-10-20,164.81
2012-10-21,164.08
2012-10-22,163.34
2012-10-23,163.24
2012-10-24,163.15
2012-10-25,163.44
2012-10-26,163.49
2012-10-27,163.54
2012-10-28,163.39
2012-10-29,163.25
2012-10-30,163.25
2012-10-31,163.25
2012-11-01,163.25
2012-11-02,163.25
2012-11-03,163.25
2012-11-04,165.2
2012-11-05,167.16
2012-11-06,167.74
2012-11-07,168.33
2012-11-08,169.11
2012-11-09,173.76
2012-11-10,178.42
2012-11-11,179.14
2012-11-12,179.86
2012-11-13,180.23
2012-11-14,180.23
2012-11-15,180.6
2012-11-16,181.47
2012-11-17,185.55
2012-11-18,189.63
2012-11-19,192.31
2012-11-20,193.06
2012-11-21,193.8
2012-11-22,194.26
2012-11-23,194.72
2012-11-24,195.0
2012-11-25,195.29
2012-11-26,195.46
2012-11-27,195.64
2012-11-28,195.76
2012-11-29,195.87
2012-11-30,195.92
2012-12-01,195.98
2012-12-02,195.81
2012-12-03,195.64
2012-12-04,195.7
2012-12-05,195.75
2012-12-06,196.95
2012-12-07,198.15
2012-12-08,195.87
2012-12-09,196.21
2012-12-10,196.32
2012-12-11,196.44
2012-12-12,196.73
2012-12-13,196.73
2012-12-14,197.02
2012-12-15,196.9
2012-12-16,198.46
2012-12-17,200.01
2012-12-18,200.93
2012-12-19,201.85
2012-12-20,202.44
2012-12-21,203.02
2012-12-22,203.14
2012-12-23,202.84
2012-12-24,202.54
2012-12-25,202.66
2012-12-26,202.66
2012-12-27,202.78
2012-12-28,201.8
2012-12-29,200.81
2012-12-30,201.39
2012-12-31,201.56
2013-01-01,201.73
2013-01-02,201.39
2013-01-03,201.5
2013-01-04,201.62
2013-01-05,201.33
2013-01-06,201.04
2013-01-07,200.46
2013-01-08,199.89
2013-01-09,200.01
2013-01-10,200.06
2013-01-11,200.12
2013-01-12,199.89
2013-01-13,199.38
2013-01-14,198.86
2013-01-15,198.98
2013-01-16,199.09
2013-01-17,199.09
2013-01-18,199.09
2013-01-19,199.09
2013-01-20,199.32
2013-01-21,199.55
2013-01-22,201.16
2013-01-23,201.79
2013-01-24,202.42
2013-01-25,203.02
2013-01-26,205.08
2013-01-27,207.14
2013-01-28,208.48
2013-01-29,208.48
2013-01-30,209.81
2013-01-31,210.3
2013-02-01,210.78
2013-02-02,210.9
2013-02-03,210.48
2013-02-04,210.05
2013-02-05,210.29
2013-02-06,210.48
2013-02-07,210.48
2013-02-08,210.66
2013-02-09,210.53
2013-02-10,209.98
2013-02-11,209.44
2013-02-12,209.5
2013-02-13,209.57
2013-02-14,209.69
2013-02-15,209.81
2013-02-16,209.69
2013-02-17,209.08
2013-02-18,208.47
2013-02-19,208.78
2013-02-20,208.78
