Fecha,Reserva
01/01/2015,273.79
02/01/2015,273.94
03/01/2015,273.63
05/01/2015,272.52
08/01/2015,273.0
10/01/2015,273.0
11/01/2015,271.58
12/01/2015,271.58
14/01/2015,271.74
16/01/2015,272.37
18/01/2015,272.05
20/01/2015,273.63
22/01/2015,275.68
24/01/2015,276.47
26/01/2015,275.52
28/01/2015,275.52
29/01/2015,275.52
01/02/2015,276.15
02/02/2015,276.78
04/02/2015,277.41
06/02/2015,277.88
07/02/2015,277.73
09/02/2015,276.62
11/02/2015,276.78
13/02/2015,277.1
14/02/2015,277.1
16/02/2015,275.52
19/02/2015,275.68
21/02/2015,275.52
23/02/2015,274.1
24/02/2015,274.1
26/02/2015,274.1
28/02/2015,272.52
02/03/2015,274.1
03/03/2015,272.52
05/03/2015,272.13
07/03/2015,272.05
09/03/2015,270.48
10/03/2015,270.48
13/03/2015,270.01
14/03/2015,269.71
16/03/2015,268.51
17/03/2015,268.36
20/03/2015,269.11
22/03/2015,268.81
23/03/2015,268.66
25/03/2015,269.26
27/03/2015,269.26
28/03/2015,269.11
30/03/2015,268.21
01/04/2015,267.93
04/04/2015,267.46
06/04/2015,266.41
07/04/2015,268.06
09/04/2015,269.71
10/04/2015,278.36
12/04/2015,279.62
15/04/2015,277.73
16/04/2015,278.2
18/04/2015,277.73
20/04/2015,276.15
21/04/2015,275.52
23/04/2015,273.79
26/04/2015,271.26
27/04/2015,270.48
29/04/2015,268.81
01/05/2015,267.16
03/05/2015,265.66
04/05/2015,264.91
07/05/2015,262.21
08/05/2015,261.31
10/05/2015,259.52
11/05/2015,258.77
14/05/2015,256.07
15/05/2015,255.03
18/05/2015,252.47
19/05/2015,251.24
21/05/2015,249.35
22/05/2015,248.4
24/05/2015,246.71
27/05/2015,244.08
29/05/2015,242.23
30/05/2015,241.18
01/06/2015,240.88
03/06/2015,239.33
04/06/2015,238.52
07/06/2015,235.69
09/06/2015,233.8
10/06/2015,232.99
12/06/2015,231.16
14/06/2015,229.3
16/06/2015,227.96
17/06/2015,227.79
20/06/2015,226.82
21/06/2015,225.83
22/06/2015,224.9
25/06/2015,223.87
27/06/2015,223.1
29/06/2015,221.31
01/07/2015,220.61
02/07/2015,220.22
04/07/2015,219.45
06/07/2015,217.6
08/07/2015,216.96
10/07/2015,216.22
11/07/2015,215.74
13/07/2015,213.93
15/07/2015,213.2
16/07/2015,212.84
18/07/2015,212.0
20/07/2015,210.41
22/07/2015,209.61
24/07/2015,208.78
25/07/2015,208.41
27/07/2015,206.66
29/07/2015,206.11
31/07/2015,206.05
02/08/2015,203.42
03/08/2015,202.36
06/08/2015,199.43
08/08/2015,186.26
09/08/2015,196.44
11/08/2015,194.49
13/08/2015,192.47
15/08/2015,190.39
17/08/2015,188.65
18/08/2015,187.56
20/08/2015,185.71
23/08/2015,182.78
24/08/2015,181.69
25/08/2015,180.65
27/08/2015,178.83
30/08/2015,176.06
31/08/2015,175.24
02/09/2015,173.39
04/09/2015,171.85
06/09/2015,170.1
08/09/2015,169.41
09/09/2015,168.04
12/09/2015,165.98
13/09/2015,165.01
15/09/2015,163.44
17/09/2015,162.16
19/09/2015,160.76
21/09/2015,158.97
22/09/2015,158.27
24/09/2015,157.17
26/09/2015,155.88
28/09/2015,154.03
29/09/2015,153.11
01/10/2015,151.82
03/10/2015,150.11
05/10/2015,148.37
06/10/2015,147.59
09/10/2015,144.9
10/10/2015,144.1
13/10/2015,141.46
14/10/2015,140.81
16/10/2015,140.48
18/10/2015,139.82
19/10/2015,139.99
21/10/2015,144.29
24/10/2015,144.9
26/10/2015,143.85
27/10/2015,143.85
29/10/2015,143.85
31/10/2015,143.76
02/11/2015,142.72
04/11/2015,150.46
05/11/2015,144.98
07/11/2015,145.42
08/11/2015,144.81
10/11/2015,144.72
13/11/2015,144.81
15/11/2015,143.94
16/11/2015,143.68
18/11/2015,143.59
20/11/2015,143.59
21/11/2015,143.5
23/11/2015,142.46
26/11/2015,142.23
27/11/2015,142.29
29/11/2015,141.97
30/11/2015,141.26
03/12/2015,140.72
04/12/2015,141.05
07/12/2015,140.15
08/12/2015,139.99
09/12/2015,139.58
12/12/2015,138.96
14/12/2015,138.1
15/12/2015,137.85
17/12/2015,137.57
19/12/2015,137.53
21/12/2015,137.12
22/12/2015,137.2
24/12/2015,137.28
27/12/2015,136.21
28/12/2015,135.89
30/12/2015,136.95
