Fecha,Reserva
2012-01-01,60.52
2012-01-02,60.44
2012-01-03,60.4
2012-01-04,60.22
2012-01-05,60.22
2012-01-06,60.05
2012-01-07,55.95
2012-01-08,56.72
2012-01-09,57.5
2012-01-10,57.02
2012-01-11,56.54
2012-01-12,56.42
2012-01-13,56.31
2012-01-14,56.24
2012-01-15,56.17
2012-01-16,56.12
2012-01-17,56.07
2012-01-18,55.96
2012-01-19,55.84
2012-01-20,55.72
2012-01-21,55.66
2012-01-22,55.59
2012-01-23,55.46
2012-01-24,55.33
2012-01-25,55.21
2012-01-26,55.09
2012-01-27,55.04
2012-01-28,54.99
2012-01-29,55.0
2012-01-30,54.82
2012-01-31,54.63
2012-02-01,54.51
2012-02-02,54.39
2012-02-03,54.32
2012-02-04,54.25
2012-02-05,54.3
2012-02-06,54.08
2012-02-07,53.85
2012-02-08,53.69
2012-02-09,53.69
2012-02-10,53.53
2012-02-11,53.53
2012-02-12,53.53
2012-02-13,53.18
2012-02-14,53.07
2012-02-15,52.96
2012-02-16,52.85
2012-02-17,52.74
2012-02-18,52.74
2012-02-19,52.74
2012-02-20,52.42
2012-02-21,52.24
2012-02-22,52.24
2012-02-23,52.06
2012-02-24,51.98
2012-02-25,51.89
2012-02-26,51.96
2012-02-27,51.61
2012-02-28,51.5
2012-02-29,51.5
2012-03-01,51.39
2012-03-02,51.18
2012-03-03,51.06
2012-03-04,51.06
2012-03-05,50.94
2012-03-06,50.81
2012-03-07,50.68
2012-03-08,50.58
2012-03-09,50.46
2012-03-10,50.35
2012-03-11,50.45
2012-03-12,50.22
2012-03-13,49.98
2012-03-14,49.86
2012-03-15,49.74
2012-03-16,49.56
2012-03-17,49.56
2012-03-18,49.39
2012-03-19,49.28
2012-03-20,49.16
2012-03-21,49.05
2012-03-22,48.9
2012-03-23,48.76
2012-03-24,48.74
2012-03-25,48.71
2012-03-26,48.42
2012-03-27,48.28
2012-03-28,48.15
2012-03-29,48.04
2012-03-30,47.93
2012-03-31,47.82
2012-04-01,47.68
2012-04-02,47.68
2012-04-03,47.55
2012-04-04,47.63
2012-04-05,47.63
2012-04-06,47.63
2012-04-07,47.63
2012-04-08,47.34
2012-04-09,47.28
2012-04-10,47.21
2012-04-11,47.17
2012-04-12,47.13
2012-04-13,47.1
2012-04-14,47.06
2012-04-15,47.1
2012-04-16,47.06
2012-04-17,47.02
2012-04-18,46.99
2012-04-19,46.96
2012-04-20,46.96
2012-04-21,46.95
2012-04-22,46.96
2012-04-23,46.94
