Fecha,Reserva
01/01/2022,19.16
02/01/2022,19.18
03/01/2022,19.1
05/01/2022,18.87
07/01/2022,18.71
10/01/2022,18.4
12/01/2022,18.27
13/01/2022,18.1
15/01/2022,17.88
18/01/2022,17.76
20/01/2022,17.63
21/01/2022,17.65
24/01/2022,17.69
25/01/2022,17.73
27/01/2022,17.6
30/01/2022,17.63
31/01/2022,17.65
02/02/2022,17.67
03/02/2022,17.57
05/02/2022,17.58
07/02/2022,17.6
08/02/2022,17.55
09/02/2022,17.52
11/02/2022,17.55
11/02/2022,17.55
13/02/2022,17.55
13/02/2022,17.55
15/02/2022,17.57
15/02/2022,17.57
17/02/2022,17.57
17/02/2022,17.57
18/02/2022,17.58
19/02/2022,17.58
20/02/2022,17.59
21/02/2022,17.6
22/02/2022,17.49
23/02/2022,17.23
26/02/2022,16.95
28/02/2022,16.78
02/03/2022,16.78
03/03/2022,16.45
05/03/2022,16.42
08/03/2022,16.44
10/03/2022,16.48
11/03/2022,16.39
13/03/2022,16.43
15/03/2022,16.88
17/03/2022,17.23
19/03/2022,17.28
20/03/2022,17.3
23/03/2022,18.34
25/03/2022,29.31
26/03/2022,30.22
29/03/2022,30.5
30/03/2022,29.73
01/04/2022,29.87
04/04/2022,30.0
06/04/2022,34.11
07/04/2022,34.6
09/04/2022,34.81
12/04/2022,35.03
13/04/2022,35.17
14/04/2022,35.22
15/04/2022,35.25
16/04/2022,35.26
17/04/2022,35.28
18/04/2022,35.29
20/04/2022,35.29
22/04/2022,35.3
23/04/2022,35.61
25/04/2022,35.86
28/04/2022,35.96
29/04/2022,36.26
02/05/2022,36.38
04/05/2022,36.51
05/05/2022,36.85
07/05/2022,36.88
09/05/2022,36.89
10/05/2022,36.9
13/05/2022,36.88
14/05/2022,36.89
16/05/2022,36.89
18/05/2022,36.86
21/05/2022,36.79
22/05/2022,36.75
24/05/2022,36.58
26/05/2022,36.55
28/05/2022,36.53
31/05/2022,36.52
01/06/2022,36.5
03/06/2022,36.5
05/06/2022,36.49
07/06/2022,36.49
08/06/2022,36.67
10/06/2022,36.55
13/06/2022,36.51
14/06/2022,36.51
17/06/2022,36.47
18/06/2022,36.34
21/06/2022,36.31
23/06/2022,36.16
24/06/2022,36.12
27/06/2022,36.05
29/06/2022,36.05
01/07/2022,35.87
03/07/2022,35.84
05/07/2022,35.75
06/07/2022,35.79
08/07/2022,35.79
09/07/2022,62.7
11/07/2022,35.66
13/07/2022,35.44
15/07/2022,35.49
18/07/2022,35.35
19/07/2022,35.42
22/07/2022,35.46
23/07/2022,35.06
25/07/2022,35.05
28/07/2022,35.43
30/07/2022,34.6
01/08/2022,34.46
03/08/2022,34.19
04/08/2022,34.09
05/08/2022,33.15
07/08/2022,33.72
10/08/2022,33.3
11/08/2022,33.28
14/08/2022,32.98
16/08/2022,32.59
17/08/2022,32.34
20/08/2022,32.05
22/08/2022,31.77
24/08/2022,31.5
26/08/2022,31.27
28/08/2022,30.84
29/08/2022,30.71
01/09/2022,30.46
03/09/2022,30.19
04/09/2022,30.13
05/09/2022,30.08
08/09/2022,29.31
10/09/2022,29.23
11/09/2022,29.15
14/09/2022,28.79
15/09/2022,28.62
18/09/2022,28.3
19/09/2022,28.18
21/09/2022,28.15
23/09/2022,28.13
25/09/2022,28.09
27/09/2022,28.07
30/09/2022,28.03
02/10/2022,27.99
03/10/2022,27.99
05/10/2022,27.98
07/10/2022,27.94
09/10/2022,27.9
11/10/2022,27.88
13/10/2022,27.88
14/10/2022,27.85
17/10/2022,27.83
19/10/2022,27.83
21/10/2022,27.82
22/10/2022,31.64
25/10/2022,27.8
27/10/2022,30.94
28/10/2022,3.39
30/10/2022,27.31
30/10/2022,27.31
01/11/2022,3.39
02/11/2022,26.96
05/11/2022,26.67
07/11/2022,26.43
09/11/2022,26.25
11/11/2022,26.15
13/11/2022,25.82
15/11/2022,25.7
18/11/2022,25.22
20/11/2022,25.22
22/11/2022,25.24
23/11/2022,25.27
26/11/2022,25.3
27/11/2022,25.3
29/11/2022,25.31
01/12/2022,25.11
03/12/2022,25.01
05/12/2022,24.86
06/12/2022,25.07
08/12/2022,24.84
11/12/2022,25.17
12/12/2022,26.1
14/12/2022,26.18
17/12/2022,30.55
18/12/2022,30.73
21/12/2022,30.71
22/12/2022,30.69
25/12/2022,30.57
27/12/2022,30.51
29/12/2022,30.42
30/12/2022,30.35
