Fecha,Reserva
2012-01-01,34.37
2012-01-02,34.4
2012-01-03,34.43
2012-01-04,34.46
2012-01-05,34.42
2012-01-06,34.43
2012-01-07,34.43
2012-01-08,34.44
2012-01-09,34.71
2012-01-10,34.98
2012-01-11,34.67
2012-01-12,34.37
2012-01-13,35.05
2012-01-14,34.44
2012-01-15,34.74
2012-01-16,35.05
2012-01-17,34.74
2012-01-18,34.42
2012-01-19,34.8
2012-01-20,35.19
2012-01-21,34.82
2012-01-22,34.44
2012-01-23,34.43
2012-01-24,34.42
2012-01-25,35.26
2012-01-26,34.88
2012-01-27,34.88
2012-01-28,34.49
2012-01-29,34.91
2012-01-30,35.33
2012-01-31,34.83
2012-02-01,34.33
2012-02-02,34.94
2012-02-03,35.54
2012-02-04,34.22
2012-02-05,33.95
2012-02-06,34.25
2012-02-07,34.55
2012-02-08,34.32
2012-02-09,34.08
2012-02-10,34.18
2012-02-11,34.28
2012-02-12,34.22
2012-02-13,34.22
2012-02-14,34.15
2012-02-15,35.71
2012-02-16,35.71
2012-02-17,35.71
2012-02-18,34.33
2012-02-19,35.02
2012-02-20,35.72
2012-02-21,35.72
2012-02-22,35.72
2012-02-23,35.73
2012-02-24,35.76
2012-02-25,35.04
2012-02-26,34.33
2012-02-27,35.76
2012-02-28,35.76
2012-02-29,35.76
2012-03-01,35.77
2012-03-02,35.16
2012-03-03,34.55
2012-03-04,34.58
2012-03-05,34.62
2012-03-06,35.8
2012-03-07,35.82
2012-03-08,35.83
2012-03-09,34.82
2012-03-10,34.82
2012-03-11,34.82
2012-03-12,34.82
2012-03-13,35.88
2012-03-14,35.89
2012-03-15,35.89
2012-03-16,35.9
2012-03-17,36.02
2012-03-18,36.02
2012-03-19,36.02
2012-03-20,35.92
2012-03-21,35.98
2012-03-22,35.98
2012-03-23,36.05
2012-03-24,36.05
2012-03-25,36.05
2012-03-26,36.05
2012-03-27,36.05
2012-03-28,36.07
2012-03-29,36.07
2012-03-30,36.07
2012-03-31,36.07
2012-04-01,36.07
2012-04-02,36.07
2012-04-03,36.08
2012-04-04,36.09
2012-04-05,36.13
2012-04-06,36.13
2012-04-07,36.17
2012-04-08,36.17
2012-04-09,36.17
2012-04-10,36.12
2012-04-11,36.12
2012-04-12,36.16
2012-04-13,36.16
2012-04-14,36.21
2012-04-15,35.35
2012-04-16,35.39
2012-04-17,35.39
2012-04-18,35.42
2012-04-19,36.38
2012-04-20,36.4
2012-04-21,36.43
2012-04-22,36.43
2012-04-23,36.43
2012-04-24,36.47
2012-04-25,36.51
2012-04-26,36.48
2012-04-27,36.46
2012-04-28,36.46
2012-04-29,36.53
2012-04-30,36.6
2012-05-01,36.62
2012-05-02,36.63
2012-05-03,36.68
2012-05-04,36.73
2012-05-05,36.73
2012-05-06,36.73
2012-05-07,36.73
2012-05-08,36.79
2012-05-09,36.85
2012-05-10,36.85
2012-05-11,36.85
2012-05-12,36.86
2012-05-13,36.87
2012-05-14,36.88
2012-05-15,36.9
2012-05-16,36.94
2012-05-17,36.99
2012-05-18,36.94
2012-05-19,36.9
2012-05-20,36.92
2012-05-21,36.95
2012-05-22,37.01
2012-05-23,37.07
2012-05-24,37.07
2012-05-25,37.1
2012-05-26,37.12
2012-05-27,37.12
2012-05-28,37.12
2012-05-29,37.11
2012-05-30,37.09
2012-05-31,37.09
2012-06-01,37.09
2012-06-02,37.09
2012-06-03,37.09
2012-06-04,37.12
2012-06-05,37.09
2012-06-06,37.04
2012-06-07,36.99
2012-06-08,36.94
2012-06-09,36.9
2012-06-10,36.85
2012-06-11,36.8
2012-06-12,36.75
2012-06-13,36.7
2012-06-14,36.65
2012-06-15,36.6
2012-06-16,36.6
2012-06-17,36.6
2012-06-18,36.6
2012-06-19,36.47
2012-06-20,36.34
2012-06-21,36.29
2012-06-22,36.24
2012-06-23,36.17
2012-06-24,36.17
2012-06-25,36.09
2012-06-26,36.05
2012-06-27,35.97
2012-06-28,35.92
2012-06-29,35.88
2012-06-30,35.8
2012-07-01,35.73
2012-07-02,35.66
2012-07-03,35.59
2012-07-04,35.48
2012-07-05,35.48
2012-07-06,35.38
2012-07-07,35.28
