Fecha,Reserva
01/01/2013,35.95
02/01/2013,36.02
04/01/2013,36.14
06/01/2013,36.29
07/01/2013,36.36
09/01/2013,36.46
11/01/2013,36.58
13/01/2013,36.73
15/01/2013,36.85
16/01/2013,36.92
18/01/2013,37.31
20/01/2013,39.1
22/01/2013,38.55
24/01/2013,37.48
25/01/2013,36.92
28/01/2013,38.09
29/01/2013,37.92
01/02/2013,36.58
02/02/2013,36.07
04/02/2013,36.63
05/02/2013,36.9
08/02/2013,37.63
09/02/2013,37.78
12/02/2013,38.19
13/02/2013,38.31
14/02/2013,38.4
17/02/2013,38.69
19/02/2013,38.86
21/02/2013,37.61
22/02/2013,37.41
24/02/2013,38.14
26/02/2013,37.78
27/02/2013,37.02
01/03/2013,35.24
03/03/2013,33.41
05/03/2013,31.5
07/03/2013,32.65
08/03/2013,34.37
10/03/2013,35.95
13/03/2013,40.21
14/03/2013,40.67
16/03/2013,40.62
18/03/2013,40.77
20/03/2013,40.83
21/03/2013,40.13
23/03/2013,37.02
26/03/2013,36.17
27/03/2013,36.82
28/03/2013,37.58
31/03/2013,39.56
02/04/2013,40.46
04/04/2013,39.2
05/04/2013,38.57
07/04/2013,40.44
08/04/2013,40.44
11/04/2013,38.98
13/04/2013,39.91
14/04/2013,40.31
16/04/2013,40.39
18/04/2013,40.36
19/04/2013,40.33
22/04/2013,40.33
23/04/2013,40.44
26/04/2013,40.31
28/04/2013,40.31
29/04/2013,40.33
30/04/2013,40.44
03/05/2013,40.41
04/05/2013,40.28
07/05/2013,40.28
08/05/2013,40.36
09/05/2013,40.26
12/05/2013,40.23
14/05/2013,40.41
15/05/2013,40.31
18/05/2013,40.23
19/05/2013,40.18
20/05/2013,40.13
22/05/2013,40.01
24/05/2013,39.86
27/05/2013,39.61
29/05/2013,39.61
30/05/2013,39.81
31/05/2013,39.81
03/06/2013,39.81
04/06/2013,40.33
06/06/2013,40.39
09/06/2013,40.39
10/06/2013,40.36
12/06/2013,40.36
14/06/2013,40.33
15/06/2013,40.33
17/06/2013,40.33
19/06/2013,40.33
21/06/2013,40.33
23/06/2013,40.31
25/06/2013,40.31
27/06/2013,40.28
28/06/2013,40.28
30/06/2013,40.28
02/07/2013,40.28
04/07/2013,40.26
06/07/2013,40.26
07/07/2013,40.23
09/07/2013,40.23
11/07/2013,40.23
12/07/2013,40.23
14/07/2013,40.23
17/07/2013,40.23
19/07/2013,40.21
20/07/2013,40.21
22/07/2013,40.21
24/07/2013,40.21
26/07/2013,40.18
27/07/2013,40.18
29/07/2013,40.18
01/08/2013,40.18
02/08/2013,40.16
03/08/2013,40.16
05/08/2013,40.16
07/08/2013,40.16
10/08/2013,40.16
12/08/2013,40.13
13/08/2013,40.16
14/08/2013,40.13
16/08/2013,40.13
19/08/2013,40.13
21/08/2013,40.11
22/08/2013,40.11
24/08/2013,40.11
25/08/2013,40.11
28/08/2013,40.11
30/08/2013,40.16
01/09/2013,40.16
02/09/2013,40.13
04/09/2013,40.13
05/09/2013,40.13
08/09/2013,38.76
09/09/2013,38.31
12/09/2013,37.41
13/09/2013,37.07
15/09/2013,36.53
16/09/2013,36.21
19/09/2013,36.24
20/09/2013,36.24
23/09/2013,36.31
24/09/2013,36.29
25/09/2013,36.34
27/09/2013,36.36
29/09/2013,36.41
02/10/2013,36.51
04/10/2013,36.55
05/10/2013,36.58
06/10/2013,36.58
08/10/2013,36.63
11/10/2013,36.68
12/10/2013,36.68
15/10/2013,36.73
16/10/2013,36.73
17/10/2013,36.75
20/10/2013,36.77
21/10/2013,36.8
23/10/2013,36.82
25/10/2013,36.87
27/10/2013,36.87
29/10/2013,36.87
31/10/2013,36.9
01/11/2013,36.97
04/11/2013,36.93
05/11/2013,36.97
07/11/2013,37.04
08/11/2013,37.02
10/11/2013,37.09
12/11/2013,37.07
14/11/2013,37.17
16/11/2013,37.19
18/11/2013,37.24
20/11/2013,37.23
21/11/2013,37.29
23/11/2013,37.31
25/11/2013,37.34
27/11/2013,37.31
29/11/2013,37.34
30/11/2013,37.41
02/12/2013,37.44
04/12/2013,37.44
07/12/2013,37.48
08/12/2013,37.51
10/12/2013,37.53
12/12/2013,37.53
13/12/2013,37.52
16/12/2013,37.61
18/12/2013,37.63
19/12/2013,37.66
20/12/2013,37.63
23/12/2013,37.21
25/12/2013,37.04
26/12/2013,37.09
28/12/2013,36.87
30/12/2013,36.63
