Fecha,Reserva
2012-01-01,53.75
2012-01-02,53.81
2012-01-03,53.83
2012-01-04,53.9
2012-01-05,53.9
2012-01-06,53.98
2012-01-07,53.02
2012-01-08,53.25
2012-01-09,53.48
2012-01-10,53.29
2012-01-11,53.1
2012-01-12,53.1
2012-01-13,53.09
2012-01-14,53.07
2012-01-15,53.06
2012-01-16,53.06
2012-01-17,53.06
2012-01-18,53.02
2012-01-19,52.99
2012-01-20,52.99
2012-01-21,52.96
2012-01-22,52.94
2012-01-23,52.89
2012-01-24,52.84
2012-01-25,52.78
2012-01-26,52.72
2012-01-27,52.74
2012-01-28,52.76
2012-01-29,52.72
2012-01-30,52.68
2012-01-31,52.66
2012-02-01,52.65
2012-02-02,52.6
2012-02-03,52.56
2012-02-04,52.52
2012-02-05,52.56
2012-02-06,52.48
2012-02-07,52.48
2012-02-08,52.39
2012-02-09,52.28
2012-02-10,52.17
2012-02-11,52.17
2012-02-12,52.17
2012-02-13,51.96
2012-02-14,51.9
2012-02-15,51.83
2012-02-16,51.77
2012-02-17,51.71
2012-02-18,51.71
2012-02-19,51.71
2012-02-20,51.48
2012-02-21,51.26
2012-02-22,51.55
2012-02-23,51.46
2012-02-24,51.46
2012-02-25,51.38
2012-02-26,51.42
2012-02-27,51.18
2012-02-28,51.08
2012-02-29,51.08
2012-03-01,50.99
2012-03-02,50.82
2012-03-03,50.72
2012-03-04,50.72
2012-03-05,50.63
2012-03-06,50.66
2012-03-07,50.57
2012-03-08,50.48
2012-03-09,50.4
2012-03-10,50.32
2012-03-11,50.39
2012-03-12,50.21
2012-03-13,50.03
2012-03-14,49.92
2012-03-15,49.82
2012-03-16,49.7
2012-03-17,49.59
2012-03-18,49.49
2012-03-19,49.39
2012-03-20,49.28
2012-03-21,49.16
2012-03-22,49.1
2012-03-23,49.03
2012-03-24,49.01
2012-03-25,48.99
2012-03-26,48.83
2012-03-27,48.76
2012-03-28,48.69
2012-03-29,48.64
2012-03-30,48.59
2012-03-31,48.55
2012-04-01,48.51
2012-04-02,48.03
2012-04-03,47.55
2012-04-04,48.36
2012-04-05,48.36
2012-04-06,48.36
2012-04-07,48.36
2012-04-08,48.22
2012-04-09,48.14
2012-04-10,48.05
2012-04-11,47.97
2012-04-12,47.89
2012-04-13,47.82
2012-04-14,47.74
2012-04-15,47.82
2012-04-16,47.66
2012-04-17,47.51
2012-04-18,47.41
2012-04-19,47.31
2012-04-20,47.3
2012-04-21,47.28
2012-04-22,47.31
2012-04-23,47.06
2012-04-24,46.8
2012-04-25,46.61
2012-04-26,46.61
2012-04-27,46.43
2012-04-28,46.54
2012-04-29,46.66
2012-04-30,46.33
2012-05-01,46.32
2012-05-02,46.31
2012-05-03,46.27
2012-05-04,46.26
2012-05-05,46.26
2012-05-06,46.26
2012-05-07,46.35
2012-05-08,46.44
2012-05-09,46.41
2012-05-10,46.32
2012-05-11,46.32
2012-05-12,46.24
2012-05-13,46.16
2012-05-14,46.05
2012-05-15,45.96
2012-05-16,45.86
2012-05-17,45.68
2012-05-18,45.68
2012-05-19,45.5
2012-05-20,45.46
2012-05-21,45.36
2012-05-22,45.26
2012-05-23,45.15
2012-05-24,45.04
2012-05-25,44.91
2012-05-26,44.83
2012-05-27,44.75
2012-05-28,44.62
2012-05-29,44.5
2012-05-30,44.39
2012-05-31,44.28
2012-06-01,44.16
2012-06-02,44.03
2012-06-03,43.91
2012-06-04,43.79
2012-06-05,43.64
2012-06-06,43.5
2012-06-07,43.4
2012-06-08,43.18
2012-06-09,43.18
2012-06-10,42.97
2012-06-11,42.85
2012-06-12,42.7
2012-06-13,42.56
2012-06-14,42.4
2012-06-15,42.25
2012-06-16,42.25
2012-06-17,42.25
2012-06-18,42.25
2012-06-19,41.9
2012-06-20,41.55
2012-06-21,41.38
2012-06-22,41.2
2012-06-23,41.06
2012-06-24,40.93
2012-06-25,40.75
2012-06-26,40.57
2012-06-27,40.41
2012-06-28,40.19
2012-06-29,40.19
2012-06-30,39.97
2012-07-01,39.73
2012-07-02,39.57
2012-07-03,39.41
2012-07-04,39.13
2012-07-05,39.13
2012-07-06,38.85
2012-07-07,38.67
2012-07-08,38.51
2012-07-09,38.34
2012-07-10,38.17
2012-07-11,37.97
2012-07-12,37.77
2012-07-13,37.58
2012-07-14,37.4
2012-07-15,37.24
2012-07-16,37.07
2012-07-17,36.86
2012-07-18,36.66
2012-07-19,36.48
2012-07-20,36.19
2012-07-21,36.19
2012-07-22,35.91
2012-07-23,35.76
2012-07-24,35.47
2012-07-25,35.47
2012-07-26,35.19
2012-07-27,34.98
2012-07-28,34.8
2012-07-29,34.61
2012-07-30,34.45
2012-07-31,34.16
2012-08-01,34.16
2012-08-02,33.87
2012-08-03,33.65
2012-08-04,33.38
2012-08-05,33.38
2012-08-06,33.11
2012-08-07,32.88
2012-08-08,32.68
2012-08-09,32.48
2012-08-10,32.26
2012-08-11,32.26
2012-08-12,32.26
2012-08-13,31.86
2012-08-14,31.47
