Fecha,Reserva
01/01/2019,54.98
02/01/2019,54.98
04/01/2019,54.97
05/01/2019,54.91
07/01/2019,54.9
10/01/2019,54.83
11/01/2019,54.8
13/01/2019,54.74
15/01/2019,54.72
17/01/2019,54.58
19/01/2019,54.5
20/01/2019,54.5
22/01/2019,54.47
23/01/2019,54.42
26/01/2019,54.33
28/01/2019,54.18
30/01/2019,54.11
01/02/2019,54.1
02/02/2019,54.32
04/02/2019,54.34
06/02/2019,54.4
08/02/2019,54.34
10/02/2019,54.34
11/02/2019,54.34
13/02/2019,54.33
14/02/2019,54.27
16/02/2019,54.24
18/02/2019,54.18
20/02/2019,54.16
23/02/2019,54.08
24/02/2019,54.02
25/02/2019,54.01
28/02/2019,53.87
01/03/2019,53.84
04/03/2019,53.7
05/03/2019,53.69
07/03/2019,53.54
08/03/2019,53.47
11/03/2019,53.34
12/03/2019,53.24
15/03/2019,53.05
16/03/2019,52.95
17/03/2019,52.9
19/03/2019,52.71
21/03/2019,52.6
23/03/2019,52.44
25/03/2019,52.35
27/03/2019,52.14
28/03/2019,52.07
31/03/2019,51.81
01/04/2019,51.74
04/04/2019,51.61
06/04/2019,51.57
07/04/2019,51.51
09/04/2019,51.49
11/04/2019,51.36
13/04/2019,51.26
15/04/2019,51.1
16/04/2019,51.03
18/04/2019,50.87
20/04/2019,50.78
22/04/2019,50.66
23/04/2019,50.59
25/04/2019,50.54
28/04/2019,50.49
29/04/2019,50.44
30/04/2019,50.42
03/05/2019,50.18
04/05/2019,50.05
06/05/2019,49.95
08/05/2019,49.67
09/05/2019,49.58
12/05/2019,49.23
13/05/2019,49.14
15/05/2019,48.84
17/05/2019,48.6
19/05/2019,48.32
20/05/2019,48.22
22/05/2019,47.96
25/05/2019,47.43
27/05/2019,47.13
28/05/2019,46.97
30/05/2019,46.6
31/05/2019,46.4
03/06/2019,45.89
05/06/2019,45.53
07/06/2019,45.1
08/06/2019,44.89
10/06/2019,44.53
11/06/2019,44.37
14/06/2019,43.76
15/06/2019,43.55
17/06/2019,43.22
19/06/2019,42.78
21/06/2019,42.43
23/06/2019,41.97
24/06/2019,41.97
26/06/2019,41.36
29/06/2019,40.73
30/06/2019,40.55
02/07/2019,40.13
03/07/2019,39.87
06/07/2019,39.21
08/07/2019,38.82
09/07/2019,38.56
11/07/2019,38.08
13/07/2019,37.62
15/07/2019,37.21
16/07/2019,36.97
19/07/2019,36.33
20/07/2019,36.08
22/07/2019,35.71
23/07/2019,35.48
25/07/2019,35.09
27/07/2019,34.65
29/07/2019,34.25
01/08/2019,33.6
02/08/2019,33.36
03/08/2019,33.17
05/08/2019,32.76
08/08/2019,32.09
10/08/2019,31.61
11/08/2019,31.44
13/08/2019,30.98
15/08/2019,30.52
17/08/2019,30.13
18/08/2019,29.91
21/08/2019,29.3
22/08/2019,29.04
24/08/2019,28.64
26/08/2019,28.23
27/08/2019,28.05
29/08/2019,27.62
01/09/2019,27.02
02/09/2019,26.85
03/09/2019,26.64
05/09/2019,26.28
07/09/2019,25.92
10/09/2019,25.46
11/09/2019,25.26
13/09/2019,24.95
15/09/2019,25.01
17/09/2019,24.88
19/09/2019,24.7
20/09/2019,24.57
23/09/2019,24.27
24/09/2019,24.13
25/09/2019,24.01
28/09/2019,23.59
29/09/2019,23.49
02/10/2019,23.1
03/10/2019,22.92
05/10/2019,22.62
07/10/2019,22.39
09/10/2019,22.11
11/10/2019,21.84
13/10/2019,21.6
14/10/2019,21.51
16/10/2019,21.27
18/10/2019,21.02
19/10/2019,20.89
21/10/2019,20.7
24/10/2019,20.44
26/10/2019,20.22
27/10/2019,20.13
29/10/2019,19.95
31/10/2019,20.0
01/11/2019,19.87
03/11/2019,19.81
05/11/2019,19.68
06/11/2019,19.61
09/11/2019,19.35
11/11/2019,19.25
12/11/2019,19.17
14/11/2019,18.95
16/11/2019,18.78
17/11/2019,18.68
20/11/2019,18.45
22/11/2019,18.49
23/11/2019,19.28
25/11/2019,19.68
27/11/2019,19.74
28/11/2019,19.75
30/11/2019,19.73
02/12/2019,19.71
05/12/2019,19.86
06/12/2019,19.88
08/12/2019,19.95
09/12/2019,19.99
12/12/2019,19.99
13/12/2019,19.99
15/12/2019,19.95
18/12/2019,20.0
19/12/2019,20.03
20/12/2019,20.59
22/12/2019,25.47
24/12/2019,27.09
26/12/2019,27.85
28/12/2019,28.39
30/12/2019,28.81
