Fecha,Reserva
2012-01-01,44.81
2012-01-02,44.86
2012-01-03,44.88
2012-01-04,44.96
2012-01-05,44.96
2012-01-06,45.04
2012-01-07,45.29
2012-01-08,45.54
2012-01-09,45.58
2012-01-10,45.61
2012-01-11,45.16
2012-01-12,45.16
2012-01-13,45.16
2012-01-14,45.16
2012-01-15,45.16
2012-01-16,45.19
2012-01-17,45.23
2012-01-18,45.23
2012-01-19,45.25
2012-01-20,45.27
2012-01-21,45.27
2012-01-22,45.27
2012-01-23,45.27
2012-01-24,45.29
2012-01-25,45.29
2012-01-26,45.29
2012-01-27,45.32
2012-01-28,45.35
2012-01-29,45.29
2012-01-30,45.32
2012-01-31,45.35
2012-02-01,45.36
2012-02-02,45.37
2012-02-03,45.36
2012-02-04,45.35
2012-02-05,45.36
2012-02-06,45.36
2012-02-07,45.0
2012-02-08,45.18
2012-02-09,45.37
2012-02-10,45.37
2012-02-11,45.37
2012-02-12,45.37
2012-02-13,45.36
2012-02-14,45.36
2012-02-15,45.38
2012-02-16,45.37
2012-02-17,45.39
2012-02-18,45.39
2012-02-19,45.41
2012-02-20,45.47
2012-02-21,45.46
2012-02-22,45.46
2012-02-23,45.48
2012-02-24,45.49
2012-02-25,45.49
2012-02-26,45.49
2012-02-27,45.47
2012-02-28,45.5
2012-02-29,45.52
2012-03-01,45.53
2012-03-02,45.53
2012-03-03,45.56
2012-03-04,45.58
2012-03-05,45.58
2012-03-06,45.58
2012-03-07,45.58
2012-03-08,45.61
2012-03-09,45.58
2012-03-10,45.58
2012-03-11,45.58
2012-03-12,45.58
2012-03-13,45.6
2012-03-14,45.61
2012-03-15,45.6
2012-03-16,45.3
2012-03-17,45.3
2012-03-18,44.99
2012-03-19,44.83
2012-03-20,44.61
2012-03-21,44.39
2012-03-22,44.27
2012-03-23,44.27
2012-03-24,44.27
2012-03-25,44.27
2012-03-26,44.24
2012-03-27,44.22
2012-03-28,44.22
2012-03-29,44.21
2012-03-30,44.2
2012-03-31,44.2
2012-04-01,44.19
2012-04-02,44.2
2012-04-03,44.22
2012-04-04,44.24
2012-04-05,44.24
2012-04-06,44.23
2012-04-07,44.24
2012-04-08,44.24
2012-04-09,44.26
2012-04-10,44.24
2012-04-11,44.22
2012-04-12,44.22
2012-04-13,44.22
2012-04-14,44.21
2012-04-15,44.18
2012-04-16,44.14
2012-04-17,43.88
2012-04-18,43.61
2012-04-19,43.38
2012-04-20,43.38
2012-04-21,43.38
2012-04-22,42.98
2012-04-23,42.57
2012-04-24,42.54
2012-04-25,42.52
2012-04-26,42.37
2012-04-27,42.22
2012-04-28,42.37
2012-04-29,42.52
2012-04-30,41.98
2012-05-01,41.98
2012-05-02,41.99
2012-05-03,42.0
2012-05-04,42.02
2012-05-05,42.02
2012-05-06,42.02
