Fecha,Reserva
01/01/2018,20.83
02/01/2018,20.89
04/01/2018,20.92
05/01/2018,20.96
08/01/2018,21.0
10/01/2018,21.16
11/01/2018,21.28
13/01/2018,21.5
14/01/2018,21.55
16/01/2018,21.61
18/01/2018,21.75
20/01/2018,21.8
22/01/2018,21.86
24/01/2018,21.95
25/01/2018,21.98
27/01/2018,22.02
29/01/2018,22.07
31/01/2018,21.99
02/02/2018,21.97
03/02/2018,21.96
05/02/2018,22.01
08/02/2018,22.07
10/02/2018,22.12
12/02/2018,22.18
13/02/2018,22.18
15/02/2018,22.18
16/02/2018,22.15
19/02/2018,22.1
21/02/2018,22.1
22/02/2018,22.07
24/02/2018,22.04
26/02/2018,22.0
28/02/2018,22.03
02/03/2018,23.32
03/03/2018,26.38
05/03/2018,29.66
06/03/2018,31.33
09/03/2018,34.83
10/03/2018,35.7
13/03/2018,38.04
15/03/2018,38.98
16/03/2018,39.65
18/03/2018,40.89
19/03/2018,44.01
21/03/2018,46.12
23/03/2018,47.05
25/03/2018,47.68
27/03/2018,48.61
29/03/2018,49.32
31/03/2018,49.77
02/04/2018,50.07
03/04/2018,50.13
05/04/2018,50.32
07/04/2018,50.39
09/04/2018,50.46
11/04/2018,50.71
13/04/2018,51.68
15/04/2018,53.05
17/04/2018,53.73
18/04/2018,53.88
19/04/2018,54.06
22/04/2018,54.46
23/04/2018,54.54
25/04/2018,54.78
28/04/2018,54.99
29/04/2018,55.01
30/04/2018,55.06
02/05/2018,55.06
05/05/2018,55.28
06/05/2018,55.29
08/05/2018,55.34
10/05/2018,54.99
11/05/2018,55.02
13/05/2018,54.73
15/05/2018,54.39
18/05/2018,53.86
19/05/2018,53.7
21/05/2018,53.13
22/05/2018,52.99
25/05/2018,52.13
26/05/2018,51.96
28/05/2018,51.47
30/05/2018,51.16
31/05/2018,50.87
02/06/2018,50.51
04/06/2018,50.01
06/06/2018,49.57
09/06/2018,48.86
10/06/2018,48.53
12/06/2018,48.05
14/06/2018,47.53
15/06/2018,47.23
18/06/2018,46.47
19/06/2018,46.13
21/06/2018,45.61
22/06/2018,45.29
25/06/2018,44.62
27/06/2018,44.16
29/06/2018,43.58
30/06/2018,43.27
02/07/2018,42.61
03/07/2018,42.23
06/07/2018,41.41
08/07/2018,40.91
10/07/2018,40.44
11/07/2018,40.1
12/07/2018,39.86
15/07/2018,39.03
17/07/2018,38.5
18/07/2018,38.28
20/07/2018,37.76
22/07/2018,37.06
24/07/2018,36.47
25/07/2018,36.26
27/07/2018,35.76
30/07/2018,34.66
31/07/2018,34.62
02/08/2018,34.04
04/08/2018,33.29
06/08/2018,32.5
07/08/2018,32.2
09/08/2018,31.58
11/08/2018,30.93
13/08/2018,30.18
14/08/2018,29.86
17/08/2018,29.06
18/08/2018,28.73
21/08/2018,27.87
22/08/2018,27.51
24/08/2018,26.94
25/08/2018,26.67
28/08/2018,25.75
30/08/2018,25.23
31/08/2018,24.94
02/09/2018,24.53
04/09/2018,24.09
06/09/2018,23.43
07/09/2018,23.1
10/09/2018,22.15
12/09/2018,21.56
13/09/2018,21.33
14/09/2018,21.22
16/09/2018,20.7
19/09/2018,19.96
21/09/2018,19.58
23/09/2018,19.17
24/09/2018,18.99
25/09/2018,18.79
28/09/2018,18.72
29/09/2018,18.67
01/10/2018,18.22
03/10/2018,18.17
05/10/2018,18.16
06/10/2018,18.13
08/10/2018,17.67
11/10/2018,17.67
12/10/2018,17.66
15/10/2018,17.17
16/10/2018,17.18
17/10/2018,17.17
20/10/2018,17.2
22/10/2018,43.1
23/10/2018,42.09
25/10/2018,42.91
27/10/2018,43.21
29/10/2018,43.55
31/10/2018,43.7
02/11/2018,44.99
03/11/2018,45.34
05/11/2018,45.8
07/11/2018,46.15
09/11/2018,46.43
10/11/2018,46.54
13/11/2018,46.9
14/11/2018,47.13
16/11/2018,47.13
18/11/2018,47.25
19/11/2018,49.01
21/11/2018,50.23
24/11/2018,52.34
26/11/2018,53.14
27/11/2018,53.48
29/11/2018,53.99
01/12/2018,54.34
02/12/2018,54.64
05/12/2018,54.85
07/12/2018,55.12
08/12/2018,55.2
10/12/2018,55.38
11/12/2018,55.38
14/12/2018,55.68
16/12/2018,55.77
17/12/2018,55.86
19/12/2018,55.94
20/12/2018,55.98
22/12/2018,56.08
25/12/2018,56.21
26/12/2018,56.21
28/12/2018,56.34
30/12/2018,56.34
