Fecha,Reserva
01/01/2019,12.62
02/01/2019,12.6
04/01/2019,12.57
06/01/2019,12.53
07/01/2019,12.52
09/01/2019,12.48
11/01/2019,12.48
12/01/2019,12.45
14/01/2019,12.42
16/01/2019,12.38
19/01/2019,12.33
21/01/2019,12.35
22/01/2019,12.34
24/01/2019,12.32
26/01/2019,12.29
28/01/2019,12.25
30/01/2019,12.22
31/01/2019,12.2
02/02/2019,12.25
03/02/2019,12.27
05/02/2019,12.27
07/02/2019,12.24
09/02/2019,12.2
11/02/2019,12.17
13/02/2019,12.16
15/02/2019,12.12
16/02/2019,12.1
19/02/2019,12.06
21/02/2019,12.02
23/02/2019,11.98
24/02/2019,11.97
26/02/2019,11.94
27/02/2019,11.91
01/03/2019,11.88
04/03/2019,11.8
05/03/2019,11.78
06/03/2019,11.76
09/03/2019,11.72
11/03/2019,11.68
12/03/2019,11.67
14/03/2019,11.64
16/03/2019,11.57
18/03/2019,11.51
20/03/2019,11.44
21/03/2019,11.43
24/03/2019,11.33
25/03/2019,11.32
27/03/2019,11.27
29/03/2019,11.21
30/03/2019,11.18
01/04/2019,11.14
04/04/2019,11.06
05/04/2019,11.06
07/04/2019,11.03
09/04/2019,11.05
10/04/2019,11.02
12/04/2019,10.99
15/04/2019,10.91
17/04/2019,10.87
18/04/2019,10.84
20/04/2019,10.82
22/04/2019,10.78
24/04/2019,10.74
26/04/2019,10.68
27/04/2019,10.66
29/04/2019,10.62
01/05/2019,10.57
03/05/2019,10.54
04/05/2019,10.46
07/05/2019,10.4
08/05/2019,10.34
09/05/2019,10.31
12/05/2019,10.22
13/05/2019,10.19
15/05/2019,10.12
18/05/2019,9.98
19/05/2019,9.94
21/05/2019,9.85
22/05/2019,9.82
25/05/2019,9.73
27/05/2019,9.66
29/05/2019,9.6
30/05/2019,9.56
31/05/2019,9.53
03/06/2019,9.4
05/06/2019,9.34
07/06/2019,9.31
09/06/2019,9.22
10/06/2019,9.13
12/06/2019,9.07
13/06/2019,9.05
16/06/2019,8.95
17/06/2019,8.86
19/06/2019,8.8
21/06/2019,8.76
23/06/2019,8.71
24/06/2019,8.61
27/06/2019,8.55
28/06/2019,8.49
01/07/2019,8.44
02/07/2019,8.36
04/07/2019,8.32
06/07/2019,8.27
08/07/2019,8.11
09/07/2019,8.09
11/07/2019,8.03
13/07/2019,7.98
15/07/2019,7.84
16/07/2019,7.81
19/07/2019,7.75
21/07/2019,7.69
22/07/2019,7.61
24/07/2019,7.47
25/07/2019,7.55
28/07/2019,7.46
29/07/2019,7.33
31/07/2019,7.29
02/08/2019,7.2
04/08/2019,7.16
05/08/2019,7.07
07/08/2019,7.01
10/08/2019,6.96
11/08/2019,6.94
13/08/2019,6.83
14/08/2019,6.8
16/08/2019,6.78
19/08/2019,6.66
21/08/2019,6.53
23/08/2019,6.49
24/08/2019,6.45
25/08/2019,6.43
28/08/2019,6.34
29/08/2019,6.3
31/08/2019,6.26
02/09/2019,6.17
03/09/2019,6.13
06/09/2019,6.05
08/09/2019,6.03
09/09/2019,6.02
11/09/2019,5.91
13/09/2019,5.85
15/09/2019,5.78
16/09/2019,5.75
19/09/2019,5.66
20/09/2019,5.62
23/09/2019,5.54
24/09/2019,5.52
26/09/2019,5.46
27/09/2019,5.44
29/09/2019,5.37
01/10/2019,5.31
04/10/2019,5.22
05/10/2019,5.18
07/10/2019,5.09
08/10/2019,5.06
11/10/2019,4.97
12/10/2019,4.95
14/10/2019,4.88
16/10/2019,4.78
18/10/2019,4.72
19/10/2019,4.68
21/10/2019,4.61
23/10/2019,4.59
25/10/2019,4.52
27/10/2019,4.48
28/10/2019,4.5
30/10/2019,4.37
02/11/2019,4.28
03/11/2019,4.24
05/11/2019,4.18
06/11/2019,4.16
08/11/2019,4.11
11/11/2019,4.02
12/11/2019,4.0
14/11/2019,3.94
16/11/2019,3.87
18/11/2019,3.81
20/11/2019,3.73
22/11/2019,3.69
23/11/2019,3.65
25/11/2019,3.6
27/11/2019,3.56
28/11/2019,3.54
01/12/2019,3.45
03/12/2019,3.38
05/12/2019,3.3
06/12/2019,3.28
08/12/2019,3.22
09/12/2019,3.2
12/12/2019,3.12
13/12/2019,3.09
16/12/2019,2.97
17/12/2019,2.94
19/12/2019,2.91
21/12/2019,3.18
22/12/2019,3.99
24/12/2019,3.97
27/12/2019,3.95
29/12/2019,3.85
30/12/2019,3.81
