Fecha,Reserva
01/01/2016,16.78
02/01/2016,16.81
03/01/2016,16.9
06/01/2016,17.07
08/01/2016,17.14
09/01/2016,17.14
11/01/2016,17.08
13/01/2016,17.1
14/01/2016,17.16
17/01/2016,17.14
19/01/2016,17.14
21/01/2016,17.19
22/01/2016,17.16
24/01/2016,17.19
25/01/2016,17.18
28/01/2016,17.21
29/01/2016,17.18
01/02/2016,17.16
02/02/2016,17.18
04/02/2016,17.21
05/02/2016,17.01
07/02/2016,17.23
10/02/2016,17.23
11/02/2016,17.29
13/02/2016,17.34
15/02/2016,17.43
16/02/2016,17.49
18/02/2016,17.51
20/02/2016,17.58
22/02/2016,17.58
25/02/2016,17.65
26/02/2016,17.63
27/02/2016,17.71
01/03/2016,17.8
02/03/2016,17.86
05/03/2016,18.03
06/03/2016,18.05
08/03/2016,18.18
10/03/2016,18.26
12/03/2016,18.19
14/03/2016,18.28
15/03/2016,18.44
18/03/2016,18.56
19/03/2016,18.41
21/03/2016,18.41
22/03/2016,18.57
25/03/2016,18.41
27/03/2016,18.43
28/03/2016,18.41
30/03/2016,18.54
01/04/2016,18.48
03/04/2016,18.48
05/04/2016,18.63
06/04/2016,18.68
09/04/2016,18.51
10/04/2016,18.53
12/04/2016,18.54
13/04/2016,18.51
15/04/2016,18.54
18/04/2016,18.52
19/04/2016,18.57
21/04/2016,18.65
23/04/2016,18.67
24/04/2016,18.63
26/04/2016,18.61
28/04/2016,18.63
01/05/2016,18.57
02/05/2016,18.54
04/05/2016,18.52
05/05/2016,18.5
08/05/2016,18.54
09/05/2016,18.59
12/05/2016,18.61
13/05/2016,18.67
14/05/2016,18.71
16/05/2016,18.69
19/05/2016,18.69
21/05/2016,18.65
23/05/2016,18.59
24/05/2016,18.59
26/05/2016,18.57
28/05/2016,18.52
30/05/2016,18.5
31/05/2016,18.38
02/06/2016,18.18
04/06/2016,17.93
06/06/2016,17.71
08/06/2016,17.38
10/06/2016,16.97
12/06/2016,16.65
13/06/2016,16.51
15/06/2016,16.08
17/06/2016,15.66
19/06/2016,15.32
21/06/2016,15.05
23/06/2016,14.67
25/06/2016,14.33
26/06/2016,14.2
27/06/2016,14.03
29/06/2016,13.68
02/07/2016,13.39
04/07/2016,13.11
05/07/2016,12.93
07/07/2016,12.55
09/07/2016,12.2
11/07/2016,11.9
12/07/2016,11.71
14/07/2016,11.37
16/07/2016,11.14
18/07/2016,10.97
20/07/2016,10.75
22/07/2016,10.47
23/07/2016,10.36
26/07/2016,10.16
27/07/2016,10.06
29/07/2016,9.96
30/07/2016,9.91
01/08/2016,9.84
03/08/2016,9.7
05/08/2016,9.52
07/08/2016,9.44
09/08/2016,9.34
11/08/2016,9.2
12/08/2016,9.14
15/08/2016,9.3
17/08/2016,9.31
19/08/2016,9.08
20/08/2016,9.05
22/08/2016,8.95
24/08/2016,8.84
26/08/2016,8.68
28/08/2016,8.73
29/08/2016,8.73
31/08/2016,8.61
02/09/2016,8.49
04/09/2016,8.5
05/09/2016,8.46
07/09/2016,8.27
09/09/2016,8.07
11/09/2016,7.94
13/09/2016,7.8
15/09/2016,7.73
17/09/2016,7.79
19/09/2016,7.84
20/09/2016,7.82
22/09/2016,7.83
23/09/2016,7.79
25/09/2016,7.76
27/09/2016,7.69
30/09/2016,7.65
02/10/2016,7.69
03/10/2016,7.73
04/10/2016,7.71
07/10/2016,7.73
08/10/2016,7.76
10/10/2016,7.75
12/10/2016,7.79
14/10/2016,7.89
16/10/2016,7.98
17/10/2016,7.99
20/10/2016,8.07
22/10/2016,8.17
24/10/2016,8.19
25/10/2016,8.25
26/10/2016,8.25
29/10/2016,8.37
30/10/2016,8.38
02/11/2016,8.46
03/11/2016,8.48
05/11/2016,8.54
07/11/2016,8.62
09/11/2016,8.64
11/11/2016,8.72
12/11/2016,8.76
15/11/2016,8.84
16/11/2016,8.83
17/11/2016,8.86
20/11/2016,8.96
21/11/2016,8.97
23/11/2016,9.75
25/11/2016,9.84
27/11/2016,9.97
29/11/2016,10.1
01/12/2016,10.14
02/12/2016,10.19
05/12/2016,10.31
07/12/2016,10.38
08/12/2016,10.39
09/12/2016,10.44
11/12/2016,10.48
14/12/2016,10.57
16/12/2016,10.69
17/12/2016,10.74
19/12/2016,11.01
20/12/2016,11.05
23/12/2016,11.14
24/12/2016,11.19
26/12/2016,11.23
29/12/2016,11.34
30/12/2016,11.37
