Fecha,Reserva
2012-01-01,10.22
2012-01-02,10.23
2012-01-03,10.24
2012-01-04,10.32
2012-01-05,10.32
2012-01-06,10.39
2012-01-07,11.18
2012-01-08,11.12
2012-01-09,11.12
2012-01-10,11.05
2012-01-11,11.2
2012-01-12,11.2
2012-01-13,11.2
2012-01-14,11.19
2012-01-15,11.18
2012-01-16,11.16
2012-01-17,11.17
2012-01-18,11.18
2012-01-19,11.16
2012-01-20,11.16
2012-01-21,11.15
2012-01-22,11.14
2012-01-23,11.12
2012-01-24,11.11
2012-01-25,11.1
2012-01-26,11.09
2012-01-27,11.08
2012-01-28,11.08
2012-01-29,11.08
2012-01-30,11.07
2012-01-31,11.05
2012-02-01,11.04
2012-02-02,11.03
2012-02-03,11.03
2012-02-04,11.03
2012-02-05,11.02
2012-02-06,11.02
2012-02-07,11.02
2012-02-08,11.02
2012-02-09,11.02
2012-02-10,11.02
2012-02-11,11.02
2012-02-12,11.02
2012-02-13,11.06
2012-02-14,11.09
2012-02-15,11.01
2012-02-16,11.01
2012-02-17,11.01
2012-02-18,11.01
2012-02-19,11.01
2012-02-20,11.0
2012-02-21,11.0
2012-02-22,10.98
2012-02-23,10.96
2012-02-24,10.96
2012-02-25,10.94
2012-02-26,10.96
2012-02-27,10.93
2012-02-28,10.93
2012-02-29,10.93
2012-03-01,10.93
2012-03-02,10.92
2012-03-03,10.92
2012-03-04,10.94
2012-03-05,10.94
2012-03-06,10.94
2012-03-07,10.94
2012-03-08,10.94
2012-03-09,10.94
2012-03-10,10.94
2012-03-11,10.94
2012-03-12,10.94
2012-03-13,10.94
2012-03-14,10.94
2012-03-15,10.93
2012-03-16,10.93
2012-03-17,10.93
2012-03-18,10.93
2012-03-19,10.94
2012-03-20,10.96
2012-03-21,10.97
2012-03-22,10.98
2012-03-23,10.98
2012-03-24,10.98
2012-03-25,10.99
2012-03-26,10.99
2012-03-27,11.0
2012-03-28,11.0
2012-03-29,11.0
2012-03-30,11.0
2012-03-31,11.0
2012-04-01,11.01
2012-04-02,11.5
2012-04-03,11.26
2012-04-04,11.01
