Fecha,Reserva
01/01/2014,25.42
02/01/2014,25.46
03/01/2014,25.45
06/01/2014,25.52
08/01/2014,25.48
09/01/2014,25.38
11/01/2014,25.39
13/01/2014,25.41
14/01/2014,25.38
16/01/2014,25.35
19/01/2014,25.43
21/01/2014,25.56
22/01/2014,25.55
24/01/2014,25.63
26/01/2014,25.67
27/01/2014,25.71
30/01/2014,25.65
01/02/2014,25.54
02/02/2014,25.53
04/02/2014,25.55
05/02/2014,25.46
07/02/2014,25.44
09/02/2014,25.35
11/02/2014,25.22
13/02/2014,25.14
14/02/2014,25.13
16/02/2014,25.04
19/02/2014,25.03
20/02/2014,24.97
22/02/2014,24.92
24/02/2014,24.84
26/02/2014,24.89
27/02/2014,24.81
02/03/2014,24.7
04/03/2014,24.62
05/03/2014,24.63
06/03/2014,24.68
09/03/2014,24.6
11/03/2014,24.6
13/03/2014,24.57
14/03/2014,24.58
16/03/2014,24.52
18/03/2014,24.25
20/03/2014,24.28
22/03/2014,24.16
23/03/2014,24.16
26/03/2014,24.03
27/03/2014,24.07
28/03/2014,24.02
30/03/2014,23.98
02/04/2014,24.02
03/04/2014,23.99
05/04/2014,24.06
07/04/2014,23.94
09/04/2014,23.91
10/04/2014,23.86
12/04/2014,23.85
14/04/2014,23.8
16/04/2014,23.78
18/04/2014,23.75
20/04/2014,23.76
21/04/2014,23.79
23/04/2014,23.78
26/04/2014,23.82
27/04/2014,23.8
29/04/2014,23.84
01/05/2014,23.83
03/05/2014,23.8
05/05/2014,23.79
07/05/2014,23.74
08/05/2014,23.69
10/05/2014,23.59
11/05/2014,23.52
13/05/2014,23.45
16/05/2014,23.42
18/05/2014,23.38
19/05/2014,23.39
20/05/2014,23.4
22/05/2014,23.36
24/05/2014,23.25
27/05/2014,23.24
29/05/2014,23.15
30/05/2014,23.13
01/06/2014,23.11
02/06/2014,23.12
04/06/2014,23.05
07/06/2014,22.85
08/06/2014,22.87
10/06/2014,22.85
12/06/2014,22.55
14/06/2014,22.48
15/06/2014,22.52
18/06/2014,22.45
20/06/2014,22.49
21/06/2014,22.42
23/06/2014,22.47
24/06/2014,22.38
27/06/2014,22.28
28/06/2014,22.32
30/06/2014,22.3
02/07/2014,22.3
03/07/2014,22.3
06/07/2014,22.19
07/07/2014,22.16
09/07/2014,22.14
11/07/2014,22.07
12/07/2014,22.04
14/07/2014,22.0
16/07/2014,21.99
19/07/2014,21.96
21/07/2014,21.96
22/07/2014,21.95
23/07/2014,21.96
26/07/2014,21.89
27/07/2014,21.87
29/07/2014,21.9
31/07/2014,21.93
02/08/2014,21.81
04/08/2014,21.81
06/08/2014,21.82
07/08/2014,21.82
09/08/2014,21.77
11/08/2014,21.76
13/08/2014,21.8
14/08/2014,21.79
17/08/2014,21.84
18/08/2014,21.8
20/08/2014,21.87
23/08/2014,21.89
24/08/2014,21.92
26/08/2014,22.04
27/08/2014,22.19
30/08/2014,22.31
01/09/2014,22.3
02/09/2014,22.34
04/09/2014,22.41
06/09/2014,22.43
08/09/2014,22.52
10/09/2014,22.57
11/09/2014,22.65
13/09/2014,22.71
14/09/2014,22.64
17/09/2014,22.74
18/09/2014,22.83
21/09/2014,23.0
22/09/2014,23.15
24/09/2014,23.03
25/09/2014,22.97
28/09/2014,23.25
30/09/2014,23.25
01/10/2014,23.36
04/10/2014,23.43
05/10/2014,23.52
07/10/2014,23.49
09/10/2014,23.34
10/10/2014,23.4
12/10/2014,23.3
15/10/2014,23.31
16/10/2014,23.23
17/10/2014,23.2
20/10/2014,23.11
22/10/2014,22.95
23/10/2014,22.94
25/10/2014,22.76
27/10/2014,22.71
28/10/2014,22.73
30/10/2014,22.62
02/11/2014,22.5
03/11/2014,22.41
05/11/2014,22.35
07/11/2014,22.31
08/11/2014,22.0
11/11/2014,21.93
12/11/2014,21.92
14/11/2014,21.87
16/11/2014,21.87
18/11/2014,21.85
20/11/2014,21.9
21/11/2014,21.87
24/11/2014,21.87
26/11/2014,21.85
27/11/2014,21.82
28/11/2014,21.81
30/11/2014,21.83
02/12/2014,21.9
05/12/2014,21.92
07/12/2014,21.96
08/12/2014,21.81
09/12/2014,21.82
11/12/2014,21.77
14/12/2014,21.63
15/12/2014,21.65
17/12/2014,21.64
19/12/2014,21.69
20/12/2014,21.69
22/12/2014,21.74
24/12/2014,21.73
27/12/2014,21.79
29/12/2014,21.81
30/12/2014,21.77
