Fecha,Reserva
01/01/2015,2.62
02/01/2015,2.61
04/01/2015,2.6
06/01/2015,2.6
07/01/2015,2.59
09/01/2015,2.58
11/01/2015,2.58
12/01/2015,2.58
15/01/2015,2.56
16/01/2015,2.56
19/01/2015,2.54
20/01/2015,2.56
22/01/2015,2.55
24/01/2015,2.55
25/01/2015,2.55
28/01/2015,2.53
30/01/2015,2.53
31/01/2015,2.53
02/02/2015,2.6
03/02/2015,2.62
05/02/2015,2.71
07/02/2015,2.76
09/02/2015,2.78
12/02/2015,2.79
13/02/2015,2.8
15/02/2015,2.81
17/02/2015,2.85
18/02/2015,2.89
20/02/2015,2.93
22/02/2015,2.95
24/02/2015,2.96
26/02/2015,2.96
28/02/2015,2.97
02/03/2015,2.97
03/03/2015,2.96
05/03/2015,2.96
07/03/2015,2.97
08/03/2015,2.96
11/03/2015,2.95
12/03/2015,2.94
14/03/2015,2.94
16/03/2015,2.93
18/03/2015,2.93
19/03/2015,2.92
22/03/2015,2.91
24/03/2015,2.93
26/03/2015,3.05
27/03/2015,3.07
28/03/2015,3.08
30/03/2015,3.09
02/04/2015,3.09
03/04/2015,3.08
06/04/2015,3.08
07/04/2015,3.07
09/04/2015,3.07
10/04/2015,4.12
12/04/2015,3.06
14/04/2015,3.05
16/04/2015,3.05
18/04/2015,3.05
19/04/2015,3.05
22/04/2015,3.03
23/04/2015,3.03
26/04/2015,3.01
27/04/2015,3.02
29/04/2015,3.02
30/04/2015,3.01
03/05/2015,3.0
04/05/2015,2.99
06/05/2015,2.99
08/05/2015,2.97
09/05/2015,2.97
12/05/2015,2.94
14/05/2015,2.94
16/05/2015,2.92
17/05/2015,2.92
19/05/2015,2.91
21/05/2015,2.88
23/05/2015,2.88
25/05/2015,2.86
26/05/2015,2.86
29/05/2015,2.83
30/05/2015,2.83
31/05/2015,2.82
03/06/2015,2.81
05/06/2015,2.79
06/06/2015,2.79
08/06/2015,2.77
10/06/2015,2.76
12/06/2015,2.74
13/06/2015,2.73
16/06/2015,2.72
18/06/2015,2.71
19/06/2015,2.7
21/06/2015,2.68
23/06/2015,2.66
24/06/2015,2.66
27/06/2015,2.63
28/06/2015,2.63
01/07/2015,2.61
02/07/2015,2.59
03/07/2015,2.59
06/07/2015,2.56
08/07/2015,2.55
09/07/2015,2.54
11/07/2015,2.52
13/07/2015,2.5
14/07/2015,2.5
16/07/2015,2.48
18/07/2015,2.46
20/07/2015,2.44
22/07/2015,2.42
23/07/2015,2.42
25/07/2015,2.4
27/07/2015,2.39
29/07/2015,2.37
31/07/2015,2.35
02/08/2015,2.33
04/08/2015,2.31
05/08/2015,2.31
08/08/2015,2.28
09/08/2015,2.28
11/08/2015,2.26
13/08/2015,2.24
14/08/2015,2.24
16/08/2015,2.22
19/08/2015,2.19
20/08/2015,2.19
22/08/2015,2.17
24/08/2015,2.16
26/08/2015,2.15
28/08/2015,2.13
30/08/2015,2.11
31/08/2015,2.11
02/09/2015,2.1
04/09/2015,2.08
06/09/2015,2.07
08/09/2015,2.07
10/09/2015,2.06
11/09/2015,2.05
13/09/2015,2.03
15/09/2015,2.02
17/09/2015,2.02
18/09/2015,2.01
20/09/2015,2.01
22/09/2015,2.01
24/09/2015,2.01
26/09/2015,2.01
28/09/2015,2.0
29/09/2015,2.01
01/10/2015,2.01
04/10/2015,2.0
05/10/2015,1.99
06/10/2015,2.0
08/10/2015,2.0
10/10/2015,1.99
12/10/2015,1.99
14/10/2015,1.99
16/10/2015,1.99
17/10/2015,1.99
19/10/2015,1.99
22/10/2015,1.99
24/10/2015,1.98
25/10/2015,1.98
27/10/2015,1.98
28/10/2015,1.98
31/10/2015,1.98
01/11/2015,1.97
03/11/2015,1.99
05/11/2015,1.98
06/11/2015,1.98
08/11/2015,1.98
10/11/2015,1.98
12/11/2015,1.98
14/11/2015,1.98
16/11/2015,1.98
17/11/2015,1.98
20/11/2015,1.98
21/11/2015,1.97
23/11/2015,1.98
25/11/2015,1.97
27/11/2015,1.97
29/11/2015,1.96
30/11/2015,1.97
02/12/2015,1.96
04/12/2015,1.96
07/12/2015,1.96
08/12/2015,1.95
09/12/2015,1.95
11/12/2015,1.95
14/12/2015,1.95
16/12/2015,1.94
17/12/2015,1.94
19/12/2015,1.94
21/12/2015,1.94
22/12/2015,1.93
25/12/2015,1.93
27/12/2015,1.92
28/12/2015,1.93
30/12/2015,1.92
