Fecha,Reserva
01/01/2019,15.44
02/01/2019,15.42
04/01/2019,15.45
06/01/2019,15.39
08/01/2019,15.35
09/01/2019,15.37
11/01/2019,15.38
13/01/2019,15.35
14/01/2019,15.34
17/01/2019,15.37
19/01/2019,15.37
21/01/2019,15.34
22/01/2019,15.35
24/01/2019,15.38
26/01/2019,15.38
28/01/2019,15.35
29/01/2019,15.35
01/02/2019,15.44
02/02/2019,15.63
03/02/2019,15.67
05/02/2019,15.72
08/02/2019,15.76
10/02/2019,15.72
11/02/2019,15.69
13/02/2019,15.7
15/02/2019,15.72
17/02/2019,15.65
18/02/2019,15.62
21/02/2019,15.62
22/02/2019,15.62
24/02/2019,15.55
26/02/2019,15.5
28/02/2019,15.49
01/03/2019,15.45
03/03/2019,15.45
05/03/2019,15.39
06/03/2019,15.39
08/03/2019,15.42
11/03/2019,15.38
13/03/2019,15.38
14/03/2019,15.39
16/03/2019,15.38
18/03/2019,15.37
19/03/2019,15.35
22/03/2019,15.34
24/03/2019,15.3
25/03/2019,15.27
27/03/2019,15.24
29/03/2019,15.23
31/03/2019,15.15
02/04/2019,15.15
04/04/2019,15.12
05/04/2019,15.12
07/04/2019,15.13
09/04/2019,15.14
10/04/2019,15.14
13/04/2019,15.12
14/04/2019,15.1
16/04/2019,15.09
18/04/2019,15.06
19/04/2019,15.06
21/04/2019,15.1
24/04/2019,15.09
25/04/2019,15.1
27/04/2019,15.19
29/04/2019,15.19
01/05/2019,15.19
02/05/2019,15.17
04/05/2019,15.16
06/05/2019,15.15
08/05/2019,15.1
10/05/2019,15.08
11/05/2019,15.08
13/05/2019,15.03
15/05/2019,15.01
17/05/2019,14.97
19/05/2019,14.91
21/05/2019,14.89
23/05/2019,14.85
25/05/2019,14.79
27/05/2019,14.74
28/05/2019,14.71
30/05/2019,14.64
31/05/2019,14.62
03/06/2019,14.52
05/06/2019,14.47
06/06/2019,14.44
08/06/2019,14.36
10/06/2019,14.31
12/06/2019,14.27
13/06/2019,14.23
15/06/2019,13.48
17/06/2019,12.91
20/06/2019,12.12
21/06/2019,11.81
23/06/2019,11.24
25/06/2019,11.16
26/06/2019,11.15
28/06/2019,11.11
30/06/2019,11.09
02/07/2019,11.04
04/07/2019,11.0
06/07/2019,10.96
08/07/2019,10.91
09/07/2019,10.55
11/07/2019,9.65
13/07/2019,8.72
14/07/2019,8.66
17/07/2019,8.62
19/07/2019,8.58
20/07/2019,8.52
22/07/2019,8.48
23/07/2019,8.5
25/07/2019,8.46
28/07/2019,8.42
29/07/2019,8.38
31/07/2019,8.34
02/08/2019,8.32
03/08/2019,8.32
06/08/2019,8.3
07/08/2019,8.28
10/08/2019,8.27
12/08/2019,8.25
13/08/2019,8.25
15/08/2019,8.23
16/08/2019,8.23
19/08/2019,8.18
21/08/2019,8.2
22/08/2019,8.17
24/08/2019,8.15
26/08/2019,8.14
27/08/2019,8.1
30/08/2019,8.03
01/09/2019,7.99
02/09/2019,7.99
04/09/2019,7.94
06/09/2019,7.92
08/09/2019,7.87
10/09/2019,7.88
12/09/2019,7.84
13/09/2019,7.84
15/09/2019,7.79
16/09/2019,7.79
19/09/2019,7.73
21/09/2019,7.66
22/09/2019,7.65
24/09/2019,7.61
26/09/2019,7.58
28/09/2019,7.53
30/09/2019,7.49
02/10/2019,7.45
03/10/2019,7.43
05/10/2019,7.39
07/10/2019,7.34
09/10/2019,7.31
10/10/2019,7.25
12/10/2019,7.21
14/10/2019,7.19
16/10/2019,7.18
18/10/2019,7.17
20/10/2019,7.19
22/10/2019,7.19
24/10/2019,7.18
25/10/2019,7.17
27/10/2019,7.13
29/10/2019,7.11
30/10/2019,7.12
01/11/2019,7.1
03/11/2019,7.09
05/11/2019,7.07
07/11/2019,7.05
08/11/2019,7.05
11/11/2019,7.02
13/11/2019,7.02
15/11/2019,7.01
16/11/2019,6.99
17/11/2019,6.98
20/11/2019,6.98
21/11/2019,6.97
23/11/2019,7.0
25/11/2019,6.99
27/11/2019,6.99
29/11/2019,7.0
30/11/2019,6.99
03/12/2019,6.98
05/12/2019,6.96
06/12/2019,6.97
08/12/2019,6.97
10/12/2019,6.96
11/12/2019,6.94
13/12/2019,6.93
16/12/2019,6.93
18/12/2019,6.94
19/12/2019,6.97
21/12/2019,12.86
22/12/2019,13.44
24/12/2019,13.75
26/12/2019,13.85
28/12/2019,13.9
30/12/2019,13.93
