Fecha,Reserva
2012-01-01,171.85
2012-01-02,171.93
2012-01-03,172.01
2012-01-04,172.09
2012-01-05,172.15
2012-01-06,172.21
2012-01-07,173.92
2012-01-08,173.76
2012-01-09,173.59
2012-01-10,173.64
2012-01-11,173.64
2012-01-12,173.69
2012-01-13,173.7
2012-01-14,173.75
2012-01-15,173.72
2012-01-16,173.7
2012-01-17,173.81
2012-01-18,173.92
2012-01-19,173.94
2012-01-20,173.97
2012-01-21,174.02
2012-01-22,174.02
2012-01-23,174.08
2012-01-24,174.08
2012-01-25,174.02
2012-01-26,173.95
2012-01-27,173.86
2012-01-28,173.77
2012-01-29,173.86
2012-01-30,173.95
2012-01-31,173.9
2012-02-01,173.84
2012-02-02,173.95
2012-02-03,174.02
2012-02-04,174.08
2012-02-05,174.23
2012-02-06,174.16
2012-02-07,174.08
2012-02-08,174.06
2012-02-09,174.04
2012-02-10,174.06
2012-02-11,174.06
2012-02-12,174.09
2012-02-13,173.98
2012-02-14,173.88
2012-02-15,173.88
2012-02-16,173.96
2012-02-17,174.03
2012-02-18,174.06
2012-02-19,174.01
2012-02-20,174.01
2012-02-21,173.96
2012-02-22,173.97
2012-02-23,173.98
2012-02-24,173.99
2012-02-25,174.0
2012-02-26,174.16
2012-02-27,174.36
2012-02-28,174.36
2012-02-29,174.36
2012-03-01,174.37
2012-03-02,174.39
2012-03-03,174.41
2012-03-04,174.47
2012-03-05,174.46
2012-03-06,174.46
2012-03-07,174.44
2012-03-08,174.49
2012-03-09,174.47
2012-03-10,174.45
2012-03-11,174.36
2012-03-12,174.37
2012-03-13,174.38
2012-03-14,174.37
2012-03-15,174.37
2012-03-16,174.36
2012-03-17,174.44
2012-03-18,174.45
2012-03-19,174.46
2012-03-20,174.44
2012-03-21,174.41
2012-03-22,174.42
2012-03-23,174.44
2012-03-24,174.42
2012-03-25,174.44
2012-03-26,174.44
2012-03-27,174.45
2012-03-28,174.42
2012-03-29,174.4
2012-03-30,174.41
2012-03-31,174.43
2012-04-01,174.44
2012-04-02,174.44
2012-04-03,174.46
2012-04-04,174.63
2012-04-05,174.66
2012-04-06,174.66
2012-04-07,174.69
2012-04-08,174.68
2012-04-09,174.68
2012-04-10,174.69
2012-04-11,174.69
2012-04-12,174.66
2012-04-13,174.62
2012-04-14,174.63
2012-04-15,174.64
2012-04-16,174.52
2012-04-17,174.52
2012-04-18,174.39
2012-04-19,174.37
2012-04-20,174.38
2012-04-21,174.39
2012-04-22,174.38
2012-04-23,174.24
2012-04-24,174.1
2012-04-25,174.09
2012-04-26,174.09
2012-04-27,174.08
2012-04-28,174.18
2012-04-29,174.26
2012-04-30,174.35
2012-05-01,174.37
2012-05-02,174.39
2012-05-03,174.47
2012-05-04,174.55
2012-05-05,174.55
2012-05-06,174.55
2012-05-07,174.83
2012-05-08,175.11
2012-05-09,175.08
2012-05-10,174.82
2012-05-11,174.56
2012-05-12,174.26
2012-05-13,173.95
2012-05-14,173.69
2012-05-15,173.26
2012-05-16,172.82
2012-05-17,172.4
2012-05-18,172.4
