Fecha,Reserva
01/01/2019,176.45
02/01/2019,176.4
03/01/2019,176.4
05/01/2019,176.36
07/01/2019,176.29
10/01/2019,176.23
11/01/2019,176.18
12/01/2019,176.1
14/01/2019,176.01
17/01/2019,175.94
19/01/2019,175.85
20/01/2019,175.97
22/01/2019,175.9
24/01/2019,175.79
25/01/2019,175.8
27/01/2019,175.74
30/01/2019,175.58
01/02/2019,175.79
02/02/2019,175.74
03/02/2019,175.73
05/02/2019,175.64
07/02/2019,175.6
10/02/2019,175.57
12/02/2019,175.61
13/02/2019,175.58
14/02/2019,175.58
17/02/2019,175.52
18/02/2019,175.51
20/02/2019,175.52
23/02/2019,175.47
24/02/2019,175.48
25/02/2019,175.44
27/02/2019,175.41
02/03/2019,175.33
04/03/2019,175.28
05/03/2019,175.28
07/03/2019,175.44
09/03/2019,175.47
11/03/2019,175.45
13/03/2019,175.41
14/03/2019,175.37
16/03/2019,175.29
18/03/2019,175.21
20/03/2019,175.1
22/03/2019,175.02
24/03/2019,174.92
26/03/2019,174.86
27/03/2019,174.79
29/03/2019,174.75
31/03/2019,174.6
01/04/2019,174.76
03/04/2019,174.72
05/04/2019,174.62
07/04/2019,174.57
08/04/2019,174.61
10/04/2019,174.56
12/04/2019,174.47
15/04/2019,174.35
17/04/2019,174.21
18/04/2019,174.19
20/04/2019,174.22
22/04/2019,174.14
24/04/2019,174.15
25/04/2019,174.34
27/04/2019,174.37
29/04/2019,174.35
01/05/2019,174.28
02/05/2019,174.22
05/05/2019,174.18
06/05/2019,174.12
08/05/2019,174.06
09/05/2019,174.04
11/05/2019,173.99
13/05/2019,173.91
16/05/2019,173.77
17/05/2019,173.68
19/05/2019,172.6
21/05/2019,171.49
23/05/2019,170.56
25/05/2019,169.56
27/05/2019,168.38
28/05/2019,168.0
30/05/2019,166.94
01/06/2019,165.82
03/06/2019,164.76
05/06/2019,163.83
06/06/2019,163.16
08/06/2019,162.22
10/06/2019,161.43
11/06/2019,160.96
13/06/2019,159.88
15/06/2019,159.0
17/06/2019,158.13
19/06/2019,157.03
21/06/2019,155.96
22/06/2019,155.45
25/06/2019,154.0
26/06/2019,153.24
28/06/2019,152.22
01/07/2019,150.56
02/07/2019,149.92
03/07/2019,149.39
06/07/2019,147.46
07/07/2019,147.0
10/07/2019,145.55
11/07/2019,145.03
12/07/2019,144.23
14/07/2019,143.49
17/07/2019,142.55
18/07/2019,142.21
20/07/2019,141.75
22/07/2019,141.35
24/07/2019,140.77
25/07/2019,140.36
27/07/2019,139.74
30/07/2019,138.91
31/07/2019,138.62
02/08/2019,138.19
04/08/2019,137.68
06/08/2019,137.17
08/08/2019,136.61
10/08/2019,136.17
12/08/2019,135.57
13/08/2019,135.29
15/08/2019,134.86
17/08/2019,134.29
18/08/2019,134.02
21/08/2019,133.29
22/08/2019,133.03
24/08/2019,132.55
26/08/2019,132.01
28/08/2019,131.58
30/08/2019,131.06
31/08/2019,130.83
02/09/2019,130.3
04/09/2019,129.78
05/09/2019,129.53
07/09/2019,128.98
09/09/2019,128.82
11/09/2019,128.42
13/09/2019,127.93
15/09/2019,127.47
17/09/2019,126.98
18/09/2019,126.88
20/09/2019,126.43
22/09/2019,126.17
24/09/2019,125.78
26/09/2019,125.34
28/09/2019,124.7
30/09/2019,124.13
01/10/2019,123.71
04/10/2019,122.88
05/10/2019,122.69
06/10/2019,122.47
09/10/2019,121.56
11/10/2019,120.9
12/10/2019,120.6
14/10/2019,119.92
16/10/2019,119.31
18/10/2019,118.68
20/10/2019,118.42
21/10/2019,117.96
23/10/2019,117.47
25/10/2019,116.86
27/10/2019,116.23
29/10/2019,115.75
31/10/2019,115.11
01/11/2019,114.92
04/11/2019,114.43
05/11/2019,114.23
06/11/2019,113.98
08/11/2019,113.66
11/11/2019,113.04
12/11/2019,112.87
14/11/2019,112.8
16/11/2019,112.72
18/11/2019,112.7
20/11/2019,112.67
22/11/2019,112.74
23/11/2019,113.13
25/11/2019,113.12
27/11/2019,113.13
29/11/2019,113.11
01/12/2019,113.08
02/12/2019,113.14
05/12/2019,113.08
06/12/2019,113.07
08/12/2019,113.04
09/12/2019,113.03
12/12/2019,112.97
14/12/2019,112.95
16/12/2019,112.93
18/12/2019,113.08
19/12/2019,113.24
21/12/2019,123.47
22/12/2019,125.06
24/12/2019,126.09
26/12/2019,126.51
28/12/2019,126.73
30/12/2019,126.88
