Fecha,Reserva
2012-01-01,26.58
2012-01-02,26.47
2012-01-03,26.42
2012-01-04,26.33
2012-01-05,26.33
2012-01-06,26.23
2012-01-07,26.62
2012-01-08,26.61
2012-01-09,26.61
2012-01-10,26.6
2012-01-11,26.6
2012-01-12,26.6
2012-01-13,26.61
2012-01-14,26.61
2012-01-15,26.61
2012-01-16,26.62
2012-01-17,26.62
2012-01-18,26.62
2012-01-19,26.62
2012-01-20,26.61
2012-01-21,26.62
2012-01-22,26.62
2012-01-23,26.62
2012-01-24,26.62
2012-01-25,26.61
2012-01-26,26.62
2012-01-27,26.62
2012-01-28,26.62
2012-01-29,26.61
2012-01-30,26.61
2012-01-31,26.61
2012-02-01,26.61
2012-02-02,26.61
2012-02-03,26.6
2012-02-04,26.58
2012-02-05,26.58
2012-02-06,26.58
2012-02-07,26.58
2012-02-08,26.56
2012-02-09,26.56
2012-02-10,26.55
2012-02-11,26.55
2012-02-12,26.54
2012-02-13,26.52
2012-02-14,26.52
2012-02-15,26.51
2012-02-16,26.49
2012-02-17,26.49
2012-02-18,26.5
2012-02-19,26.49
2012-02-20,26.49
2012-02-21,26.48
2012-02-22,26.46
2012-02-23,26.45
2012-02-24,26.45
2012-02-25,26.44
2012-02-26,26.44
2012-02-27,26.44
2012-02-28,26.44
2012-02-29,26.44
2012-03-01,26.44
2012-03-02,26.44
2012-03-03,26.44
2012-03-04,26.44
2012-03-05,26.44
2012-03-06,26.42
2012-03-07,26.42
2012-03-08,26.41
2012-03-09,26.42
2012-03-10,26.42
2012-03-11,26.41
2012-03-12,26.41
2012-03-13,26.41
2012-03-14,26.4
2012-03-15,26.4
2012-03-16,26.38
2012-03-17,26.37
2012-03-18,26.36
2012-03-19,26.36
2012-03-20,26.38
2012-03-21,26.39
2012-03-22,26.37
2012-03-23,26.37
2012-03-24,26.37
2012-03-25,26.38
2012-03-26,26.4
2012-03-27,26.41
2012-03-28,26.42
2012-03-29,26.42
2012-03-30,26.42
2012-03-31,26.42
2012-04-01,26.41
2012-04-02,26.41
2012-04-03,26.41
2012-04-04,26.42
2012-04-05,26.46
2012-04-06,26.5
2012-04-07,26.54
2012-04-08,26.57
2012-04-09,26.6
2012-04-10,26.62
2012-04-11,26.63
2012-04-12,26.66
2012-04-13,26.66
2012-04-14,26.7
2012-04-15,27.06
2012-04-16,27.42
2012-04-17,27.58
2012-04-18,27.73
2012-04-19,28.04
2012-04-20,28.35
2012-04-21,29.32
2012-04-22,29.58
2012-04-23,29.85
2012-04-24,29.7
2012-04-25,29.54
2012-04-26,29.45
2012-04-27,29.64
2012-04-28,29.83
2012-04-29,30.06
2012-04-30,30.06
2012-05-01,30.29
2012-05-02,30.46
2012-05-03,30.63
2012-05-04,30.66
2012-05-05,30.66
2012-05-06,30.68
2012-05-07,30.88
2012-05-08,31.09
2012-05-09,30.8
2012-05-10,30.66
2012-05-11,30.53
2012-05-12,30.38
2012-05-13,30.22
2012-05-14,30.05
2012-05-15,30.0
2012-05-16,30.0
2012-05-17,29.95
2012-05-18,29.97
2012-05-19,29.98
2012-05-20,29.98
2012-05-21,29.99
2012-05-22,29.99
2012-05-23,29.99
