Fecha,Reserva
01/01/2015,23.65
02/01/2015,23.67
04/01/2015,23.72
06/01/2015,23.76
08/01/2015,23.8
09/01/2015,23.81
11/01/2015,23.83
13/01/2015,23.87
15/01/2015,23.88
17/01/2015,23.9
19/01/2015,23.95
21/01/2015,23.96
22/01/2015,24.01
24/01/2015,24.02
26/01/2015,24.04
27/01/2015,24.04
30/01/2015,24.13
31/01/2015,24.13
02/02/2015,29.38
03/02/2015,29.93
06/02/2015,28.39
07/02/2015,28.17
09/02/2015,28.02
12/02/2015,27.69
13/02/2015,27.59
15/02/2015,27.47
17/02/2015,29.45
18/02/2015,29.81
20/02/2015,29.94
22/02/2015,29.91
24/02/2015,29.82
26/02/2015,29.89
27/02/2015,29.94
01/03/2015,30.26
04/03/2015,30.6
05/03/2015,30.67
07/03/2015,30.59
09/03/2015,30.36
11/03/2015,30.09
13/03/2015,29.77
15/03/2015,29.4
16/03/2015,29.2
17/03/2015,28.99
20/03/2015,28.31
22/03/2015,27.99
24/03/2015,27.98
26/03/2015,28.22
27/03/2015,28.24
29/03/2015,28.13
31/03/2015,27.91
02/04/2015,28.1
04/04/2015,28.24
06/04/2015,28.33
07/04/2015,28.35
09/04/2015,28.38
10/04/2015,31.13
12/04/2015,28.43
15/04/2015,28.4
16/04/2015,28.4
18/04/2015,28.37
20/04/2015,28.33
22/04/2015,28.26
23/04/2015,28.24
26/04/2015,28.12
28/04/2015,28.22
29/04/2015,28.24
01/05/2015,28.21
03/05/2015,28.16
04/05/2015,28.15
07/05/2015,28.03
08/05/2015,27.98
09/05/2015,27.94
12/05/2015,27.79
13/05/2015,27.74
16/05/2015,27.83
17/05/2015,27.85
19/05/2015,27.92
20/05/2015,27.93
23/05/2015,27.99
24/05/2015,28.02
26/05/2015,28.04
29/05/2015,28.1
30/05/2015,28.11
01/06/2015,28.15
03/06/2015,28.17
04/06/2015,28.17
06/06/2015,28.2
09/06/2015,28.21
10/06/2015,28.22
11/06/2015,28.22
13/06/2015,28.22
16/06/2015,28.22
18/06/2015,28.24
19/06/2015,28.22
21/06/2015,28.22
22/06/2015,28.22
24/06/2015,28.2
26/06/2015,28.21
29/06/2015,28.2
30/06/2015,28.19
02/07/2015,28.16
04/07/2015,28.13
06/07/2015,28.11
08/07/2015,28.08
10/07/2015,28.06
11/07/2015,28.04
13/07/2015,28.01
14/07/2015,27.98
16/07/2015,27.94
18/07/2015,27.92
21/07/2015,27.87
22/07/2015,27.83
23/07/2015,27.83
26/07/2015,27.78
27/07/2015,27.75
30/07/2015,27.69
31/07/2015,27.68
02/08/2015,27.62
03/08/2015,27.61
06/08/2015,27.55
07/08/2015,27.52
09/08/2015,27.5
11/08/2015,27.46
13/08/2015,27.41
15/08/2015,27.36
16/08/2015,27.3
19/08/2015,27.22
20/08/2015,27.2
22/08/2015,27.14
24/08/2015,27.09
25/08/2015,27.07
28/08/2015,26.99
30/08/2015,26.94
01/09/2015,26.92
02/09/2015,26.89
04/09/2015,26.83
06/09/2015,26.79
08/09/2015,26.78
10/09/2015,26.75
11/09/2015,26.72
13/09/2015,26.67
14/09/2015,26.65
16/09/2015,26.65
18/09/2015,26.63
21/09/2015,26.63
22/09/2015,26.63
24/09/2015,26.62
25/09/2015,26.61
28/09/2015,26.61
29/09/2015,26.62
01/10/2015,26.61
03/10/2015,26.61
05/10/2015,26.61
07/10/2015,26.6
09/10/2015,26.61
11/10/2015,26.61
13/10/2015,26.6
14/10/2015,26.6
16/10/2015,26.6
18/10/2015,26.6
20/10/2015,26.65
21/10/2015,26.66
24/10/2015,26.66
25/10/2015,26.66
27/10/2015,26.67
29/10/2015,26.67
30/10/2015,26.67
01/11/2015,26.68
03/11/2015,26.73
05/11/2015,26.75
07/11/2015,26.76
08/11/2015,26.76
11/11/2015,26.76
12/11/2015,26.77
14/11/2015,26.77
16/11/2015,26.77
17/11/2015,26.78
19/11/2015,26.78
21/11/2015,26.79
24/11/2015,26.79
25/11/2015,26.79
27/11/2015,26.81
29/11/2015,26.81
01/12/2015,26.82
02/12/2015,26.81
04/12/2015,26.82
07/12/2015,26.82
08/12/2015,26.83
09/12/2015,26.83
12/12/2015,26.83
13/12/2015,26.82
15/12/2015,26.82
17/12/2015,26.82
19/12/2015,26.82
21/12/2015,26.81
23/12/2015,26.78
24/12/2015,26.66
26/12/2015,26.72
29/12/2015,26.65
30/12/2015,26.62
