Fecha,Reserva
2012-01-01,36.8
2012-01-02,36.77
2012-01-03,36.84
2012-01-04,36.88
2012-01-05,36.88
2012-01-06,36.91
2012-01-07,37.72
2012-01-08,37.61
2012-01-09,37.5
2012-01-10,37.52
2012-01-11,37.52
2012-01-12,37.55
2012-01-13,37.53
2012-01-14,37.59
2012-01-15,37.56
2012-01-16,37.53
2012-01-17,37.62
2012-01-18,37.72
2012-01-19,37.72
2012-01-20,37.72
2012-01-21,37.75
2012-01-22,37.79
2012-01-23,37.8
2012-01-24,37.81
2012-01-25,37.84
2012-01-26,37.86
2012-01-27,37.86
2012-01-28,37.89
2012-01-29,37.88
2012-01-30,37.87
2012-01-31,37.95
2012-02-01,37.96
2012-02-02,37.97
2012-02-03,37.99
2012-02-04,38.01
2012-02-05,38.02
2012-02-06,38.03
2012-02-07,38.05
2012-02-08,38.08
2012-02-09,38.08
2012-02-10,38.11
2012-02-11,38.06
2012-02-12,38.08
2012-02-13,38.1
2012-02-14,38.12
2012-02-15,38.13
2012-02-16,38.12
2012-02-17,38.15
2012-02-18,38.18
2012-02-19,38.2
2012-02-20,38.2
2012-02-21,38.23
2012-02-22,38.24
2012-02-23,38.26
2012-02-24,38.28
2012-02-25,38.29
2012-02-26,38.3
2012-02-27,38.31
2012-02-28,38.32
2012-02-29,38.32
2012-03-01,38.32
2012-03-02,38.34
2012-03-03,38.36
2012-03-04,38.37
2012-03-05,38.38
2012-03-06,38.4
2012-03-07,38.42
2012-03-08,38.43
2012-03-09,38.44
2012-03-10,38.45
2012-03-11,38.47
2012-03-12,38.47
2012-03-13,38.47
2012-03-14,38.48
2012-03-15,38.49
2012-03-16,38.5
2012-03-17,38.51
2012-03-18,38.52
2012-03-19,38.53
2012-03-20,38.54
2012-03-21,38.58
2012-03-22,38.58
2012-03-23,38.61
2012-03-24,38.61
2012-03-25,38.61
2012-03-26,38.62
2012-03-27,38.63
2012-03-28,38.64
2012-03-29,38.65
2012-03-30,38.66
2012-03-31,38.66
2012-04-01,38.68
2012-04-02,38.68
2012-04-03,38.7
2012-04-04,38.72
2012-04-05,38.74
2012-04-06,38.75
2012-04-07,38.76
2012-04-08,38.78
2012-04-09,38.78
2012-04-10,38.78
2012-04-11,38.77
2012-04-12,38.78
2012-04-13,38.78
2012-04-14,38.79
2012-04-15,38.84
2012-04-16,38.9
2012-04-17,38.93
2012-04-18,38.94
2012-04-19,38.94
2012-04-20,38.96
2012-04-21,39.0
2012-04-22,39.01
2012-04-23,39.02
2012-04-24,39.04
2012-04-25,39.07
2012-04-26,39.07
2012-04-27,39.08
2012-04-28,39.1
2012-04-29,39.16
2012-04-30,39.16
2012-05-01,39.22
2012-05-02,39.23
2012-05-03,39.24
2012-05-04,39.25
2012-05-05,39.25
2012-05-06,39.25
2012-05-07,39.25
2012-05-08,39.3
2012-05-09,39.35
2012-05-10,39.36
2012-05-11,39.37
2012-05-12,39.36
2012-05-13,39.35
2012-05-14,39.35
2012-05-15,39.33
2012-05-16,39.33
2012-05-17,39.3
2012-05-18,39.28
2012-05-19,39.27
2012-05-20,39.27
2012-05-21,39.27
2012-05-22,39.26
2012-05-23,39.25
2012-05-24,39.23
2012-05-25,39.21
2012-05-26,39.19
2012-05-27,39.16
2012-05-28,39.14
2012-05-29,39.11
2012-05-30,39.08
2012-05-31,39.03
